id	gender	human	number	size	firstmention	mentions	label
0	n	0	sg	1	0	0	EERSTE HOOFDSTUK
1	f	1	sg	5	1	1,357,358,1055,303	De kennis der gevolgtrekking
2	n	0	sg	6	2	2,515,471,456,762,491	der gevolgtrekking
3	m	1	sg	99	3	3,1284,5,1541,1287,8,1289,11,13,14,1551,1554,18,20,282,1821,285,1566,286,288,1568,1571,1572,1822,1829,290,1836,310,1591,1080,1082,2107,2106,2108,2110,322,2116,324,2117,2123,2124,1614,2126,337,338,1617,1618,341,1620,1623,2131,345,346,2133,1116,1119,1381,1384,362,1168,917,1173,1177,1179,926,927,929,681,682,685,686,687,1715,694,697,960,1474,962,964,965,1475,967,1476,1477,1482,971,972,1486,975,1242,2013,1504,1505,1507,1508,1254,1260,1268,1275	Sherlock Holmes
4	n	0	sg	2	4	4,2125	zijn flesch van den schoorsteenmantel en zijn werktuig voor onderhuidsche inspuitingen
6	n	0	sg	1	6	6	den schoorsteenmantel
7	n	0	sg	1	7	7	zijn werktuig voor onderhuidsche inspuitingen
9	n	0	pl	1	9	9	onderhuidsche inspuitingen
10	n	0	both	1	10	10	zijn marokijnen foudraal
12	-	-	pl	1	12	12	zijne lange , witte , zenuwachtige vingers
15	n	0	sg	1	15	15	de fijne naald
16	m	1	sg	2	16	16,26	de linkermouw van zijn overhemd
17	n	0	sg	1	17	17	zijn overhemd
19	n	0	pl	3	19	19,84,963	zijne oogen
21	n	0	both	2	21	21,23	den gespierden voorarm
22	n	-	pl	1	22	22	pols
24	n	0	pl	1	24	24	ontelbare teekenen van inprikkingen
25	-	-	pl	1	25	25	inprikkingen
27	n	0	sg	2	27	386,27	de scherpe punt
28	n	0	sg	1	28	28	den kleinen piston
29	n	0	sg	1	29	29	een langen zucht van voldoening in den fluweelen armstoel
30	-	-	sg	1	30	30	voldoening in den fluweelen armstoel
31	n	0	sg	1	31	31	den fluweelen armstoel
32	fm	1	sg	175	32	516,519,2061,527,2064,531,538,1562,1564,542,32,36,38,40,41,43,45,46,47,48,53,63,575,2111,578,67,68,579,581,2113,72,74,76,77,78,79,80,596,598,603,92,93,95,610,98,99,613,102,614,616,611,114,1669,1161,1676,1165,660,677,679,683,684,1709,1710,179,691,695,696,2239,2240,2249,1228,1229,1231,1232,213,214,215,216,734,741,231,745,234,239,240,250,253,258,259,773,1798,775,264,267,268,1803,1805,1807,273,274,276,277,1302,279,1304,1812,1817,801,1314,1315,1317,811,812,1331,822,823,826,828,1853,831,328,331,333,2382,849,851,342,1369,2398,864,1377,2431,903,1417,906,908,1421,1423,912,1427,411,1447,1449,1450,1452,1453,1455,1457,2483,1461,1466,446,447,449,1485,977,979,468,981,982,984,473,986,475,476,477,990,480,481,997,486,998,2035,2044,2047	ik
33	fm	1	sg	1	33	33	getuige
34	n	0	sg	1	34	34	deze verrichting
35	n	0	sg	3	35	754,35,755	de gewoonte
37	n	0	sg	1	37	37	dit opzicht
39	n	0	sg	1	39	39	het gezicht ervan
42	n	0	sg	1	42	42	mijn gebrek aan moed
44	m	1	sg	1	44	44	moed
49	n	0	sg	2	49	49,55	de noodige opheldering
50	n	0	sg	3	50	50,59,54	zooveel koele onverschilligheid in het voorkomen van mijn metgezel
51	n	0	sg	3	51	1994,51,1711	het voorkomen van mijn metgezel
52	m	1	sg	47	52	653,654,272,659,1316,1318,1320,1323,1325,1327,1328,1329,52,1333,1335,57,1852,1340,1347,69,1352,1358,83,85,1365,88,89,90,863,866,868,869,100,615,873,105,617,619,621,106,109,110,625,624,1899,629,636	mijn metgezel
56	n	0	sg	1	56	56	eene onbescheidenheid tegenover hem
58	n	0	sg	1	58	58	Zijn kracht
60	n	0	sg	1	60	60	gebiedend uiterlijk
61	n	0	sg	4	61	65,1446,61,62	de ondervinding
64	n	0	pl	3	64	64,352,351	zijne vele buitengewone eigenschappen
66	n	0	sg	3	66	698,66,821	dit alles
70	n	0	sg	2	70	70,71	den meer dan gewonen en krachtigen wijn
73	n	0	sg	1	73	73	mijn lunch
75	n	0	sg	1	75	75	mijne zelfbeheersching
81	n	0	sg	1	81	81	morphine
82	n	0	sg	2	82	82,835	cocaïne
86	mn	-	sg	51	86	897,642,1539,644,900,902,909,910,2063,655,1424,914,2069,920,1435,1436,157,1533,1578,813,564,565,1207,824,825,699,577,201,206,592,722,1491,1492,86,87,599,217,1881,605,606,622,242,1524,1525,630,119,120,1530,251,252,765	het notitie-boek
91	n	0	sg	1	91	91	zeven percent
94	n	0	sg	1	94	94	mijn gestel
96	n	0	sg	1	96	96	de campagne in Afghanistan
97	n	0	sg	2	97	97,1801	Afghanistan
101	fn	-	sg	2	101	108,101	mijne voorgewende zwakte
103	m	1	sg	32	103	768,1217,1218,769,1414,394,395,1356,2062,1359,1360,662,663,665,667,669,2014,673,1378,675,103,104,1193,1385,1771,556,1772,1407,1468,1405,1406,767	gij
107	n	0	sg	2	107	107,423	haar invloed
111	m	1	sg	1	111	111	den geest
112	n	0	sg	1	112	112	de latere werking
113	n	0	sg	1	113	113	korten duur
115	fm	1	pl	1	115	115	de gevolgen
116	n	0	sg	1	116	116	Uw brein
117	fm	1	both	1	117	117	Uw
118	fm	1	sg	7	118	131,132,118,134,123,124,127	gij
121	n	0	pl	1	121	121	de longen
122	n	0	sg	1	122	122	een permanente zwakte
125	n	0	sg	1	125	125	het sop
126	n	0	sg	2	126	126,407	de kool
128	n	0	sg	4	128	128,256,202,261	een kort voorbijgaand genoegen
