id	start	end	type	head	neclass	person	quote	gender	human	number	cluster	text
0	1	2	noun	2	-	-	O	n	0	sg	0	EERSTE HOOFDSTUK
1	4	7	noun	5	-	-	O	f	1	sg	1	De kennis der gevolgtrekking
2	6	7	noun	7	-	-	O	n	0	sg	2	der gevolgtrekking
3	9	10	name	10	PER	-	O	m	1	sg	3	Sherlock Holmes
4	12	22	noun	13	-	-	O	n	0	sg	4	zijn flesch van den schoorsteenmantel en zijn werktuig voor onderhuidsche inspuitingen
5	12	12	pronoun	12	-	3	O	m	1	sg	3	zijn
6	15	16	noun	16	-	-	O	n	0	sg	6	den schoorsteenmantel
7	18	22	noun	19	-	-	O	n	0	sg	7	zijn werktuig voor onderhuidsche inspuitingen
8	18	18	pronoun	18	-	3	O	m	1	sg	3	zijn
9	21	22	noun	22	-	-	O	n	0	pl	9	onderhuidsche inspuitingen
10	24	26	name	26	MISC	-	O	n	0	both	10	zijn marokijnen foudraal
11	24	24	pronoun	24	-	3	O	m	1	sg	3	zijn
12	29	35	noun	35	-	-	O	-	-	pl	12	zijne lange , witte , zenuwachtige vingers
13	29	29	pronoun	29	-	3	O	m	1	sg	3	zijne
14	37	37	pronoun	37	-	3	O	m	1	sg	3	hij
15	38	40	noun	40	-	-	O	n	0	sg	15	de fijne naald
16	46	50	noun	47	-	-	O	m	1	sg	16	de linkermouw van zijn overhemd
17	49	50	noun	50	-	-	O	n	0	sg	17	zijn overhemd
18	49	49	pronoun	49	-	3	O	m	1	sg	3	zijn
19	57	58	noun	58	-	-	O	n	0	pl	19	zijne oogen
20	57	57	pronoun	57	-	3	O	m	1	sg	3	zijne
21	61	63	noun	63	-	-	O	n	0	both	21	den gespierden voorarm
22	65	65	noun	65	-	-	O	n	-	pl	22	pols
23	68	68	pronoun	68	-	-	O	n	0	both	21	die
24	70	73	noun	71	-	-	O	n	0	pl	24	ontelbare teekenen van inprikkingen
25	73	73	noun	73	-	-	O	-	-	pl	25	inprikkingen
26	80	80	pronoun	80	-	3	O	m	1	sg	16	hij
27	81	83	noun	83	-	-	O	n	0	sg	27	de scherpe punt
28	87	89	noun	89	-	-	O	n	0	sg	28	den kleinen piston
29	94	102	noun	96	-	-	O	n	0	sg	29	een langen zucht van voldoening in den fluweelen armstoel
30	98	102	noun	98	-	-	O	-	-	sg	30	voldoening in den fluweelen armstoel
31	100	102	noun	102	-	-	O	n	0	sg	31	den fluweelen armstoel
32	109	109	pronoun	109	-	1	O	fm	1	sg	32	ik
33	114	114	noun	114	-	-	O	fm	1	sg	33	getuige
34	117	118	noun	118	-	-	O	n	0	sg	34	deze verrichting
35	121	122	noun	122	-	-	O	n	0	sg	35	de gewoonte
36	125	125	pronoun	125	-	1	O	fm	1	sg	32	mij
37	127	128	noun	128	-	-	O	n	0	sg	37	dit opzicht
38	141	141	pronoun	141	-	1	O	fm	1	sg	32	mij
39	142	144	noun	143	-	-	O	n	0	sg	39	het gezicht ervan
40	152	152	pronoun	152	-	1	O	fm	1	sg	32	ik
41	153	153	pronoun	153	-	1	O	fm	1	sg	32	mij
42	154	157	noun	155	-	-	O	n	0	sg	42	mijn gebrek aan moed
43	154	154	pronoun	154	-	1	O	fm	1	sg	32	mijn
44	157	157	noun	157	-	-	O	m	1	sg	44	moed
45	160	160	pronoun	160	-	1	O	fm	1	sg	32	mij
46	168	168	pronoun	168	-	1	O	fm	1	sg	32	ik
47	169	169	pronoun	169	-	1	O	fm	1	sg	32	mij
48	175	175	pronoun	175	-	1	O	fm	1	sg	32	mij
49	177	179	noun	179	-	-	O	n	0	sg	49	de noodige opheldering
50	186	194	noun	188	-	-	O	n	0	sg	50	zooveel koele onverschilligheid in het voorkomen van mijn metgezel
51	190	194	noun	191	-	-	O	n	0	sg	51	het voorkomen van mijn metgezel
52	193	194	noun	194	-	-	O	m	1	sg	52	mijn metgezel
53	193	193	pronoun	193	-	1	O	fm	1	sg	32	mijn
54	198	198	pronoun	198	-	3	O	n	0	sg	50	zich
55	204	204	pronoun	204	-	3	O	n	0	sg	49	zich
56	205	208	noun	206	-	-	O	n	0	sg	56	eene onbescheidenheid tegenover hem
57	208	208	pronoun	208	-	3	O	m	1	sg	52	hem
58	212	213	noun	213	-	-	O	n	0	sg	58	Zijn kracht
59	212	212	pronoun	212	-	3	O	n	0	sg	50	Zijn
60	216	217	noun	217	-	-	O	n	0	sg	60	gebiedend uiterlijk
61	220	221	noun	221	-	-	O	n	0	sg	61	de ondervinding
62	222	222	pronoun	222	-	-	O	n	0	sg	61	die
63	223	223	pronoun	223	-	1	O	fm	1	sg	32	ik
64	226	229	noun	229	-	-	O	n	0	pl	64	zijne vele buitengewone eigenschappen
65	226	226	pronoun	226	-	3	O	n	0	sg	61	zijne
66	231	232	noun	232	-	-	O	n	0	sg	66	dit alles
67	234	234	pronoun	234	-	1	O	fm	1	sg	32	mij
68	239	239	pronoun	239	-	1	O	fm	1	sg	32	mij
69	242	242	pronoun	242	-	3	O	m	1	sg	52	hem
70	260	266	noun	266	-	-	O	n	0	sg	70	den meer dan gewonen en krachtigen wijn
71	268	268	pronoun	268	-	-	O	n	0	sg	70	dien
72	269	269	pronoun	269	-	1	O	fm	1	sg	32	ik
73	271	272	noun	272	-	-	O	n	0	sg	73	mijn lunch
74	271	271	pronoun	271	-	1	O	fm	1	sg	32	mijn
75	278	279	noun	279	-	-	O	n	0	sg	75	mijne zelfbeheersching
76	278	278	pronoun	278	-	1	O	fm	1	sg	32	mijne
77	285	285	pronoun	285	-	1	O	fm	1	sg	32	ik
78	287	287	pronoun	287	-	1	O	fm	1	sg	32	ik
79	288	288	pronoun	288	-	1	O	fm	1	sg	32	mij
80	302	302	pronoun	302	-	1	O	fm	1	sg	32	ik
81	305	305	noun	305	-	-	I	n	0	sg	81	morphine
82	307	307	noun	307	-	-	I	n	0	sg	82	cocaïne
83	310	310	pronoun	310	-	3	O	m	1	sg	52	Hij
84	312	313	noun	313	-	-	O	n	0	pl	19	zijne oogen
85	312	312	pronoun	312	-	3	O	m	1	sg	52	zijne
86	317	318	noun	318	-	-	O	mn	-	sg	86	het notitie-boek
87	319	319	pronoun	319	-	3	O	n	0	sg	86	dat
88	320	320	pronoun	320	-	3	O	m	1	sg	52	hij
89	331	331	pronoun	331	-	3	O	m	1	sg	52	hij
90	334	338	noun	335	-	-	I	mn	-	sg	52	een oplossing van zeven percent
91	337	338	noun	338	-	-	I	n	0	sg	91	zeven percent
92	341	341	pronoun	341	-	2	I	fm	1	sg	32	gij
93	356	356	pronoun	356	-	1	O	fm	1	sg	32	ik
94	360	361	noun	361	-	-	I	n	0	sg	94	mijn gestel
95	360	360	pronoun	360	-	1	I	fm	1	sg	32	mijn
96	363	366	noun	364	-	-	I	n	0	sg	96	de campagne in Afghanistan
97	366	366	name	366	LOC	-	I	n	0	sg	97	Afghanistan
98	372	372	pronoun	372	-	1	I	fm	1	sg	32	Ik
99	379	379	pronoun	379	-	1	I	fm	1	sg	32	mij
100	386	386	pronoun	386	-	3	O	m	1	sg	52	Hij
101	389	391	noun	391	-	-	O	fn	-	sg	101	mijne voorgewende zwakte
102	389	389	pronoun	389	-	1	O	fm	1	sg	32	mijne
103	396	396	pronoun	396	-	2	I	m	1	sg	103	gij
104	399	399	name	399	PER	-	I	m	1	sg	103	Watson
105	403	403	pronoun	403	-	3	O	m	1	sg	52	hij
106	406	406	pronoun	406	-	1	I	m	1	sg	52	ik
107	409	410	noun	410	-	-	I	n	0	sg	107	haar invloed
108	409	409	pronoun	409	-	3	I	fn	-	sg	101	haar
109	415	415	pronoun	415	-	1	I	fm	1	sg	52	Ik
110	417	417	pronoun	417	-	1	I	fm	1	sg	52	mij
111	427	428	noun	428	-	-	I	m	1	sg	111	den geest
112	431	433	noun	433	-	-	I	n	0	sg	112	de latere werking
113	437	438	noun	438	-	-	I	n	0	sg	113	korten duur
114	448	448	pronoun	448	-	1	O	fm	1	sg	32	ik
115	454	455	noun	455	-	-	I	fm	1	pl	115	de gevolgen
116	459	460	noun	460	-	-	I	n	0	sg	116	Uw brein
117	459	459	pronoun	459	-	2	I	fm	1	both	117	Uw
118	464	464	pronoun	464	-	2	I	fm	1	sg	118	gij
119	475	479	noun	479	-	-	I	n	0	sg	86	een pathologisch en ziekelijk proces
120	481	481	pronoun	481	-	3	I	n	0	sg	86	dat
121	485	486	noun	486	-	-	I	n	0	pl	121	de longen
122	491	493	noun	493	-	-	I	n	0	sg	122	een permanente zwakte
123	497	497	pronoun	497	-	2	I	fm	1	sg	118	Gij
124	505	505	pronoun	505	-	2	I	fm	1	sg	118	gij
125	510	511	noun	511	-	-	I	n	0	sg	125	het sop
126	513	514	noun	514	-	-	I	n	0	sg	126	de kool
127	520	520	pronoun	520	-	2	I	fm	1	sg	118	gij
128	523	526	noun	526	-	-	I	n	0	sg	128	een kort voorbijgaand genoegen
129	528	529	noun	529	-	-	I	n	0	sg	129	het verlies
130	532	534	noun	534	-	-	I	n	0	pl	130	de groote gaven
131	536	536	pronoun	536	-	2	I	fm	1	sg	118	gij
132	541	541	pronoun	541	-	2	I	fm	1	sg	118	u
133	544	544	pronoun	544	-	1	I	fm	1	sg	133	ik
134	548	548	pronoun	548	-	2	I	fm	1	sg	118	u
135	551	551	noun	551	-	-	I	fm	1	sg	135	kameraad
136	556	556	noun	556	-	-	I	m	1	sg	136	geneeskundige
137	558	558	pronoun	558	-	-	I	m	1	sg	137	die
138	561	562	noun	562	-	-	I	n	0	sg	138	uw gestel
139	561	561	pronoun	561	-	2	I	fm	1	both	139	uw
140	569	569	pronoun	569	-	3	O	m	1	sg	137	Hij
141	578	578	pronoun	578	-	3	O	m	1	sg	136	hij
142	580	581	noun	581	-	-	O	n	0	pl	142	zijn vingertoppen
143	580	580	pronoun	580	-	3	O	m	1	sg	136	zijn
144	587	591	noun	588	-	-	O	-	-	pl	144	zijne ellebogen op de leuningen
145	587	587	pronoun	587	-	3	O	m	1	sg	136	zijne
146	590	591	noun	591	-	-	O	n	0	pl	146	de leuningen
147	593	594	noun	594	-	-	O	n	0	sg	147	zijn stoel
148	593	593	pronoun	593	-	3	O	m	1	sg	136	zijn
149	598	598	pronoun	598	-	-	O	-	-	sg	149	die
150	605	606	noun	606	-	-	I	m	1	sg	150	Mijn geest
151	605	605	pronoun	605	-	1	I	m	1	sg	136	Mijn
152	608	608	pronoun	608	-	3	I	fm	1	sg	136	zich
153	619	619	pronoun	619	-	3	O	m	1	sg	136	hij
154	623	623	pronoun	623	-	1	I	m	1	sg	136	mij
155	624	624	noun	624	-	-	I	-	-	pl	155	problema's
156	627	627	pronoun	627	-	1	I	fm	1	sg	136	mij
157	628	628	noun	628	-	-	I	n	0	sg	86	werk
158	631	631	pronoun	631	-	1	I	fm	1	sg	136	mij
159	637	640	noun	640	-	-	I	n	0	sg	159	de meest raadselachtige analyse
160	644	644	pronoun	644	-	1	I	fm	1	sg	136	ik
161	646	649	noun	649	-	-	I	n	0	sg	161	de mij eigene atmosfeer
162	647	647	pronoun	647	-	1	I	fm	1	sg	136	mij
163	653	653	pronoun	653	-	1	I	fm	1	sg	136	ik
164	655	656	noun	656	-	-	I	n	0	pl	164	wonderbaarlijke middelen
165	661	661	pronoun	661	-	1	I	fm	1	sg	136	ik
166	663	666	noun	666	MISC	-	O	n	0	sg	166	de onbeduidende " sleur
167	669	671	noun	671	-	-	I	n	0	sg	167	het menschelijk bestaan
168	673	673	pronoun	673	-	1	I	m	1	sg	136	Ik
169	676	677	noun	677	-	-	I	fm	1	sg	169	geestelijke verheffing
170	681	681	pronoun	681	-	3	I	n	0	sg	166	het
171	684	684	pronoun	684	-	1	I	fm	1	sg	136	ik
172	685	688	noun	688	-	-	I	n	0	sg	172	mijn eigen bizonder beroep
173	685	685	pronoun	685	-	1	I	fm	1	sg	136	mijn
174	700	700	pronoun	700	-	1	I	fm	1	sg	136	ik
175	702	709	noun	703	-	-	I	fm	1	sg	136	de eenige op dat gebied in de wereld
176	705	709	noun	706	-	-	I	n	0	sg	176	dat gebied in de wereld
177	708	709	noun	709	-	-	I	n	0	sg	177	de wereld
178	713	716	noun	716	-	-	I	m	1	sg	178	De eenige particuliere detective
179	720	720	pronoun	720	-	1	O	fm	1	sg	32	ik
180	722	723	noun	723	-	-	O	n	0	pl	180	groote oogen
181	727	732	noun	732	-	-	I	fm	1	sg	181	De eenige particuliere , consulteerende detective
182	736	736	pronoun	736	-	3	O	m	1	sg	178	hij
183	739	739	pronoun	739	-	1	I	m	1	sg	178	ik
184	741	749	name	745	ORG	-	I	-	-	sg	178	het laatste en hoogste Hof van appèl voor onthullingen
185	747	749	noun	747	-	-	I	n	0	sg	185	appèl voor onthullingen
186	749	749	noun	749	-	-	I	-	-	pl	186	onthullingen
187	752	752	name	752	PER	-	I	m	1	sg	187	Gregson
188	755	755	name	755	LOC	-	I	m	1	sg	188	Lestrade
189	758	759	name	759	PER	-	I	fm	1	both	189	Athelney Jones
190	769	771	noun	771	-	-	I	n	0	pl	190	de meeste gevallen
191	777	778	noun	778	-	-	I	n	0	sg	191	de zaak
192	780	780	pronoun	780	-	1	I	fm	1	sg	178	mij
193	783	783	pronoun	783	-	1	I	fm	1	sg	178	Ik
194	789	790	noun	790	-	-	I	fm	1	sg	194	een gezworene
195	794	795	noun	795	-	-	I	n	0	sg	195	een oordeel
196	798	799	noun	799	-	-	I	n	0	sg	196	een specialiteit
197	801	801	pronoun	801	-	1	I	fm	1	sg	178	Ik
198	806	807	noun	807	-	-	I	n	0	pl	198	dusdanige gevallen
199	809	810	noun	810	-	-	I	n	0	sg	199	Mijn naam
200	809	809	pronoun	809	-	1	I	fm	1	sg	178	Mijn
201	816	818	noun	817	-	-	I	n	0	sg	86	Het werk zelve
202	820	821	noun	821	-	-	I	n	0	sg	128	het genoegen
203	822	823	noun	823	-	-	I	n	0	sg	203	een veld
204	827	830	noun	830	-	-	I	n	0	pl	204	mijne eigen zeldzame gaven
205	827	827	pronoun	827	-	1	I	fm	1	sg	178	mijne
206	833	835	noun	835	-	-	I	n	0	sg	86	mijn hoogste belooning
207	833	833	pronoun	833	-	1	I	fm	1	sg	178	mijn
208	838	838	pronoun	838	-	2	I	fm	1	sg	181	gij
209	845	848	noun	846	-	-	I	n	0	sg	209	mijne methode van werken
210	845	845	pronoun	845	-	1	I	fm	1	sg	178	mijne
211	850	854	noun	851	-	-	I	n	0	sg	211	't geval van Jefferson Hope
212	853	854	name	854	PER	-	I	m	1	sg	212	Jefferson Hope
213	862	862	pronoun	862	-	1	O	fm	1	sg	32	ik
214	865	865	pronoun	865	-	1	I	fm	1	sg	32	ik
215	870	870	pronoun	870	-	1	I	fm	1	sg	32	mijn
216	876	876	pronoun	876	-	1	I	fm	1	sg	32	Ik
217	880	881	noun	881	-	-	I	n	0	sg	86	een werk
218	886	888	noun	887	-	-	I	n	0	sg	218	den titel van
219	891	892	name	892	MISC	-	O	n	0	sg	219	Een Godsgericht
220	895	898	name	898	MISC	-	I	n	0	both	220	_A Study in Scarlet_
221	910	914	name	910	LOC	-	O	n	0	sg	221	Amsterdam bij N. J. Boon
222	912	914	name	914	PER	-	O	m	1	sg	222	N. J. Boon
223	917	917	pronoun	917	-	3	O	m	1	sg	222	Hij
224	920	921	noun	921	-	-	O	n	0	sg	224	het hoofd
225	924	924	pronoun	924	-	1	I	m	1	sg	222	Ik
226	931	931	pronoun	931	-	3	O	m	1	sg	222	hij
227	937	937	pronoun	937	-	1	I	m	1	sg	222	ik
228	938	938	pronoun	938	-	2	I	fm	1	sg	228	u
229	952	954	noun	954	-	-	I	n	0	sg	229	een bepaalde wetenschap
230	959	961	noun	961	-	-	I	n	0	sg	230	dezelfde ongevoelige wijze
231	966	966	pronoun	966	-	2	I	fm	1	sg	32	Gij
232	970	972	noun	972	-	-	I	n	0	sg	232	een romantische tint
233	979	980	noun	980	-	-	I	n	0	sg	233	dezelfde uitwerking
234	984	984	pronoun	984	-	2	I	fm	1	sg	32	gij
235	985	986	noun	986	-	-	I	n	0	sg	235	een liefdeshistorie
236	988	989	noun	989	-	-	I	n	0	sg	236	een schaking
237	994	994	name	994	PER	-	I	fm	1	sg	237	Euclides
238	1001	1002	noun	1002	-	-	I	m	1	sg	238	de roman
239	1008	1008	pronoun	1008	-	1	O	fm	1	sg	32	ik
240	1011	1011	pronoun	1011	-	1	I	fm	1	sg	32	ik
241	1013	1014	noun	1014	-	-	I	n	0	pl	241	de feiten
242	1021	1026	noun	1023	-	-	I	n	0	sg	86	Het eenige feit in het geval
243	1025	1026	noun	1026	-	-	I	n	0	sg	211	het geval
244	1028	1029	noun	1029	-	-	I	n	0	sg	244	eene vermelding
245	1034	1039	noun	1037	-	-	I	n	0	sg	245	de zeldzame analytische redeneering van oorzaken
246	1039	1039	noun	1039	-	-	I	n	0	pl	246	oorzaken
247	1041	1041	noun	1041	-	-	I	fm	1	pl	247	gevolgen
