id	start	end	sentno	parno	sentbounds	mentions	speakermention	addresseemention	speakercluster	addresseecluster	text
0	399	403	14	3	0		-	-	-	-	" lieve wichtjes . "
1	444	455	16	3	0	107,108,109	106	-	93	-	" dat hij die versjes zong , door liefde gedrongen . "
2	462	683	17	3	1	112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174	106	249	93	113	" man , ik wilde u graag eens ontmoeten , en als ge mij de marmerknikkers weigerde , die ik u vragen zou , of mijn naam voluit in banket - ik heet Batavus - dan houd ik u voor een leugenaar . Maar ik heb Van Alphen nooit gezien . Hij was al dood , geloof ik , toen hij ons vertelde dat mijn vader mijn beste vrind was - ik hield meer van Pauweltje Winser , die naast ons woonde in de Batavierstraat - en dat mijn kleine hond zoo dankbaar was . We hielden geen honden , omdat ze zoo onzindelijk zijn . Alles leugens ! Zoo gaat dan de opvoeding voort . Het nieuwe zusjen is van de groenvrouw gekomen in een groote kool . Alle Hollanders zijn dapper en edelmoedig . De Romeinen waren blij dat de Batavieren hen lieten leven . De Beij van Tunis kreeg een kolijk als hij het wapperen hoorde van de nederlandsche vlag . De hertog van Alva was een ondier . De eb , in 1672 geloof ik , duurde wat langer dan gewoonlijk , expres om Nederland te beschermen . Leugens ! Nederland is Nederland gebleven , omdat onze oude luî goed op hun zaken pasten , en omdat ze het ware geloof hadden . Dàt is de zaak !
3	961	963	47	4	0		249	106	113	93	" Uhlefeldjes "
4	1008	1020	52	5	1	258	106	249	93	113	" De lucht is guur , en 't is vier uur . "
5	1057	1070	54	5	0	266	-	-	-	-	" de lucht is guur , en 't is kwartier voor drieën . "
6	1555	1565	86	7	0	365,366,367,368	364	367	176	365	" o mijne moeder , o , mijne moeder ! "
7	1602	1608	88	7	0	376,377	-	-	-	-	" werken voor den kost ? "
8	1826	1838	98	9	0	429	-	-	-	-	" mevrouw , het is te laat , de poorten zijn gesloten "
9	1851	1863	98	9	0	432,433	-	-	-	-	" welaan dan , onversaagd , men doe het zwaard ontblooten ? "
10	3684	3686	202	39	0	855	854	-	113	-	" shawl "
11	3737	3772	204	39	0	869,870,871,872,873,874,875,876,877,878	884	891	869	869	" ik dank u , maar ik heb me vergist . Ik dacht het genoegen te hebben een ouden schoolkameraad voor me te zien , maar ... Last ? Dit is de naam niet . "
12	3773	3805	208	40	1	879,880,881,882,883,884,885,886,887,888,889,890	891	884	869	869	- Pardon , zei ik - want ik ben altijd beleefd - ik ben m'nheer Droogstoppel , Batavus Droogstoppel . Last en Co is de firma , makelaars in koffie , Lauriergr ...
13	3806	3903	210	41	1	891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914	884	891	869	869	- Wel , Droogstoppel , kent ge mij niet meer ? Zie mij eens goed aan . Hoe meer ik hem aanzag , hoe meer ik mij herinnerde hem meer gezien te hebben . Maar , zonderling , zijn gelaat deed mij de uitwerking alsof ik vreemde parfumerien rook . Lach hier niet om , lezer , straks zult ge zien hoe dit kwam . Ik ben verzekerd dat hij geen drup reukwerk bij zich droeg , en toch rook ik iets aangenaams , iets sterks , iets wat me herinnerde aan ... daar had ik het !
14	3904	3936	216	42	1	915,916,917,918,919,920,921,922,923	891	884	869	869	- Zijt gij het , riep ik , die mij van den Griek hebt verlost ? - Wel zeker , zeide hij , dat was ik . En hoe gaat het U ?
15	4016	4029	221	43	0	942,943,944	941	891	1	869	" we zijn met ons dertienen , en ... goeien avend verder ! "
16	4314	4319	234	45	0	1015	-	-	-	-	" God is goed ? "
