id	gender	human	number	size	firstmention	mentions	label
0	n	0	sg	1	0	0	EERSTE HOOFDSTUK
1	f	1	sg	8	1	1,1091,308,1093,1094,361,362,1070	De kennis der gevolgtrekking
2	n	0	sg	6	2	480,2,498,780,524,463	der gevolgtrekking
3	m	1	sg	86	3	1281,3,5,1287,8,10,12,13,1295,17,1302,1531,1563,286,1312,289,290,1315,292,1317,294,1574,1577,1589,1591,1848,1849,1594,1595,315,1856,327,328,1097,1863,1099,1612,340,341,344,2137,2138,2139,348,349,2141,1636,1639,1640,1642,1645,366,1136,1139,1406,1409,930,932,1192,939,940,1197,942,1201,1203,695,696,700,701,703,710,714,974,1743,976,978,1496,1497,1498,1499,1507,1269,1527,1528,1530,2043	Sherlock Holmes
4	n	0	sg	2	4	2156,4	zijn flesch van den schoorsteenmantel en zijn werktuig voor onderhuidsche inspuitingen
6	n	0	sg	1	6	6	den schoorsteenmantel
7	n	0	sg	1	7	7	zijn werktuig voor onderhuidsche inspuitingen
9	n	0	both	1	9	9	zijn marokijnen foudraal
11	-	-	pl	1	11	11	zijne lange , witte , zenuwachtige vingers
14	n	0	sg	1	14	14	de fijne naald
15	-	-	sg	1	15	15	de linkermouw van zijn overhemd
16	n	0	sg	1	16	16	zijn overhemd
18	mn	-	sg	7	18	18,20,2261,281,683,1646,2239	eenigen tijd
19	-	-	pl	19	19	192,193,198,201,206,208,977,19,979,85,981,212,985,986,989,180,182,183,184	zijne oogen
21	n	0	sg	13	21	356,70,72,585,298,1706,1071,659,596,21,1526,444,29	den
22	-	-	both	2	22	24,22	voorarm
23	-	-	sg	1	23	23	pols gericht
25	m	1	sg	2	25	25,27	ontelbare teekenen van inprikkingen
26	-	-	pl	1	26	26	inprikkingen
28	n	0	sg	2	28	28,390	de scherpe punt
30	-	-	sg	1	30	30	zucht van voldoening in den fluweelen armstoel
31	-	-	sg	1	31	31	voldoening in den fluweelen armstoel
32	n	0	sg	1	32	32	den fluweelen armstoel
33	fm	1	sg	172	33	525,528,2065,536,2074,540,2077,33,547,37,39,551,41,42,2091,44,46,47,48,49,1585,1587,2095,54,63,67,68,73,75,587,77,78,79,80,81,591,592,594,93,94,2142,2144,609,96,611,99,100,103,616,623,624,114,626,627,629,1693,673,1185,1700,1189,179,691,693,697,1738,1739,215,216,217,218,1252,1253,2277,2278,1256,233,1257,236,2287,751,242,243,758,763,253,256,261,262,267,270,271,276,277,279,280,792,794,283,1824,1830,1832,1834,1840,1329,1841,1331,1844,820,1341,1342,830,1344,831,841,842,332,1357,334,845,336,847,850,1880,345,867,869,882,1394,2423,1402,2439,994,919,922,924,928,417,1442,1446,1448,2473,1452,1471,1473,1474,1476,453,1477,1479,456,1481,454,1485,1489,477,990,2527,992,1506,995,484,485,486,997,999,482,1002,489,490,494,1009,1010	ik
34	fm	1	sg	1	34	34	getuige
35	n	0	sg	1	35	35	deze verrichting
36	n	0	sg	3	36	36,773,774	de gewoonte
38	n	0	sg	1	38	38	dit opzicht
40	n	0	sg	1	40	40	het gezicht ervan
43	n	0	sg	1	43	43	mijn gebrek aan moed
45	m	1	sg	1	45	45	moed
50	n	0	sg	1	50	50	de noodige opheldering
51	n	0	sg	4	51	56,59,51,55	zooveel koele onverschilligheid
52	n	0	sg	3	52	2024,1740,52	het voorkomen van mijn metgezel
53	m	1	sg	37	53	1345,642,1347,69,1350,1927,1352,1353,650,1354,1355,1359,1361,275,1366,1879,666,667,1373,672,1378,1383,1390,887,881,628,53,630,884,632,57,634,891,886,637,638,1343	mijn metgezel
58	n	0	sg	1	58	58	Zijn kracht
60	n	0	sg	1	60	60	gebiedend uiterlijk
61	n	0	sg	5	61	65,210,62,61,1470	de ondervinding
64	n	0	pl	2	64	64,354	zijne vele buitengewone eigenschappen
66	n	0	sg	3	66	840,66,715	dit alles
71	n	0	sg	1	71	71	tengevolge van den meer dan gewonen en krachtigen wijn
74	n	0	sg	1	74	74	mijn lunch
76	m	1	sg	11	76	101,106,107,76,110,111,84,86,89,90,91	mijne zelfbeheersching
82	n	0	sg	1	82	82	morphine
83	n	0	sg	2	83	83,854	cocaïne
87	mn	-	sg	56	87	643,1419,1547,1548,783,656,1553,658,914,405,1560,410,1306,668,925,158,926,411,1449,2093,560,561,1459,2100,1460,575,576,832,1600,1733,1735,202,843,716,589,844,207,1231,87,88,219,605,739,612,1513,1514,618,619,496,1908,245,119,120,635,254,255	het notitie-boek
92	n	0	sg	1	92	92	zeven percent
95	n	0	sg	1	95	95	mijn gestel
97	n	0	sg	1	97	97	de campagne in Afghanistan
98	n	0	sg	2	98	98,1828	Afghanistan
102	fn	-	sg	2	102	109,102	mijne voorgewende zwakte
104	m	1	sg	33	104	1217,1410,1798,1799,398,399,785,786,1491,1940,1430,1431,1432,1241,1242,1948,1439,675,676,1381,678,104,1384,105,1385,680,2092,682,687,689,567,1403,2044	gij
108	n	0	sg	2	108	108,430	haar invloed
112	m	1	sg	2	112	112,239	den geest
113	n	0	sg	1	113	113	de latere werking slechts van zeer korten
115	fm	1	pl	1	115	115	de gevolgen
116	n	0	sg	1	116	116	Uw brein
117	fm	1	both	1	117	117	Uw
118	fm	1	sg	7	118	131,132,118,134,123,124,127	gij
121	n	0	pl	1	121	121	de longen
122	n	0	sg	1	122	122	een permanente zwakte
125	n	0	sg	1	125	125	het sop
126	n	0	sg	2	126	412,126	de kool
128	n	0	sg	4	128	128,259,203,264	een kort voorbijgaand genoegen
129	n	0	sg	1	129	129	het verlies
130	n	-	pl	11	130	130,1712,1168,1745,1747,789,1749,1753,2330,1179,351	de groote
133	fm	1	sg	1	133	133	ik
135	m	1	sg	20	135	135,141,143,145,148,152,153,154,155,157,159,161,162,163,165,168,171,173,174,175	kameraad
136	m	1	sg	2	136	136,140	geneeskundige
137	n	0	sg	4	137	137,2228,2214,991	die eenigszins
138	n	0	sg	1	138	138	uw gestel
139	fm	1	both	1	139	139	uw
142	n	0	pl	1	142	142	zijn vingertoppen
144	-	-	pl	1	144	144	zijne ellebogen op de leuningen van zijn stoel
146	n	0	pl	1	146	146	de leuningen van zijn stoel
147	n	0	sg	5	147	147,980,931,692,996	zijn stoel
149	-	-	both	1	149	149	die
150	n	0	sg	2	150	2449,150	wenschte
151	m	1	sg	1	151	151	Mijn geest
156	-	-	pl	1	156	156	problema's
160	n	0	sg	1	160	160	de meest raadselachtige analyse
164	n	0	pl	1	164	164	wonderbaarlijke middelen
166	n	0	sg	2	166	170,166	de onbeduidende " sleur
167	n	0	sg	1	167	167	het menschelijk bestaan
169	fm	1	sg	1	169	169	geestelijke verheffing
172	n	0	sg	1	172	172	mijn eigen bizonder beroep
176	n	0	sg	1	176	176	dat gebied in de wereld
177	n	0	sg	2	177	177,858	de wereld
178	fm	1	sg	1	178	178	De eenige particuliere detective
181	fm	1	sg	2	181	209,181	De eenige particuliere , consulteerende detective
185	n	0	sg	1	185	185	appèl voor onthullingen
186	-	-	pl	1	186	186	onthullingen
187	m	1	sg	1	187	187	Gregson
188	m	1	sg	1	188	188	Lestrade
189	fm	1	both	1	189	189	Athelney Jones
