id	start	end	type	head	neclass	person	quote	gender	human	number	cluster	text
0	1	2	noun	2	-	-	O	n	0	sg	0	EERSTE HOOFDSTUK
1	4	7	noun	5	-	-	O	f	1	sg	1	De kennis der gevolgtrekking
2	6	7	noun	7	-	-	O	n	0	sg	2	der gevolgtrekking
3	9	10	name	10	PER	-	O	m	1	sg	3	Sherlock Holmes
4	12	22	noun	13	-	-	O	n	0	sg	4	zijn flesch van den schoorsteenmantel en zijn werktuig voor onderhuidsche inspuitingen
5	12	12	pronoun	12	-	3	O	m	1	sg	3	zijn
6	15	16	noun	16	-	-	O	n	0	sg	6	den schoorsteenmantel
7	18	22	noun	19	-	-	O	n	0	sg	7	zijn werktuig voor onderhuidsche inspuitingen
8	18	18	pronoun	18	-	3	O	m	1	sg	3	zijn
9	24	26	name	26	MISC	-	O	n	0	both	9	zijn marokijnen foudraal
10	24	24	pronoun	24	-	3	O	m	1	sg	3	zijn
11	29	35	noun	35	-	-	O	-	-	pl	11	zijne lange , witte , zenuwachtige vingers
12	29	29	pronoun	29	-	3	O	m	1	sg	3	zijne
13	37	37	pronoun	37	-	3	O	m	1	sg	3	hij
14	38	40	noun	40	-	-	O	n	0	sg	14	de fijne naald
15	46	50	noun	47	-	-	O	-	-	sg	15	de linkermouw van zijn overhemd
16	49	50	noun	50	-	-	O	n	0	sg	16	zijn overhemd
17	49	49	pronoun	49	-	3	O	m	1	sg	3	zijn
18	54	55	noun	54	-	-	O	mn	-	sg	18	eenigen tijd
19	57	58	noun	58	-	-	O	-	-	pl	19	zijne oogen
20	57	57	pronoun	57	-	3	O	mn	-	sg	18	zijne
21	61	61	noun	61	-	-	O	n	0	sg	21	den
22	63	63	noun	63	-	-	O	-	-	both	22	voorarm
23	65	66	noun	65	-	-	O	-	-	sg	23	pols gericht
24	68	68	pronoun	68	-	-	O	-	-	both	22	die
25	70	73	noun	71	-	-	O	m	1	sg	25	ontelbare teekenen van inprikkingen
26	73	73	noun	73	-	-	O	-	-	pl	26	inprikkingen
27	80	80	pronoun	80	-	3	O	m	1	sg	25	hij
28	81	83	noun	83	-	-	O	n	0	sg	28	de scherpe punt
29	87	87	noun	87	-	-	O	n	0	sg	21	den
30	96	102	noun	96	-	-	O	-	-	sg	30	zucht van voldoening in den fluweelen armstoel
31	98	102	noun	98	-	-	O	-	-	sg	31	voldoening in den fluweelen armstoel
32	100	102	noun	102	-	-	O	n	0	sg	32	den fluweelen armstoel
33	109	109	pronoun	109	-	1	O	fm	1	sg	33	ik
34	114	114	noun	114	-	-	O	fm	1	sg	34	getuige
35	117	118	noun	118	-	-	O	n	0	sg	35	deze verrichting
36	121	122	noun	122	-	-	O	n	0	sg	36	de gewoonte
37	125	125	pronoun	125	-	1	O	fm	1	sg	33	mij
38	127	128	noun	128	-	-	O	n	0	sg	38	dit opzicht
39	141	141	pronoun	141	-	1	O	fm	1	sg	33	mij
40	142	144	noun	143	-	-	O	n	0	sg	40	het gezicht ervan
41	152	152	pronoun	152	-	1	O	fm	1	sg	33	ik
42	153	153	pronoun	153	-	1	O	fm	1	sg	33	mij
43	154	157	noun	155	-	-	O	n	0	sg	43	mijn gebrek aan moed
44	154	154	pronoun	154	-	1	O	fm	1	sg	33	mijn
45	157	157	noun	157	-	-	O	m	1	sg	45	moed
46	160	160	pronoun	160	-	1	O	fm	1	sg	33	mij
47	168	168	pronoun	168	-	1	O	fm	1	sg	33	ik
48	169	169	pronoun	169	-	1	O	fm	1	sg	33	mij
49	175	175	pronoun	175	-	1	O	fm	1	sg	33	mij
50	177	179	noun	179	-	-	O	n	0	sg	50	de noodige opheldering
51	186	188	noun	188	-	-	O	n	0	sg	51	zooveel koele onverschilligheid
52	190	194	noun	191	-	-	O	n	0	sg	52	het voorkomen van mijn metgezel
53	193	194	noun	194	-	-	O	m	1	sg	53	mijn metgezel
54	193	193	pronoun	193	-	1	O	fm	1	sg	33	mijn
55	198	198	pronoun	198	-	3	O	n	0	sg	51	zich
56	204	204	pronoun	204	-	3	O	n	0	sg	51	zich
57	208	208	pronoun	208	-	3	O	m	1	sg	53	hem
58	212	213	noun	213	-	-	O	n	0	sg	58	Zijn kracht
59	212	212	pronoun	212	-	3	O	n	0	sg	51	Zijn
60	216	217	noun	217	-	-	O	n	0	sg	60	gebiedend uiterlijk
61	220	221	noun	221	-	-	O	n	0	sg	61	de ondervinding
62	222	222	pronoun	222	-	-	O	n	0	sg	61	die
63	223	223	pronoun	223	-	1	O	fm	1	sg	33	ik
64	226	229	noun	229	-	-	O	n	0	pl	64	zijne vele buitengewone eigenschappen
65	226	226	pronoun	226	-	3	O	n	0	sg	61	zijne
66	231	232	noun	232	-	-	O	n	0	sg	66	dit alles
67	234	234	pronoun	234	-	1	O	fm	1	sg	33	mij
68	239	239	pronoun	239	-	1	O	fm	1	sg	33	mij
69	242	242	pronoun	242	-	3	O	m	1	sg	53	hem
70	244	244	noun	244	-	-	O	n	0	sg	21	den
71	258	266	noun	266	-	-	O	n	0	sg	71	tengevolge van den meer dan gewonen en krachtigen wijn
72	260	260	noun	260	-	-	O	n	0	sg	21	den
73	269	269	pronoun	269	-	1	O	fm	1	sg	33	ik
74	271	272	noun	272	-	-	O	n	0	sg	74	mijn lunch
75	271	271	pronoun	271	-	1	O	fm	1	sg	33	mijn
76	278	279	noun	279	-	-	O	m	1	sg	76	mijne zelfbeheersching
77	278	278	pronoun	278	-	1	O	fm	1	sg	33	mijne
78	285	285	pronoun	285	-	1	O	fm	1	sg	33	ik
79	287	287	pronoun	287	-	1	O	fm	1	sg	33	ik
80	288	288	pronoun	288	-	1	O	fm	1	sg	33	mij
81	302	302	pronoun	302	-	1	O	fm	1	sg	33	ik
82	305	305	noun	305	-	-	I	n	0	sg	82	morphine
83	307	307	noun	307	-	-	I	n	0	sg	83	cocaïne
84	310	310	pronoun	310	-	3	O	m	1	sg	76	Hij
85	312	313	noun	313	-	-	O	-	-	both	19	zijne oogen
86	312	312	pronoun	312	-	3	O	m	1	sg	76	zijne
87	317	318	noun	318	-	-	O	mn	-	sg	87	het notitie-boek
88	319	319	pronoun	319	-	3	O	n	0	sg	87	dat
89	320	320	pronoun	320	-	3	O	m	1	sg	76	hij
90	331	331	pronoun	331	-	3	O	m	1	sg	76	hij
91	334	338	noun	335	-	-	I	mn	-	sg	76	een oplossing van zeven percent
92	337	338	noun	338	-	-	I	n	0	sg	92	zeven percent
93	341	341	pronoun	341	-	2	I	fm	1	sg	33	gij
94	356	356	pronoun	356	-	1	O	fm	1	sg	33	ik
95	360	361	noun	361	-	-	I	n	0	sg	95	mijn gestel
96	360	360	pronoun	360	-	1	I	fm	1	sg	33	mijn
97	363	366	noun	364	-	-	I	n	0	sg	97	de campagne in Afghanistan
98	366	366	name	366	LOC	-	I	n	0	sg	98	Afghanistan
99	372	372	pronoun	372	-	1	I	fm	1	sg	33	Ik
100	379	379	pronoun	379	-	1	I	fm	1	sg	33	mij
101	386	386	pronoun	386	-	3	O	m	1	sg	76	Hij
102	389	391	noun	391	-	-	O	fn	-	sg	102	mijne voorgewende zwakte
103	389	389	pronoun	389	-	1	O	fm	1	sg	33	mijne
104	396	396	pronoun	396	-	2	I	m	1	sg	104	gij
105	399	399	name	399	PER	-	I	m	1	sg	104	Watson
106	403	403	pronoun	403	-	3	O	m	1	sg	76	hij
107	406	406	pronoun	406	-	1	I	m	1	sg	76	ik
108	409	410	noun	410	-	-	I	n	0	sg	108	haar invloed
109	409	409	pronoun	409	-	3	I	fn	-	sg	102	haar
110	415	415	pronoun	415	-	1	I	fm	1	sg	76	Ik
111	417	417	pronoun	417	-	1	I	fm	1	sg	76	mij
112	427	428	noun	428	-	-	I	m	1	sg	112	den geest
113	431	437	noun	433	-	-	I	n	0	sg	113	de latere werking slechts van zeer korten
114	448	448	pronoun	448	-	1	O	fm	1	sg	33	ik
115	454	455	noun	455	-	-	I	fm	1	pl	115	de gevolgen
116	459	460	noun	460	-	-	I	n	0	sg	116	Uw brein
117	459	459	pronoun	459	-	2	I	fm	1	both	117	Uw
118	464	464	pronoun	464	-	2	I	fm	1	sg	118	gij
119	475	479	noun	479	-	-	I	n	0	sg	87	een pathologisch en ziekelijk proces
120	481	481	pronoun	481	-	3	I	n	0	sg	87	dat
121	485	486	noun	486	-	-	I	n	0	pl	121	de longen
122	491	493	noun	493	-	-	I	n	0	sg	122	een permanente zwakte
123	497	497	pronoun	497	-	2	I	fm	1	sg	118	Gij
124	505	505	pronoun	505	-	2	I	fm	1	sg	118	gij
125	510	511	noun	511	-	-	I	n	0	sg	125	het sop
126	513	514	noun	514	-	-	I	n	0	sg	126	de kool
127	520	520	pronoun	520	-	2	I	fm	1	sg	118	gij
128	523	526	noun	526	-	-	I	n	0	sg	128	een kort voorbijgaand genoegen
129	528	529	noun	529	-	-	I	n	0	sg	129	het verlies
130	532	533	noun	533	-	-	I	n	-	pl	130	de groote
131	536	536	pronoun	536	-	2	I	fm	1	sg	118	gij
132	541	541	pronoun	541	-	2	I	fm	1	sg	118	u
133	544	544	pronoun	544	-	1	I	fm	1	sg	133	ik
134	548	548	pronoun	548	-	2	I	fm	1	sg	118	u
135	551	551	noun	551	-	-	I	m	1	sg	135	kameraad
136	556	556	noun	556	-	-	I	m	1	sg	136	geneeskundige
137	558	559	noun	559	-	-	I	n	0	sg	137	die eenigszins
138	561	562	noun	562	-	-	I	n	0	sg	138	uw gestel
139	561	561	pronoun	561	-	2	I	fm	1	both	139	uw
140	569	569	pronoun	569	-	3	O	m	1	sg	136	Hij
141	578	578	pronoun	578	-	3	O	m	1	sg	135	hij
142	580	581	noun	581	-	-	O	n	0	pl	142	zijn vingertoppen
143	580	580	pronoun	580	-	3	O	m	1	sg	135	zijn
144	587	594	noun	588	-	-	O	-	-	pl	144	zijne ellebogen op de leuningen van zijn stoel
145	587	587	pronoun	587	-	3	O	m	1	sg	135	zijne
146	590	594	noun	591	-	-	O	n	0	pl	146	de leuningen van zijn stoel
147	593	594	noun	594	-	-	O	n	0	sg	147	zijn stoel
148	593	593	pronoun	593	-	3	O	m	1	sg	135	zijn
149	598	598	pronoun	598	-	-	O	-	-	both	149	die
150	600	600	noun	600	-	-	O	n	0	sg	150	wenschte
151	605	606	noun	606	-	-	I	m	1	sg	151	Mijn geest
152	605	605	pronoun	605	-	1	I	m	1	sg	135	Mijn
153	608	608	pronoun	608	-	3	I	fm	1	sg	135	zich
154	619	619	pronoun	619	-	3	O	m	1	sg	135	hij
155	623	623	pronoun	623	-	1	I	m	1	sg	135	mij
156	624	624	noun	624	-	-	I	-	-	pl	156	problema's
157	627	627	pronoun	627	-	1	I	fm	1	sg	135	mij
158	628	628	noun	628	-	-	I	n	0	sg	87	werk
159	631	631	pronoun	631	-	1	I	fm	1	sg	135	mij
160	637	640	noun	640	-	-	I	n	0	sg	160	de meest raadselachtige analyse
161	644	644	pronoun	644	-	1	I	fm	1	sg	135	ik
162	647	647	pronoun	647	-	1	I	fm	1	sg	135	mij
163	653	653	pronoun	653	-	1	I	fm	1	sg	135	ik
164	655	656	noun	656	-	-	I	n	0	pl	164	wonderbaarlijke middelen
165	661	661	pronoun	661	-	1	I	fm	1	sg	135	ik
166	663	666	noun	666	MISC	-	O	n	0	sg	166	de onbeduidende " sleur
167	669	671	noun	671	-	-	I	n	0	sg	167	het menschelijk bestaan
168	673	673	pronoun	673	-	1	I	m	1	sg	135	Ik
169	676	677	noun	677	-	-	I	fm	1	sg	169	geestelijke verheffing
170	681	681	pronoun	681	-	3	I	n	0	sg	166	het
171	684	684	pronoun	684	-	1	I	fm	1	sg	135	ik
172	685	688	noun	688	-	-	I	n	0	sg	172	mijn eigen bizonder beroep
173	685	685	pronoun	685	-	1	I	fm	1	sg	135	mijn
174	700	700	pronoun	700	-	1	I	fm	1	sg	135	ik
175	702	709	noun	703	-	-	I	fm	1	sg	135	de eenige op dat gebied in de wereld
176	705	709	noun	706	-	-	I	n	0	sg	176	dat gebied in de wereld
177	708	709	noun	709	-	-	I	n	0	sg	177	de wereld
178	713	716	noun	716	-	-	I	fm	1	sg	178	De eenige particuliere detective
179	720	720	pronoun	720	-	1	O	fm	1	sg	33	ik
180	722	723	name	723	PER	-	O	m	1	sg	19	groote oogen
181	727	732	noun	732	-	-	I	fm	1	sg	181	De eenige particuliere , consulteerende detective
182	736	736	pronoun	736	-	3	O	m	1	sg	19	hij
183	739	739	pronoun	739	-	1	I	m	1	sg	19	ik
184	741	749	name	745	ORG	-	I	-	-	sg	19	het laatste en hoogste Hof van appèl voor onthullingen
185	747	749	noun	747	-	-	I	n	0	sg	185	appèl voor onthullingen
186	749	749	noun	749	-	-	I	-	-	pl	186	onthullingen
187	752	752	name	752	PER	-	I	m	1	sg	187	Gregson
188	755	755	name	755	LOC	-	I	m	1	sg	188	Lestrade
189	758	759	name	759	PER	-	I	fm	1	both	189	Athelney Jones
190	769	771	noun	771	-	-	I	n	0	pl	190	de meeste gevallen
191	777	778	noun	778	-	-	I	n	0	sg	191	de zaak
192	780	780	pronoun	780	-	1	I	fm	1	sg	19	mij
193	783	783	pronoun	783	-	1	I	fm	1	sg	19	Ik
194	785	786	noun	786	-	-	I	n	0	sg	194	den data
195	789	790	noun	790	-	-	I	fm	1	sg	195	een gezworene
196	794	795	noun	795	-	-	I	n	0	sg	196	een oordeel
197	798	799	noun	799	-	-	I	n	0	sg	197	een specialiteit
198	801	801	pronoun	801	-	1	I	fm	1	sg	19	Ik
199	806	807	noun	807	-	-	I	n	0	pl	199	dusdanige gevallen
200	809	810	noun	810	-	-	I	n	0	sg	200	Mijn naam
201	809	809	pronoun	809	-	1	I	fm	1	sg	19	Mijn
202	816	818	noun	817	-	-	I	n	0	sg	87	Het werk zelve
203	820	821	noun	821	-	-	I	n	0	sg	128	het genoegen
204	822	823	noun	823	-	-	I	n	0	sg	204	een veld
205	827	830	noun	830	-	-	I	n	0	pl	205	mijne eigen zeldzame gaven
206	827	827	pronoun	827	-	1	I	fm	1	sg	19	mijne
207	833	835	noun	835	-	-	I	n	0	sg	87	mijn hoogste belooning
208	833	833	pronoun	833	-	1	I	fm	1	sg	19	mijn
209	838	838	pronoun	838	-	2	I	fm	1	sg	181	gij
210	841	842	noun	842	-	-	I	n	0	sg	61	eenige ondervinding
211	845	854	noun	846	-	-	I	n	0	sg	211	mijne methode van werken in 't geval van Jefferson Hope
212	845	845	pronoun	845	-	1	I	fm	1	sg	19	mijne
213	850	854	noun	851	-	-	I	n	0	sg	213	't geval van Jefferson Hope
214	853	854	name	854	PER	-	I	m	1	sg	214	Jefferson Hope
215	862	862	pronoun	862	-	1	O	fm	1	sg	33	ik
216	865	865	pronoun	865	-	1	I	fm	1	sg	33	ik
217	870	870	pronoun	870	-	1	I	fm	1	sg	33	mijn
218	876	876	pronoun	876	-	1	I	fm	1	sg	33	Ik
219	880	881	noun	881	-	-	I	n	0	sg	87	een werk
220	886	888	noun	887	-	-	I	n	0	sg	220	den titel van
221	891	892	name	892	MISC	-	O	n	0	sg	221	Een Godsgericht
222	895	898	name	898	MISC	-	I	n	0	both	222	_A Study in Scarlet_
223	910	914	name	910	LOC	-	O	n	0	sg	223	Amsterdam bij N. J. Boon
224	912	914	name	914	PER	-	O	m	1	sg	224	N. J. Boon
225	917	917	pronoun	917	-	3	O	m	1	sg	224	Hij
226	920	921	noun	921	-	-	O	n	0	sg	226	het hoofd
227	924	924	pronoun	924	-	1	I	m	1	sg	224	Ik
228	931	931	pronoun	931	-	3	O	m	1	sg	224	hij
229	937	937	pronoun	937	-	1	I	m	1	sg	224	ik
230	938	938	pronoun	938	-	2	I	fm	1	sg	230	u
231	952	954	noun	954	-	-	I	n	0	sg	231	een bepaalde wetenschap
232	959	961	noun	961	-	-	I	n	0	sg	232	dezelfde ongevoelige wijze
233	966	966	pronoun	966	-	2	I	fm	1	sg	33	Gij
234	970	972	noun	972	-	-	I	n	0	sg	234	een romantische tint
235	979	980	noun	980	-	-	I	n	0	sg	235	dezelfde uitwerking
236	984	984	pronoun	984	-	2	I	fm	1	sg	33	gij
237	985	986	noun	986	-	-	I	n	0	sg	237	een liefdeshistorie
238	988	989	noun	989	-	-	I	n	0	sg	238	een schaking
239	991	994	noun	992	-	-	I	m	1	sg	112	den geest van Euclides
240	994	994	name	994	PER	-	I	fm	1	sg	240	Euclides
241	1001	1002	noun	1002	-	-	I	-	-	sg	241	de roman
242	1008	1008	pronoun	1008	-	1	O	fm	1	sg	33	ik
243	1011	1011	pronoun	1011	-	1	I	fm	1	sg	33	ik
244	1013	1014	noun	1014	-	-	I	n	0	pl	244	de feiten
245	1021	1026	noun	1023	-	-	I	n	0	sg	87	Het eenige feit in het geval
246	1025	1026	noun	1026	-	-	I	n	0	sg	213	het geval
247	1028	1028	noun	1028	-	-	I	m	1	sg	247	eene
248	1034	1039	noun	1037	-	-	I	-	-	sg	248	de zeldzame analytische redeneering van oorzaken
