mention1	mention2	sieve
1	2	precise:predicative
1	6	resolvepronouns
1	9	resolvepronouns
17	13	resolvepronouns
13	16	resolvepronouns
18	17	precise:predicative
2	18	stringmatch
3	19	stringmatch
13	20	resolvepronouns
1	21	resolvepronouns
1	23	resolvepronouns
1	24	resolvepronouns
24	25	precise:predicative
1	27	resolvepronouns
1	28	resolvepronouns
8	29	stringmatch
1	30	resolvepronouns
13	34	resolvepronouns
1	36	resolvepronouns
1	38	resolvepronouns
40	39	precise:predicative
2	40	stringmatch
3	41	stringmatch
43	44	stringmatch
3	46	stringmatch
336	52	strictheadmatch:5
46	54	resolvepronouns
3	57	stringmatch
56	59	resolvepronouns
13	60	resolvepronouns
1	61	resolvepronouns
1	62	resolvepronouns
1	65	resolvepronouns
66	67	precise:relpronoun
66	68	precise:reflexive
1	70	resolvepronouns
63	72	resolvepronouns
1	75	resolvepronouns
1	76	resolvepronouns
1	78	resolvepronouns
77	79	resolvepronouns
94	80	strictheadmatch:7
80	81	precise:relpronoun
79	83	resolvepronouns
1	84	resolvepronouns
1	87	resolvepronouns
1	89	resolvepronouns
1314	94	strictheadmatch:7
91	97	resolvepronouns
1	100	resolvepronouns
1	103	resolvepronouns
96	104	precise:relpronoun
97	106	resolvepronouns
104	107	resolvepronouns
102	108	resolvepronouns
1	111	resolvepronouns
107	113	resolvepronouns
114	115	resolvepronouns
113	116	resolvepronouns
117	118	precise:relpronoun
113	119	resolvepronouns
114	120	resolvepronouns
113	122	resolvepronouns
113	124	resolvepronouns
113	126	resolvepronouns
114	127	resolvepronouns
113	129	resolvepronouns
92	130	stringmatch
130	131	resolvepronouns
113	132	resolvepronouns
131	133	resolvepronouns
113	136	resolvepronouns
135	137	precise:predicative
113	138	resolvepronouns
113	139	resolvepronouns
140	141	precise:relpronoun
134	142	resolvepronouns
113	145	resolvepronouns
134	146	resolvepronouns
117	147	resolvepronouns
153	155	resolvepronouns
156	159	resolvepronouns
161	163	precise:predicative
113	165	resolvepronouns
166	167	stringmatch
166	168	stringmatch
134	170	resolvepronouns
169	172	resolvepronouns
169	173	resolvepronouns
177	178	precise:predicative
177	179	resolvepronouns
110	181	stringmatch:relaxed
181	182	precise:predicative
178	183	resolvepronouns
186	187	strictheadmatch:5
228	188	strictheadmatch:5
1	189	resolvepronouns
1	191	resolvepronouns
190	192	resolvepronouns
192	193	precise:predicative
56	195	stringmatch
3	196	stringmatch
1	199	resolvepronouns
199	200	precise:predicative
200	202	resolvepronouns
219	205	strictheadmatch:5
205	206	precise:relpronoun
186	207	stringmatch
198	209	resolvepronouns
198	210	resolvepronouns
198	211	resolvepronouns
208	214	resolvepronouns
1	216	resolvepronouns
198	218	resolvepronouns
228	219	strictheadmatch:5
2434	223	strictheadmatch:5
1	224	resolvepronouns
94	225	strictheadmatch:7
225	226	precise:relpronoun
224	227	precise:reflexive
181	228	stringmatch
13	233	resolvepronouns
1	235	resolvepronouns
1	237	resolvepronouns
363	238	strictheadmatch:7
1	239	resolvepronouns
1	241	resolvepronouns
214	242	resolvepronouns
1	243	resolvepronouns
238	244	resolvepronouns
245	246	precise:predicative
114	251	resolvepronouns
1	252	resolvepronouns
1	255	resolvepronouns
278	256	strictheadmatch:7
251	257	resolvepronouns
260	261	resolvepronouns
1	262	resolvepronouns
1	263	resolvepronouns
1	266	resolvepronouns
259	267	strictheadmatch:7
