id	start	end	sentno	parno	sentbounds	mentions	speakermention	addresseemention	speakercluster	addresseecluster	text
0	399	403	14	3	0		-	-	-	-	" lieve wichtjes . "
1	444	455	16	3	0	108,109,110	107	-	96	-	" dat hij die versjes zong , door liefde gedrongen . "
2	462	683	17	3	1	113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175	107	251	96	114	" man , ik wilde u graag eens ontmoeten , en als ge mij de marmerknikkers weigerde , die ik u vragen zou , of mijn naam voluit in banket - ik heet Batavus - dan houd ik u voor een leugenaar . Maar ik heb Van Alphen nooit gezien . Hij was al dood , geloof ik , toen hij ons vertelde dat mijn vader mijn beste vrind was - ik hield meer van Pauweltje Winser , die naast ons woonde in de Batavierstraat - en dat mijn kleine hond zoo dankbaar was . We hielden geen honden , omdat ze zoo onzindelijk zijn . Alles leugens ! Zoo gaat dan de opvoeding voort . Het nieuwe zusjen is van de groenvrouw gekomen in een groote kool . Alle Hollanders zijn dapper en edelmoedig . De Romeinen waren blij dat de Batavieren hen lieten leven . De Beij van Tunis kreeg een kolijk als hij het wapperen hoorde van de nederlandsche vlag . De hertog van Alva was een ondier . De eb , in 1672 geloof ik , duurde wat langer dan gewoonlijk , expres om Nederland te beschermen . Leugens ! Nederland is Nederland gebleven , omdat onze oude luî goed op hun zaken pasten , en omdat ze het ware geloof hadden . Dàt is de zaak !
3	961	963	47	4	0		251	107	114	96	" Uhlefeldjes "
4	1008	1020	52	5	1	260	107	251	96	114	" De lucht is guur , en 't is vier uur . "
5	1057	1070	54	5	0	268	-	-	-	-	" de lucht is guur , en 't is kwartier voor drieën . "
6	1555	1565	86	7	0	369,370,371	368	370	177	370	" o mijne moeder , o , mijne moeder ! "
7	1602	1608	88	7	0	379,380	-	-	-	-	" werken voor den kost ? "
8	1826	1838	98	9	0	431	-	-	-	-	" mevrouw , het is te laat , de poorten zijn gesloten "
9	1851	1863	98	9	0	434,435	-	-	-	-	" welaan dan , onversaagd , men doe het zwaard ontblooten ? "
10	3683	3685	202	39	0	874	873	-	114	-	" shawl "
11	3736	3771	204	39	0	888,889,890,891,892,893,894,895,896,897	902	909	888	888	" ik dank u , maar ik heb me vergist . Ik dacht het genoegen te hebben een ouden schoolkameraad voor me te zien , maar ... Last ? Dit is de naam niet . "
12	3772	3804	208	40	1	898,899,900,901,902,903,904,905,906,907,908	909	902	888	888	- Pardon , zei ik - want ik ben altijd beleefd - ik ben m'nheer Droogstoppel , Batavus Droogstoppel . Last en Co is de firma , makelaars in koffie , Lauriergr ...
