id	start	end	sentno	parno	sentbounds	mentions	speakermention	addresseemention	speakercluster	addresseecluster	text
0	70	72	8	4	0	15	-	-	-	-	" ze "
1	74	76	9	4	0	16	-	-	-	-	" Ze "
2	85	88	10	4	0		18	-	6	-	" Wat ? "
3	92	107	10	4	0	19,20,21,22,23,24,25	18	-	6	-	" God ? je praat over God ? Hun warme eten is hun God . "
4	110	113	12	4	0		-	-	-	-	" goeie kerels "
5	129	135	13	4	0		27	-	3	-	" En niet ten onrechte , "
6	237	246	20	4	0	52	50	-	3	-	" we zijn er niet op vooruit gegaan . "
7	349	351	25	4	0		-	-	-	-	" eruit "
8	399	402	29	4	0	91	92	-	1	-	" centen hebben "
9	792	807	49	7	0	187,188,189	-	187	-	6	" God , God , dat schilder ik nooit . Dat kan ik nooit . "
10	1077	1089	64	8	0		246	-	35	-	" 't Is hier goeie . Zoo moest 't maar blijven . "
11	1213	1219	72	10	0	272,273	271	-	35	-	" Op 't koninkrijk Gods . "
12	1241	1252	74	10	0	277	-	-	-	-	" het einde , dat meteen 't begin zou wezen . "
13	1288	1290	78	12	0		-	-	-	-	" hok "
14	1337	1340	82	12	0	298	-	-	-	-	" mijnheer Koekebakker "
15	1404	1421	86	12	1	317,318	311	-	35	-	" J'ai attendu le Seigneur avec une grande patience , enfin il s'est abaissé jusqu'à moi . "
16	1701	1800	106	14	1	383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407	382	430	3	35	" Je schildert twee horizontale banen , onder elkaar , even breed , een blauwe en een goudgele en in 't midden van die blauwe baan maak je een ronde goudgele vlek . En dan zetten we in den catalogus : No. 666 De Gedachte , schilderij . En dan zenden we 't in op mijn naam : Johannes Bavink , 2de Jan Steenstraat , nummer zooveel en we prijzen 't voor f 800 . Je zult eens zien wat ze er in ontdekken . Van alles , waar je zelf nooit een flauw benul van gehad hebt . "
17	1905	1911	118	15	0		430	382	35	3	" Meiden , dat is niks "
18	1990	1999	126	15	0	442	443	-	6	-	" Je moest zoo maar stilletjes blijven zitten , "
19	2017	2032	128	15	1	448	-	-	-	-	" Je moest zoo maar stilletjes blijven zitten te verlangen zonder te weten waarnaar . "
20	2514	2518	148	21	0	577	578	577	6	35	" O , Bekker "
21	2535	2538	149	21	0	583	578	577	6	35	" die halvegare "
22	2604	2611	153	21	1	598,599	596	-	596	-	" Wat zei je tegen hem ? "
23	2635	2651	154	21	0	606,607,608	-	-	-	-	" hij weet niet wien hij voor heeft , daar is hij te dom voor . "
24	2881	2884	170	24	0		658	-	35	-	" Meiden , "
25	2888	2900	170	24	0	659,660	658	-	35	-	" dat is niks gedaan ... Ze veerde als ze liep . "
26	2920	2927	173	24	1	666	665	-	35	-	" Waar zou ze nu zijn ? "
27	2928	2933	174	24	1	667	-	665	-	35	" Zou ze zoenen ? "
28	2952	2964	177	24	1	674,675	672	-	35	-	" Verdomme , een gat , dat heb ik stom gedaan . "
29	2965	3002	178	24	1	676,677,678,679,680,681	-	672	-	35	" 't Is beter zoo , meiden is niks gedaan , je schiet er niet mee op , ze leiden je maar af . Op een afstand zijn ze aardig , om gedichten op te maken . "
30	3014	3059	182	24	1	684,685,686,687,688,689,690,691,692,693,694	683	-	35	-	" Weet je wat een raar ding is ? Toen ze me dien middag inhaalde ging ze rakelings langs me heen . Er was zoo te zeggen niks tusschen ons , een beetje kleeren van haar en zoo goed als geen kleeren van mij . "
31	3075	3085	186	24	1	700	695	-	35	-	" Dat is niet veel , vind je wel ? "
32	3107	3117	188	24	0	706,707,708,709	710	-	35	-	" Tusschen den toren van Naarden en deze snor , "
33	3121	3146	188	24	0	711,712,713,714	710	-	35	-	" is veel minder , veel minder dan er toen was tusschen haar schouder en de mijne . 't Haalt er niet bij Koekebakker . "
34	3162	3166	190	24	0		-	-	-	-	" zoo is 't "
35	3311	3313	199	28	0	749	-	-	-	-	" socialen "
36	3344	3351	199	28	0	754,755	-	-	-	-	" vrije groep Kastanjeplein en omstreken . "
37	3484	3507	202	28	0	783,784,785,786,787	-	-	-	-	" D'r het niks van in de krant ' estaan jong , hoe vin je dat nou ? wist jai d'r van ? "
38	3896	3905	225	32	0	863,864	-	884	-	884	" Wat moest ik toch op die tram ? "
39	3995	3997	232	33	0	885	884	-	884	-	" Opscheppers "
40	4024	4028	235	33	1	893	-	-	-	-	" Aan haar . "
41	4502	4505	272	42	0	1004	-	-	-	-	" nach Amsterdam "
42	4568	4571	274	42	0	1023	-	-	-	-	" aai locomotief "
43	5156	5161	312	46	0	1155	1156	-	6	-	" Begrijp jij dat , "
44	5165	5171	312	46	0	1157,1158	1156	1159	6	3	" van die sociale taak ? "
45	5178	5199	314	47	1	1162,1163,1164,1165,1166,1167,1168	1159	1168	3	298	" Wat zou dat voor 'n vent zijn , die dat artikel geschreven heeft ? Heb jij verantwoordelijkheidsgevoel , Koekebakker ? "
46	5208	5214	317	48	0	1170	1171	1159	6	3	" Hoyer praat machtig mooi , "
47	5218	5251	318	48	1	1172,1173,1174,1175,1176,1177	1171	-	6	-	" Machtig mooi . Ik heb geen verantwoordelijkheidsgevoel . Ik kan me daar niet mee ophouden . Ik moet schilderen . Een lolletje is 't niet . Wat zei -ie ook weer ? "
48	5252	5255	324	48	0		1178	-	3	-	" Wie ? "
49	5259	5275	325	48	1	1179,1180,1181,1182	1178	1186	3	298	" Die vent in dat boek , wat zei -ie ook weer dat kunstenaars waren ? "
50	5276	5281	326	48	1	1183	1186	1178	298	3	" Gebenedijden , Bavink . "
51	5282	5333	327	48	1	1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194	1178	1186	3	298	" Weet je wat ik denk , Koekebakker ? Dat 't dezelfde vent is , die de spoorboekjes gemaakt heeft . Daar heb ik ook nooit iets van begrepen , hoe iemand dat kon . Gebenedijden ... God is overal ? Of niet , Koekebakker ? Dat zeggen ze toch ? "
52	5375	5381	337	49	0	1204	1205	1178	6	3	" Dus hij is overal , "
53	5385	5392	338	49	1		1205	-	6	-	" Daar en daar en daar . "
54	5402	5450	340	49	1	1209,1210,1211,1212,1213,1214,1215,1216,1217,1218,1219	1207	-	6	-	" En daar achter die zee , in 't land dat wij niet zien . En daar , bij Driehuis , waar de booglampen staan . En in de Kalverstraat . Ga eens met je rug naar 't water staan en luister . Kan jij eruit blijven ? "
55	5451	5454	345	50	1		-	1207	-	6	" Waaruit ? "
56	5455	5460	346	51	1	1220	1207	1224	6	6	" Uit die zee ? "
57	5471	5475	348	52	0	1223	1224	1207	6	6	" Ik nauwelijks , "
58	5479	5559	349	52	0	1225,1226,1227,1228,1229,1230,1231,1232,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242	1224	-	6	-	" 't Is zoo raar dat weemoedige geluid achter je . 't Is net of zoo'n zee wat van me wil . Daarin is God ook , God roept . 't Is waarachtig geen lolletje , overal is -ie . En overal roept -ie Bavink . Je wordt mal van je eigen naam , als -ie zoo dikwijls geroepen wordt . En dan moet Bavink schilderen . Dan moet God op een brokkie linnen met verf . Dan roept Bavink "
