1-1|NOODLOT
2-1|NOODLOT
3-1|DOOR
4-1|LOUIS COUPERUS
5-1|VIJFDE DRUK
6-1|L.J. VEEN - AMSTERDAM
7-1|Aan
8-1|FRANS NETSCHER
9-1|Luik , Sept.
9-2|'90 .
9-3|L.C.
10-1|HOOFDSTUK I.
11-1|I.
12-1|De handen in de zakken , [ @alt ~de~den den ] kraag van zijn pels op , ging Frank door het stuiven der sneeuw voort , langs [ @alt ~de~den den ] eenzamen Adelaïde-Road , in [ @alt ~de~den den ] avond .
12-2|Toen hij het villa-tje naderde , waar hij woonde , - White-Rose , geheel gedoken , gedompeld , verzonken in de blankheid der sneeuw , als een nestje in watten , - zag hij iemand op zich afkomen , van Primrose-Hill .
12-3|Hij richtte zijn blik vast op het gelaat van [ @alt ~de~den den ] man , die hem blijkbaar wilde aanspreken ; niet wetende wat deze in zijn schild voerde in [ @alt ~die~dien dien ] eenzamen sneeuwnacht , en hij was zeer verbaasd , toen hij in het Hollandsch hoorde :
13-1|- Neem u me niet kwalijk ... . is u niet meneer Westhove ?
14-1|- Ja , antwoordde Frank .
14-2|Wie is u ?
14-3|Wat is er ?
15-1|- Ik ben Robert van Maeren , misschien herinnert u zich ... .
16-1|- Bertie , jij ? riep Frank uit .
16-2|Hoe kom je hier in Londen !
16-3|En in [ @alt ~zijn~zijne zijne ] verbazing , zag hij , door het stuiven der sneeuw heen , een vizioen verrijzen uit [ @alt ~zijn~zijne zijne ] jeugd , een helder tafereel van jongensvriendschap , iets jongs en warms ... .
17-1|- Misschien niet [ @alt zo zoo ] heel toevallig ! antwoordde de vreemde , wiens stem bij [ @alt ~de~den den ] klank van [ @alt ~die~dien dien ] verkleinnaam " Bertie " iets vaster klonk ; ik wist , dat u hier woont en ik ben al driemaal aan uwe deur geweest , maar u was niet thuis .
17-2|De juffrouw zei , dat u van avond toch thuis zoû komen , en daarom ben ik [ @alt zo zoo ] vrij geweest hier op u te wachten ... .
18-1|De stem verloor weêr alle vastheid en werd smeekend , als van een bedelaar .
19-1|- Moest je me [ @alt zo zoo ] dringend spreken ? vroeg Frank verbaasd .
20-1|- Ja ... . ik wou ... . of u me misschien helpen kon ... . ik ken hier niemand ... .
21-1|- Waar woon je ?
22-1|- Nergens ; ik ben van morgen vroeg hier aangekomen en ik heb ... . ik heb geen geld ... .
23-1|En hij kromp , huiverend van het staan in de koude tijdens dit korte gesprek , zich bijna smeekend samen , als een hond , die bang is .
24-1|- Ga maar met me meê , sprak Frank , vol verbazing , medelijden , vol van de warme herinneringen zijner jongensjaren .
24-2|Kom van nacht maar bij me .
25-1|- O ja , graag ! klonk het antwoord , haastig en bevend , als bevreesd voor het terugnemen dier goddelijke woorden .
26-1|Zij gingen samen een paar passen voort ; toen haalde Frank [ @alt ~de~den den ] sleutel uit zijn zak - [ @alt ~de~den den ] sleutel van White-Rose .
26-2|Hij opende de deur ; een zeshoekige Moorsche lantaren scheen in de vestibule zacht met halve vlam .
27-1|- Ga binnen ! sprak Frank .
28-1|En hij deed de deur achter zich op het nachtslot , met een bout .
28-2|Het was half een .
29-1|De meid was nog op .
30-1|- Die meneer was al [ @alt zo zoo ] dikwijls hier geweest , fluisterde ze met een wantrouwenden blik naar Bertie ; en ik zag hem hier van avond altijd door voorbijloopen , als hield hij de wacht .
30-2|Ik was bang , weet u ; het is hier [ @alt zo zoo ] eenzaam .
31-1|Frank schudde geruststellend het hoofd .
32-1|- Laat het vuur gauw achter aanmaken , Annie .
32-2|Is je man nog op ?
33-1|- Het vuur meneer ?!
34-1|- Ja ...
34-2|Bertie , wil je wat eten ?
35-1|- Heel graag ... . als het u geen moeite geeft ! antwoordde Bertie , in het Engelsch , voor de meid , en zijn blik zocht smeekend de koud verbaasde , blauwe oogen der flinke , knappe , jonge vrouw ; [ @alt ~zijn~zijne zijne ] stem was als fluweel , en , tenger , klein , poogde hij in de vestibule [ @alt zo zoo ] weinig mogelijk plaats in te nemen , in een te schrompelen , te vluchten uit [ @alt ~haar~hare hare ] blikken , zich uit te wisschen in een hoekje schaduw .
36-1|Frank leidde hem nu eene groote achterkamer binnen , eerst kil en donker , maar weldra verlicht , weldra ook zachtjes-aan met eene stralende lauwte verwarmd door het groote vuur , dat in [ @alt ~de~den den ] , nog gesloten , haard begon op te gloeien .
36-2|Annie dekte de tafel .
37-1|- Eén couvert , meneer ?
38-1|- Twee ; ik soupeer meê ! sprak Frank , denkend , dat Bertie dan vrijer zoû zijn .
39-1|Bertie had zich op Franks aandringen in een [ @alt ruime ruimen ] stoel gezet bij [ @alt ~de~den den ] haard en hij bleef daar schichtig rechtop zitten , zonder te spreken , verlegen voor de meid , die telkens ging en kwam .
39-2|Eerst nu zag Frank , in het licht , de armoede van zijn uiterlijk ; zijn dun gesleten jasje , vet glimmend en knoopen missend ; [ @alt ~zijn~zijne zijne ] afgetrapte , uitgerafelde broek ; [ @alt ~zijn~zijne zijne ] vuile bouffante , die een gemis aan linnen verborg ; [ @alt ~zijn~zijne zijne ] uitgezakte schoenen met gaten .
39-3|Een [ @alt oude ouden ] hoed had hij bedremmeld , verlegen , in de hand gehouden .
39-4|Het was eene kleeding , niets passend bij [ @alt ~die~dien dien ] aristocratisch tengeren bouw , dat fijne , bleeke , magere gelaat , gedistingeerd , trots het ongeknipte , blonde haar en [ @alt ~de~den den ] ongeschoren stoppelbaard ; het was als de maskerade van geboorte en opvoeding in de lompen der ellende , die zij onhandig , als een slecht zittend tooneelpak , droegen .
