1-1|DE KLEINE JOHANNES
2-1|van
3-1|FREDERIK VAN EEDEN
4-1|Aan mijn vrouw
5-1|I
6-1|Ik zal u iets van [ @alt ~de~den den ] [ @alt ~kleine~kleinen kleinen ] Johannes vertellen .
6-2|Het heeft veel van een sprookje , mijn verhaal , maar het is toch alles werkelijk [ @alt zo zoo ] gebeurd .
6-3|Zoodra gij het niet meer gelooft , moet ge niet verder lezen , want dan schrijf ik niet voor u .
6-4|Ook [ @alt mag moogt ] ge er [ @alt ~de~den den ] [ @alt ~kleine~kleinen kleinen ] Johannes nooit over spreken , als ge hem soms ontmoet , want dat zou hem verdriet doen en het zou mij spijten , u dit alles verteld te hebben .
7-1|Johannes woonde in een oud huis met een [ @alt grote grooten ] tuin .
7-2|Het was er moeilijk [ @alt ~de~den den ] weg te vinden , want in het huis waren veel donkere portaaltjes , trappen , kamertjes en ruime rommelzolders , en in [ @alt ~de~den den ] tuin waren overal schuttingen en broeikasten .
7-3|Het was een heele wereld voor Johannes .
7-4|Hij kon er verre tochten in maken en hij gaf namen aan alles wat hij ontdekte .
8-1|Voor het huis had hij namen uit het dierenrijk : de rupsenzolder , omdat hij er rupsen groot bracht ; het kippenkamertje , omdat hij daar eens een kip gevonden had .
8-2|Die was er niet van [ @alt zelf zelve ] gekomen , maar daar door Johannes ' moeder te broeien gezet .
8-3|In [ @alt ~de~den den ] tuin koos hij namen uit het plantenrijk , en lette daarbij vooral op de voortbrengselen , die voor hem van belang waren .
8-4|[ @alt Zo Zoo ] onderscheidde hij een frambozenberg , een dirkjesbosch en een aardbeiëndal .
8-5|Heel achter was een plekje , dat hij het paradijs noemde en daar was het natuurlijk erg heerlijk .
8-6|Daar was een groot water , een vijver , waar witte waterleliën dreven en het riet lange fluisterende gesprekken hield met [ @alt ~de~den den ] wind .
8-7|Aan de overzijde lagen de duinen .
8-8|Het paradijs zelf was een klein grasveldje aan [ @alt ~dezen~deze dezen ] oever , omringd door kreupelhout , waartusschen het nachtegaalskruid hoog opschoot .
8-9|Daar lag Johannes dikwijls in het dichte gras en tuurde tusschen de schuifelende rietbladen door naar de duintoppen over het water .
8-10|Op warme zomeravonden was hij daar altijd en lag uren te staren , zonder zich ooit te vervelen .
8-11|Hij dacht aan de diepte van het stille , heldere water voor zich , hoe gezellig het daar moest zijn , tusschen die waterplanten , in dat vreemde schemerlicht , en dan weer aan de verre , prachtig gekleurde wolken , die boven de duinen zweefden , wat daar wel achter zou zijn en of het heerlijk zou zijn daarheen te kunnen vliegen .
8-12|Als de zon juist was ondergegaan , stapelden de wolken zich daar [ @alt zó zóó ] opeen , dat ze [ @alt ~de~den den ] ingang van eene grot schenen te vormen en in de diepte van die grot schitterde het dan van zachtrood licht .
8-13|Dat was wat Johannes verlangde .
8-14|Kon ik daarin vliegen ! dacht hij dan .
8-15|Wat zou daar wel achter zijn ?
8-16|Zou ik daar eenmaal , eenmaal kunnen komen ...
9-1|Maar hoe dikwijls hij dat wenschte , telkens viel de grot in vale , donkere wolkjes uiteen , zonder dat hij er dichter bij [ @alt kon konde ] komen .
9-2|Dan werd het koud en vochtig aan [ @alt ~de~den den ] vijver en hij moest weer zijn donker slaapkamertje in het oude huis gaan opzoeken .
10-1|Hij woonde daar niet geheel alleen ; hij had een vader , die hem goed verzorgde , een hond die Presto en een kat die Simon heette .
10-2|Natuurlijk hield hij van zijn vader het meest , maar Presto en Simon achtte hij volstrekt niet zooveel beneden hem , als een groot mensch dat zou doen .
10-3|Hij vertrouwde zelfs meer geheimen aan Presto dan aan zijn vader , en voor Simon gevoelde hij een eerbiedig ontzag .
10-4|Nu , dat was geen wonder !
10-5|Simon was een groote kat met glanzig zwart vel en een [ @alt dikke dikken ] staart .
10-6|Men kon hem aanzien , dat hij volkomen overtuigd was van zijn eigen grootheid en wijsheid .
10-7|Hij bleef altijd even deftig en voornaam , zelfs als hij zich verwaardigde even met een rollende kurk te spelen , of achter een boom een vergeten haringkop op te knauwen .
10-8|Bij de dolle uitgelatenheid van Presto kneep hij minachtend de groene oogen toe en dacht : Nu ja !
10-9|Die honden weten niet beter .
11-1|Begrijpt ge nu , dat Johannes ontzag voor hem had ?
11-2|Met [ @alt ~de~den den ] [ @alt ~kleine~kleinen kleinen ] bruinen Presto ging hij heel vertrouwelijk om .
11-3|Het was geen mooi of voornaam , maar een [ @alt bijzonder bizonder ] goedig en schrander hondje , dat nimmer verder dan twee pas van Johannes weg te krijgen was en geduldig zat te luisteren naar de mededeelingen van zijn meester .
11-4|Ik behoef u niet te zeggen , hoeveel Johannes van Presto hield .
11-5|Maar hij had toch ook heel wat ruimte in zijn hart voor anderen over .
11-6|Vindt ge het vreemd , dat zijn donker slaapkamertje met de kleine ruitjes daar ook een groote plaats innam ?
11-7|Hij hield van het behangsel met de groote bloemfiguren , waarin hij gezichten zag en waarvan hij de vormen [ @alt zo zoo ] dikwijls bestudeerd had , als bij ziek was of 's morgens wakker lag , hij hield van het eene schilderijtje dat er hing , waarop stijve wandelaars waren afgebeeld , die in een nog stijver tuin wandelden langs gladde vijvers , waarin hemelhooge fonteinen spoten en kokette zwanen zwommen ; het meest hield hij echter van de hangklok .
11-8|Hij wond die altijd met zorg en aandacht op en hield het voor een noodzakelijke beleefdheid naar haar te kijken als zij sloeg .
11-9|Dat ging natuurlijk alleen zoolang Johannes niet sliep .
11-10|Was de klok door een verzuim stil blijven staan , dan voelde Johannes zich zeer schuldig en vroeg haar duizendmaal vergeving .
11-11|Gij zoudt misschien lachen , als ge hem met zijn kamer in gesprek hoordet .
11-12|Maar let eens op hoe dikwijls gij bij u [ @alt zelf zelven ] spreekt .
11-13|Dat schijnt u in 't geheel niet belachelijk .
11-14|Johannes was bovendien overtuigd , dat [ @alt ~zijn~zijne zijne ] hoorders hem volkomen begrepen en had geen antwoord noodig .
11-15|Maar heimelijk wachtte hij toch wel eens een antwoord van de klok of het behangsel .
12-1|Schoolkameraden had Johannes wel , maar vrienden waren het eigenlijk niet .
12-2|Hij speelde met hen en smeedde samenzweringen op school en vormde rooverbenden met hen buiten , maar hij voelde zich eerst recht thuis als hij alleen met Presto was .
12-3|Dan verlangde hij nimmer naar jongens , en voelde zich volkomen vrij en veilig .
13-1|Zijn vader was een wijs en ernstig man , die Johannes dikwijls medenam op lange tochten door wouden en duinen ; dan spraken ze weinig en Johannes liep tien schreden achter zijn vader , de bloemen groetend , die hij tegenkwam en de oude [ @alt bomen boomen ] , die [ @alt zo zoo ] altijd op dezelfde plaats moesten blijven , vriendelijk met zijn handje langs de ruwe schors strijkend .
13-2|En ruischend dankten hem dan de goedige reuzen .
14-1|Soms schreef zijn vader letters in het zand bij het voortgaan , één voor één , en Johannes spelde de woorden , die zij vormden en soms ook stond de vader stil en leerde Johannes [ @alt ~de~den den ] naam van een plant of dier .
15-1|En Johannes vroeg ook dikwijls , want hij zag en hoorde veel raadselachtigs .
15-2|Domme vragen deed hij vaak ; hij vroeg waarom de wereld was zooals zij was , en waarom dieren en planten dood moesten gaan , en of er wonderen konden gebeuren .
15-3|Maar Johannes ' vader was een wijs man en [ @alt zei zeide ] niet alles wat hij wist .
15-4|Dat was goed voor Johannes .
16-1|'s Avonds voor dat hij slapen ging , deed Johannes altijd een lang gebed .
16-2|Dat had de kindermeid hem [ @alt zo zoo ] geleerd .
16-3|Hij bad voor zijn vader en voor Presto .
16-4|Simon had het niet noodig , dacht hij .
16-5|Hij bad ook heel lang voor [ @alt zichzelf zichzelven ] en het slot was meestal de wensch , dat er toch eens een wonder mocht gebeuren .
16-6|En als hij amen gezegd had , keek hij gespannen in het half duistere kamertje rond , naar de figuren van het behangsel , die nog vreemder schenen in het zwakke schemerlicht , naar [ @alt ~de~den den ] deurknop en naar de klok , waar nu het wonder zou beginnen .
16-7|Maar de klok bleef altijd hetzelfde wijsje tikken en de deurknop bewoog zich niet , het werd geheel duister en Johannes viel in slaap , zonder dat het wonder gekomen was .
17-1|Maar eenmaal zou het gebeuren , dat wist hij .
18-1|II
19-1|Het was warm aan [ @alt ~de~den den ] vijver en doodstil .
19-2|De zon , rood en afgemat van haar dagelijksch werk , scheen een [ @alt ogenblik oogenblik ] op een verren duinrand uit te rusten , vóór ze onderdook .
19-3|Bijna volkomen spiegelde het gladde water haar gloeiend aangezicht weer .
19-4|De over [ @alt ~de~den den ] vijver hangende bladen van [ @alt ~de~den den ] beuk maakten van de stilte gebruik om zich eens aandachtig in [ @alt ~de~den den ] spiegel te bekijken .
19-5|De eenzame reiger , die tusschen de breede bladen van de waterlelie op één poot stond , vergat dat hij uitgegaan was om kikkers te vangen en tuurde in gedachten verzonken langs zijn neus .
20-1|Daar kwam Johannes op het grasveldje , om de wolkengrot te zien .
20-2|Plomp ! plomp ! sprongen de kikvorschen van [ @alt ~de~den den ] kant .
20-3|De spiegel trok rimpels , het zonnebeeld brak in breede strepen en de beukenbladen ritselden verstoord , want zij waren nog niet klaar met hun beschouwing .
21-1|Vastgebonden aan de naakte wortels van [ @alt ~de~den den ] beuk lag een oude kleine boot .
21-2|Het was Johannes streng verboden daarin te gaan .
21-3|O , wat was [ @alt ~dezen~deze dezen ] avond de verzoeking sterk !
21-4|Reeds vormden zich de wolken tot een ontzaglijke poort , waarachter de zon ter ruste zou gaan .
21-5|Schitterende rijen wolkjes schaarden zich ter zijde als een goudgeharnaste lijfwacht .
21-6|Het watervlak gloeide mede , en roode vonken vlogen als pijlen door het oeverriet .
22-1|Langzaam maakte Johannes het touw der boot van de beukenwortels los .
22-2|Daar te drijven , midden in de pracht !
22-3|Presto was reeds in de boot gesprongen en eer zijn meester het zelf wilde , schoven de riethalmen vaneen en dreven zij beiden weg in de richting van de avondzon .
22-4|Johannes lag op [ @alt ~de~den den ] voorsteven en staarde in de diepte van de lichtgrot .
22-5|Vleugels ! dacht hij , nu vleugels ! en daarheen !
23-1|De zon was verdwenen .
23-2|De wolken gloeiden door .
23-3|In het oosten was de hemel donkerblauw .
23-4|Daar stond een rij wilgen langs [ @alt ~de~den den ] oever .
23-5|Roerloos staken zij hun smalle witte blaadjes in de stille lucht .
23-6|Tegen [ @alt de den ] [ @alt donkere donkeren ] achtergrond scheen dat prachtig bleekgroen kantwerk .
24-1|Stil ! wat was dat ?
24-2|Het schoot als een suizeling over het watervlak , als een lichte windvlaag , die een spitse vore in het water groeft .
24-3|Het kwam van de duinen , van de wolkgrot .
25-1|Toen Johannes omzag , zat een groote blauwe waterjuffer op [ @alt ~de~den den ] rand der boot .
25-2|[ @alt Zo Zoo ] groot had hij er nog nimmer een gezien .
25-3|Zij zat stil , maar haar vleugels bleven in een [ @alt wijde wijden ] cirkel trillen .
25-4|Het scheen Johannes , dat de punten van haar vleugels een [ @alt lichtende lichtenden ] ring vormden .
26-1|Dat moet een vuurvlinder zijn , dacht hij , die zijn heel zeldzaam .
27-1|Doch de ring werd grooter en grooter en de vleugels trilden [ @alt zo zoo ] snel , dat Johannes niet meer dan een nevel zag .
27-2|En langzamerhand zag hij uit [ @alt ~die~dien dien ] nevel twee donkere oogen schitteren , en een lichte , ranke gestalte , in een teederblauw kleedje , zat op de plaats van de libel .
27-3|In het blonde haar was een krans van witte winden en aan de schouders gazen haftvleugels , die als een zeepbel in duizend kleuren schitterden .
28-1|Een huivering van geluk doortintelde Johannes .
28-2|Dát was een wonder !
29-1|' Wilt ge mijn vriend zijn ? ' fluisterde hij .
30-1|Dat was wel een zonderlinge wijze om een vreemde aan te spreken , maar het ging hier niet gewoon toe .
30-2|En hij had een gevoel , alsof hij het vreemde , blauwe wezen al lang kende .
30-3|' Ja Johannes ! ' hoorde hij en de stem klonk als het schuifelen van het riet in [ @alt ~de~den den ] avondwind of het ruischen van [ @alt ~de~den den ] regen op de bladen in het bosch .
31-1|' Hoe moet ik u noemen ? ' vroeg Johannes .
32-1|' Ik ben geboren in [ @alt ~de~den den ] kelk [ @alt ener eener ] winde .
32-2|Noem mij Windekind ! '
33-1|En Windekind lachte en staarde Johannes [ @alt zo zoo ] vertrouwelijk in de oogen , dat het hem wonderbaar zalig te moede werd .
33-2|' Het is vandaag mijn verjaardag , ' [ @alt zei zeide ] Windekind , ' ik ben hier in [ @alt ~de~den den ] omtrek geboren , uit de eerste stralen der maan en de laatste der zon .
33-3|Men zegt wel dat de zon vrouwelijk is .
33-4|Dat is niet waar .
33-5|Hij is mijn vader . '
34-1|Johannes nam zich voor , morgen op school van [ @alt ~de~den den ] zon te spreken .
