1-1|( Inhoud )
1-2|De Lelie van 's-Gravenhage .
2-1|De Lelie van 's-Gravenhage
3-1|Van
4-1|J. J. Cremer .
5-1|Zevende druk .
6-1|Leiden .
6-2|- A. W. Sijthoff's Uitg.-Mij .
7-1|(
8-1|1 )
9-1|De Lelie van 's-Gravenhage .
10-1|( Inhoud )
11-1|Eerste hoofdstuk .
12-1|Het was een koude , gure November-nacht in [ @alt ~de~den den ] jare 1595 ; donkere wolken bedekten [ @alt ~de~den den ] hemel , en ontlastten zich in [ @alt vreselijke vreeselijke ] plasregens .
12-2|Aan de anders [ @alt zo zoo ] liefelijke maan was het niet vergund door dat dichte floers heen te dringen , en al vertoonde zij zich ook [ @alt soms somwijlen ] , een zwarte massa wolken beroofde het aardrijk toch spoedig weder van haren glans , en het was slechts licht geweest , om [ @alt ~de~den den ] nacht nog nachtelijker te maken .
13-1|Hooge populieren , reeds geheel van bladeren ontdaan , verhieven zich aan weerskanten van [ @alt de den ] [ @alt brede breeden ] zandweg , die tusschen de steden Leiden en 's-Gravenhage was gelegen , en vertoonden zich als reusachtige spooksels , die zich onstuimig heen en weer bewogen .
14-1|Het was in [ @alt ~die~dien dien ] nacht en op [ @alt ~dezen~deze dezen ] weg , dat eene kar , langzaam uit de richting van Leiden komende , een kruisweg naderde .
14-2|De duisternis liet niet toe het zich daarin bevindende gezelschap te onderscheiden ; bovendien werd het door een linnen huif bedekt , en [ @alt enigermate eenigermate ] tegen wind en regen beschut .
14-3|Na eenig stilzwijgen echter , sprak een vrouwenstem , ongetwijfeld het woord tot [ @alt ~de~den den ] vooropzittenden voerman richtende : " Let wel op , Casper !
14-4|Gij weet dat wij bij het Steenen kruis , [ @alt ~de~den den ] weg ter rechterzijde moeten inslaan !
14-5|- Het is nu geen tijd van slapen , " duwde zij [ @alt ~de~den den ] man , hem hevig op [ @alt ~de~den den ] schouder slaande , toe , daar zij bemerkte dat hij [ @alt ~haar~hare hare ] woorden niet gehoord had : " Wij moeten rechts , verstaat gij ? "
15-1|De aangesprokene , [ @alt zo zoo ] onzacht uit [ @alt ~zijn~zijne zijne ] dommeling gewekt , wreef zich geeuwende de oogen en keek in het rond . - " 't Is helsch donker , " riep hij eindelijk met een forsche stem : " ik zie weg noch steg . " - " Dan zult gij wél doen af te stappen en de plaats nader op te nemen , " hernam de eerste .
16-1|Nadat Casper het paard had doen stilstaan , en het de teugels over [ @alt ~de~den den ] kop geworpen had , voldeed hij nogmaals geeuwende en schier onwillig aan het verzoek , dat meer nog naar een bevel geleek .
17-1|Behalve de twee sprekende ingevoerde personen moest er zich (
18-1|2 ) nog een derde in het voertuig bevinden , die , wellicht door het luid gevoerde gesprek , of wel door het plotseling stilhouden der kar , was ontwaakt .
18-2|Althans , nauwelijks had Casper [ @alt ~de~den den ] wagen verlaten , of men hoorde een zacht gekreun , hetwelk door een kind moest worden voortgebracht .
18-3|De vrouw maakte een snelle achterwaartsche beweging en het scheen alsof zij een kleed over [ @alt ~de~den den ] kermende geworpen had , want , doffer en nauwelijks hoorbaar werd thans het klagend gekreun , dat trouwens telkens meer en meer door het akelig gefluit van [ @alt ~de~den den ] feller opstekenden stormwind verdoofd werd .
19-1|" De d ... .. mag weten waar wij zijn ! " riep Casper , terugkomende : " ik zie [ @alt ~de~den den ] zijweg niet .
19-2|Dat die vervl ... . maan er ook niet doorkomt ! " ging hij brommende voort : " men kan geen hand voor oogen zien . "
19-3|- De vrouw , welke meer met de plaatselijke gesteldheid scheen bekend te zijn , en met onbenevelde oogen had rond getuurd , stak nu het hoofd uit de kar , en gebood [ @alt ~de~den den ] nog half slapenden Casper weder op te klimmen : " Ik zie duidelijk , " [ @alt zei zeide ] zij , " dat wij de sloot nog op zijde hebben ; zij stuit tegen [ @alt ~de~den den ] kruisweg ; rijd dus voort , en let wél op ! "
19-4|- Casper gehoorzaamde , zonder te antwoorden , doch noodzaakte het trage paard , door een : " Kovort , Bles ! " hetwelk hij met een duchtigen zweepslag deed vergezeld gaan , zijn langzamen tred weder aan te nemem .
20-1|Ruim tweehonderd schreden verder gekomen , ontdekte hij , zooals de vrouw gezegd had , dat de sloot werkelijk stuitte .
20-2|Hier moest hij dus [ @alt de den ] [ @alt gewone gewonen ] rijweg verlaten en rechts inslaan .
20-3|De kar verliet het spoor , het wiel kraste tegen een steen , het voertuig helde naar de linkerzijde en ware zeker omvergestort , [ @alt zo zoo ] Casper niet een [ @alt zware zwaren ] slag op het stijve beest had doen nederkomen , dat , daardoor verschrikt , eenen sprong voorwaarts deed .
20-4|Door deze snelle beweging had het wiel [ @alt ~de~den den ] steen verlaten , zoodat het evenwicht hersteld was .
21-1|" Bij alle heiligen ! dat kruis had ons daar bijna [ @alt ~de~den den ] hals doen breken ! " [ @alt zei zeide ] de vrouw , schijnbaar ontsteld : " Gij moet wat voorzichtiger zijn , " vervolgde zij : " nu , echter , kunnen wij niet meer dwalen ; houd slechts het spoor ; binnen een goed half uur zijn wij aan de Blankert . "
22-1|Casper antwoordde niet , maar prevelde iets binnensmonds , dat veel naar eene verwensching geleek .
22-2|Zeker kon men echter overtuigd zijn dat hem deze nachtelijke tocht , in zulk een weder , niet beviel .
23-1|Niemand sprak verder .
23-2|De regen viel gestadig bij stroomen [ @alt neer neder ] en had [ @alt ~de~den den ] weg schier in een modderpoel veranderd .
23-3|De kar schokte geweldig , en het arme paard , telkens voortgezweept , scheen bijna niet meer in staat , zijn vreemde vracht voort te sleepen .
23-4|Eindelijk werd de stilte weder afgebroken door het meer dan te voren hoorbare gekreun van het kind , dat zich nu scheen te bewegen .
23-5|De vrouw sprak fluisterend eenige woorden , die alleen door het wezen tot hetwelk ze gericht waren , konden verstaan worden , en vervolgde toen luid tot Casper : " Mij dunkt , dat ik in de verte een schijnsel van licht ontdek ? " (
24-1|3 )
25-1|" Dit zal zeker de Blankert wezen , " [ @alt zei zeide ] Casper , die insgelijks het licht ontwaarde : " Wij worden opgewacht .
25-2|'t Is goed dat wij naderen , want Bles zou 't geen tien minuten meer kroppen .
25-3|- Vort , Bles ! " en het regende weer zweepslagen .
26-1|Inderdaad naderde het voertuig de Blankert , en duidelijk ontwaarden de reizigers nu een persoon , die met een lantaarn op- en nederging .
26-2|Nog eenige stappen , nog eenige schokken , en het voertuig bevond zich voor een opgehaalde brug , welke spoedig , door [ @alt ~de~den den ] persoon , die zich met de lantaarn aan gene zijde bevond , werd neergelaten .
26-3|Laatstgenoemde trad nabij [ @alt ~de~den den ] wagen en lichtte er in .
27-1|" 't Bevel ! " riep de vrouw uit de kar [ @alt ~de~den den ] onderzoekende toe .
27-2|Dit scheen het wachtwoord te zijn ; althans eene toestemming tot voortrijden , dat Casper gold , doch welker uitvoering hem niettemin veel moeite kostte , volgde op dit gezegde .
28-1|Dof dreunende , rolde nu het voorgelichte voertuig over de breede ophaalbrug , waarna de geleider het paard bij [ @alt ~de~den den ] kop vatte , het eerst door een holle poort , vervolgens over een breede met steenen geplaveide ruimte en eindelijk in een [ @alt donkere donkeren ] stal of schuur binnen voerde .
29-1|" Voor [ @alt ~de~den den ] duivel , dat heet boos weer ! " [ @alt zei zeide ] Casper , die bij het binnenrijden was afgestapt : " geen kat of hond zou men er uitjagen ; doch grof geld weegt zwaar , " ging hij in zich [ @alt zelf zelven ] voort , terwijl hij [ @alt de den ] [ @alt doorweekte doorweekten ] ronden hoed met slappen rand , door heen en weerslaan , van het water zocht te ontdoen .
30-1|De nieuwaangekomene , die hen [ @alt zo zoo ] even ontvangen had , scheen zich echter niet met hem in een gesprek te willen begeven , maar trad , nadat hij de lantaarn in het midden van [ @alt ~de~den den ] stal aan een haak had gehangen , op de kar toe .
30-2|Wat daar gesproken werd kon men niet duidelijk onderscheiden , [ @alt terwijl dewijl ] het gesprek zeer zacht gevoerd werd .
31-1|De lantaarn verspreidde een schemerachtig licht door de ruimte of stalling , doch evenwel helder genoeg , om meer nauwkeurig de personen , die zich aan deze plaats bevonden , op te nemen , en [ @alt ~hun~hunne hunne ] bewegingen gade te slaan .
32-1|Het gelaat van Casper vertoonde die ruwheid van karakter , welke men reeds [ @alt enigszins eenigszins ] uit de weinige door hem gesprokene woorden heeft kunnen opmaken .
