1-1|Multatuli
2-1|De Geschiedenis van Woutertje Pieterse
3-1|Opnieuw verzameld uit de " Ideen "
4-1|Door Dr. J. van [ @alt ~de~den den ] Bergh van Eysinga-Elias
5-1|Eerste Deel
6-1|Amsterdam - Uitgevers-Maatschappij " Elsevier " - 1921
7-1|( 2 )
7-2|N.V. Electr. Drukkerij " Volharding " Ceintuurbaan 250 Amsterdam
8-1|( 1 )
9-1|INLEIDING .
10-1|In de eerste jaren na 1860 heeft Multatuli zijn lezende en denkende landgenooten in heftige beroering gebracht : door de Max Havelaar , door zijn geschrift Over vrijen-arbeid in Nederlandsch-Indië en door [ @alt ~zijn~zijne zijne ] Minnebrieven wekte hij geestdrift eenerzijds , sterke afkeuring andererzijds door [ @alt ~zijn~zijne zijne ] excentrieke persoonlijkheid .
11-1|Voor [ @alt de den ] [ @alt groeiende groeienden ] kring zijner aanhangers begon hij in 1862 [ @alt ~zijn~zijne zijne ] Ideen uit te geven .
11-2|Deze verschenen op ongezette tijden per vel druks in een [ @alt losse lossen ] omslag , [ @alt ~die~dien dien ] M. als correspondentieblad met [ @alt ~zijn~zijne zijne ] lezers en lezeressen gebruikte .
11-3|Zoodoende kreeg hij voeling met [ @alt ~zijn~zijne~zijnen zijnen ] lezerskring .
11-4|De strijd om recht te verkrijgen voor [ @alt ~de~den den ] Javaan werd verruimd tot een " strijd tegen Droogstoppelarij in alle beteekenissen " : " Ik trek te velde tegen al wat op zedelijk , maatschappelijk en staatkundig gebied klein , gemeen , bekrompen of benauwd is " , verklaart M. in I. 403 .
12-1|En dit deed hij - schrijvende naar [ @alt ~de~den den ] indruk van het [ @alt ogenblik oogenblik ] - in kernachtige spreuken en prikkelende paradoxen , in parabelen en betoogen , soms zangerig en dichterlijk van taal , dan weer vlijmend scherp van toon .
13-1|M. leefde voor en in zijn geestelijken strijd .
13-2|Hij was vol moed en vervuld van hoop , toen [ @alt ~zijn~zijne zijne ] Ideen bij velen insloegen .
13-3|Maar nieuwe denkbeelden dringen tot de groote hoop , ook tot die der intellectueelen uiterst langzaam door : ondanks een [ @alt groeiende groeienden ] kring van geestverwanten lieten werkelijke hervormingen op zich wachten .
13-4|En dit maakt geestelijken strijd [ @alt zo zoo ] ontmoedigend .
13-5|Deze ontmoediging heeft M. ruimschoots gekend en het heeft hem vaak bitter gestemd , ja het vervulde hem met walging .
13-6|En dan barst hij uit in een wanhoopskreet : " Wat poëzie , myn God , opdat ik niet verga van walging over zooveel walglyks òm my . "
13-7|( I. 360 - 361 . )
13-8|En dan zegt Fancy hem tot troost een sprookje voor , een sprookje geboren uit heimwee naar de heerschappij van 't goede , schoone en ware .
