1-1|( Inhoud )
2-1|( Inhoud )
2-2|INSTITUUT SPARRENHEIDE .
3-1|( Inhoud )
3-2|Voor Annie .
4-1|Als een herinnering aan [ @alt ~de~den den ] zomer van 1913 .
5-1|( Inhoud )
6-1|De auto toeterde , de heer zwaaide met zijn arm .
7-1|( Inhoud )
8-1|In de [ @alt Vakantie Vacantie ]
9-1|Bibliotheek voor Jongens en Meisjes .
10-1|Serie A Jongensboeken .
10-2|Deel 13 .
11-1|Instituut Sparrenheide
12-1|door
13-1|Chr. van Abkoude
14-1|Geïllustreerd door O. Geerling
15-1|Tweede Druk
16-1|ALKMAAR - GEBR .
16-2|KLUITMAN .
17-1|1917
18-1|( Inhoud )
18-2|BOEKDRUKKERIJ GEBR .
18-3|KLUITMAN - ALKMAAR . (
19-1|5 )
20-1|( Inhoud )
21-1|Eerste Hoofdstuk .
22-1|Oorlogsplannen .
23-1|Midden in een groot [ @alt dennenbos dennenbosch ] [ @alt tussen tusschen ] Baarn en de Vuursche lag op een heuveltje , geheel verscholen in het groen , een aardige , houten villa .
23-2|Er liep een balcon rond het [ @alt hele heele ] huis en daardoor leek het veel op een [ @alt Zwitserse Zwitsersche ] woning .
23-3|Alleen het dak stak boven de [ @alt bomen boomen ] uit , en wanneer je uit het dakraam keek , had je een verrukkelijk gezicht over heel [ @alt ~de~den den ] omtrek .
23-4|Je zag dan duidelijk de torens van Amersfoort , Soest , Bunschoten en meer omringende dorpen .
23-5|Je zag er heel mooi het Witte Paleis van Koningin Emma en wat naar rechts de Naald van Waterloo .
24-1|In dat hooggelegen huis woonde mijnheer Bergwoude , hoofdonderwijzer van de kostschool " Sparrenheide . "
24-2|Als mijnheer Bergwoude naar school ging , behoefde hij alleen maar het heuveltje af te dalen , waarop (
25-1|6 ) zijn huis gebouwd was en [ @alt ~de~den den ] boschweg over te steken , want het schoolgebouw stond juist aan [ @alt ~de~den den ] overkant .
26-1|Dat schoollokaal was niet groot , het bestond maar uit twee klassen en een gymnastieklokaal .
26-2|Maar het was ook geen gewone school .
26-3|Op " Sparrenheide " kwamen alleen kinderen , die niet [ @alt zo zoo ] vlug konden [ @alt leren leeren ] als andere jongens en meisjes .
26-4|Sommigen , omdat ze thuis altijd ziekelijk waren , anderen omdat ze zenuwachtig waren of vroeger de een of andere ziekte hadden gehad , waardoor ze later niet meer [ @alt zo zoo ] goed onthouden konden .
27-1|En waarom ze nu op een gewone school niet , en op " Sparrenheide " wèl konden [ @alt leren leeren ] , dat zullen we in dit boek wel bemerken .
28-1|Mijnheer en Mevrouw Bergwoude waren alleraardigste [ @alt mensen menschen ] , die beiden verbazend veel van kinderen hielden .
28-2|Zij hadden drie kinderen , allen jongens .
28-3|Op het [ @alt ogenblik oogenblik ] , dat dit verhaal een aanvang neemt , was juist de Zaterdagmorgen-schooltijd geëindigd en begaven de jongens en meisjes zich , voor [ @alt zover zoover ] zij niet bij mijnheer Bergwoude in " pension " waren , naar huis .
29-1|Ook de drie zoons van [ @alt ~de~den den ] hoofdonderwijzer , Hans , Flip en Rob .
29-2|Hans was dertien jaar , een flinke , sterke jongen met [ @alt brede breede ] schouders en een paar armen als een athleet .
29-3|Voor zijn leeftijd was hij een boom van een kerel en wat hij met zijn zwarte [ @alt ogen oogen ] niet gedaan kreeg , dat maakte hij verder in orde met zijn gespierde vuisten .
30-1|Flip telde twaalf jaar , hij was eveneens een door en door gezonde boy , maar niet [ @alt zo zoo ] [ @alt struis struisch ] en stevig als Hans , Flip was een rechte pretmaker , hij hield verbazend (
31-1|7 ) veel van grapjes en wist ook vaak allerlei aardige dingen te zeggen , waarom een ieder moest lachen .
31-2|De tienjarige Robert , doorgaans genoemd Rob , was een rare snuiter .
31-3|Je kon eigenlijk niet uit hem wijs worden .
31-4|Hij was wat stil ; hij hield veel van zijn ouders en zijn broers , maar misschien nog meer van de [ @alt bossen bosschen ] en de hei met de planten en de dieren .
31-5|Hij maakte er een [ @alt hele heele ] studie van en bijna altijd was hij in zijn vrije uren met zijn botaniseer-trommel en plantenschopje in het [ @alt bos bosch ] te vinden , of rangschikte zijn verzamelde planten en insecten op zijn kamer .
31-6|Maar dat nam niet weg , dat hij toch hetzelfde [ @alt vrolijke vroolijke ] humeur van zijn broers had , al was hij dan ook wat minder luidruchtig en druk .
31-7|Hij kon evengoed meedoen aan hun grappen en spelen als andere jongens , maar bleef altijd kalm .
31-8|En waarom hij nu een rare snuiter was ?
31-9|Wel , in de eerste plaats was hij [ @alt vreselijk vreeselijk ] slordig op alles .
31-10|Niet alleen op zijn [ @alt kleren kleeren ] en boeken , zijn planten en dieren , maar ook verbazend onverschillig voor andere dingen .
31-11|Het kon hem bijvoorbeeld [ @alt helemaal heelemaal ] niet schelen , een uur te laat op school of aan tafel te komen .
31-12|Alle standjes , straffen en vermaningen hielpen weinig of niets .
31-13|Soms nam hij zich voor , opeens [ @alt vreselijk vreeselijk ] netjes te worden , maar maakte het dan weer [ @alt zó zóó ] erg , dat hij op zijn kousen liep om zijn schoenen niet vuil te maken .
31-14|Daarbij was hij erg vergeetachtig .
31-15|Alles en alles bij elkaar genomen had Rob aanleg om professor te worden .
32-1|[ @alt Ziezo Ziezoo ] , nu zijn de drie [ @alt vrolijke vroolijke ] broers voorgesteld .
32-2|[ @alt Zoals Zooals ] gezegd , zij hadden [ @alt zo zoo ] juist de school verlaten en gingen naar huis .
32-3|Door [ @alt ~de~den den ] tuin , die op de helling van [ @alt ~de~den den ] heuvel was aangelegd , kwamen zij in de huiskamer , (
33-1|8 ) waarvan de [ @alt brede breede ] tuindeuren wijd open stonden .
33-2|Zij vonden hun moeder bezig met het klaarzetten van de koffietafel en volgens trouwe gewoonte werd zij allereerst eens stevig gepakt door haar drie jongens .
33-3|Dat deden zij alle drie met kracht en klem .
33-4|Vervolgens keken zij met verlangende [ @alt ogen oogen ] naar de stapels boterhammen en zei Flip op vertrouwelijken toon :
34-1|" Help ons gauw weg , moedertje , we hebben reusachtig haast ! "
35-1|" Ja , " voegde Hans erbij , " we hebben nog [ @alt zoveel zooveel ] te doen en moeten er vroeg bij zijn . "
36-1|" Ik hoef niet eens te eten , " zei Rob .
37-1|" Wat zullen we nu weer beleven ? " vroeg moeder , " waarom [ @alt zo zoo ] gehaast ?
37-2|En waarom zonder eten weg ?
37-3|Dat gebeurt niet , hoor !
37-4|Wat is er dan aan de hand ? "
38-1|" Dat zijn [ @alt grote groote ] geheimen , moeder , " zei Flip .
39-1|" Staatsgeheimen , " vond Hans .
40-1|" Och kom , " pleitte Rob voor zijn moeder , " wij kunnen het moeder best vertellen . "
41-1|Op dit [ @alt ogenblik oogenblik ] kwam hun vader binnen .
41-2|De heer Bergwoude was een man met een vriendelijk voorkomen , hij droeg een [ @alt ~lange~langen langen ] , blonden baard en blond waren ook zijn haren .
