1-1|(
2-1|310 )
3-1|In Griekenland .
4-1|Naar het [ @alt Frans Fransch ] van A. Adossidès .
5-1|Het Griekenland van tegenwoordig is niet meer dat van Chateaubriand of van Edmond About .
5-2|Het heeft allerlei veranderingen ondergaan .
5-3|Uit het kleine stadje , dat Athene in hun tijd nog was , en dat men er dertig of veertig jaren geleden ook nog zag , is thans een stad geworden , die waardig haar plaats inneemt onder de europeesche hoofdsteden .
5-4|De veiligheid is er overal in het land volkomen .
5-5|De voornaamste middelpunten en de plaatsen waar men opgravingen doet , zijn met Athene verbonden door spoorwegen of door een net van goede rijwegen .
6-1|[ @alt Zowel Zoowel ] uit Athene als uit Patras bereikt men snel Olympia , Corinthe , Mycene , Argos , Nauplia , Tripolitza en Kalamata : Thebe , Chaeronea , Livadia en Chalkis hebben eveneens hun spoorwegen .
6-2|Ook in Thessalië kruisen elkander de rails .
6-3|Van Volo gaat een lijn naar Larissa , een andere naar Kalabaka , waar men een bezoek kan brengen aan de beroemde groep der Meteorenkloosters .
6-4|Naar Sparta laat men zich per rijtuig of per muilezel brengen , en [ @alt tussen tusschen ] [ @alt ~de~den den ] Piraeus en Delphi wordt de dienst door [ @alt boten booten ] onderhouden .
6-5|Corfoe ligt op [ @alt ~de~den den ] weg der paketbooten , die van Brindisi of Venetië naar Patras gaan .
6-6|Een uitstapje naar de eilanden van [ @alt ~de~den den ] Griekschen Archipel neemt meer tijd .
6-7|Maar als men niet tot de Cycladen kan gaan , als men niet vol genoeg is van de archaeologie , om op het eiland Delos aan een dienst ter [ @alt ere eere ] van [ @alt ~de~den den ] god Apollo deel te nemen , dan moet de vriend van kleur en lijn toch altijd Salamis gaan zien en Poros , Aegina en [ @alt ~de~den den ] tempel .
7-1|Het reizen in het binnenland is voor toeristen niet altijd en overal gemakkelijk .
7-2|Naar vele beroemde ruïnen en [ @alt wonderschone wonderschoone ] punten voeren slechts allerwonderlijkste wegen .
7-3|De heerlijke tocht door de kloven van [ @alt ~de~den den ] Taygetos , de bestijging van [ @alt ~de~den den ] berg Kotylion , op welks top zich de tempel verheft , [ @alt ~die~dien dien ] het genie van Ictinos voor [ @alt ~de~den den ] genezenden Apollo oprichtte , zijn ware beproevingen voor het uithoudingsvermogen van [ @alt ~de~den den ] ruiter en zelfs voor dat van [ @alt ~de~den den ] voetganger .
7-4|Maar zulke moeilijke wegen , die men evenwel zonder [ @alt nadelige nadeelige ] gevolgen aflegt , dank zij der behendigheid van de muilezels , zijn inderdaad uitzonderingen .
7-5|Meestal heeft men goede wegen .
8-1|Griekenland is een der weinige landen , waar men in [ @alt ~dezen~deze dezen ] tijd van autosnelheid nog reizen kan in een aangenaam tempo en nog kan ronddolen en dwalen en [ @alt flaneren flaneeren ] naar hartelust .
8-2|Alleen als men er neiging toe gevoelt , verhaast men [ @alt ~de~den den ] pas of als de gids er roeping toe vertoont .
8-3|Op harmonieuse wijze wordt de tocht gedaan , zonder lastige haast of tyrannieke snelheid ; er zijn van die lange trajecten , waar men uren aaneen geen sterveling ontmoet .
8-4|En meestal behoeft men slechts even zich buiten de poorten van een stad te begeven , om dadelijk zich te gevoelen te midden van de eenzaamheid der bergen of van de wijde vlakte .
9-1|Op menige plek komt de geur van maagdelijken grond u tegen .
9-2|De illusie zou volkomen wezen , als niet bij elke bocht van [ @alt ~de~den den ] weg plotseling een tempel in puin te voorschijn kwam , of een [ @alt middeleeuws middeleeuwsch ] fort , een kapel , die op het instorten staat , of een dorp , waarvan de huizen als een kudde geiten tegen de helling der bergen hangen .
9-3|Laat ieder , die Griekenland wil zien , haast maken ; nu zijn er het toerisme en de vreemdelingenindustrie nog maar in het opkomen .
9-4|Er zijn nog geen wandaden tegen de schoonheid [ @alt ener eener ] streek te [ @alt constateren constateeren ] , en de schilderachtige punten zijn nog ongeschonden .
10-1|Alleen de steden hebben genoeg [ @alt ~de~den den ] invloed van [ @alt de den ] [ @alt moderne modernen ] tijd ondervonden , om voor het aan modern comfort verwende [ @alt mensenkind menschenkind ] niet afschrikkend te werken .
10-2|In de voornaamste plaatsen slaapt en eet men niet al te slecht .
10-3|Patras , Nauplia , Delphi , Olympia hebben zelfs uitstekende hotels .
10-4|In de gehuchten en de afgelegen dorpen herbergt de aanzienlijkste burger de doortrekkende vreemdelingen .
10-5|Ook de op de hoogten gelegen kloosters weten reizigers goed te ontvangen ; de monniken van Megaspileon en die uit de Meteorenkloosters zijn beleefde en zeer milde [ @alt gastheren gastheeren ] .
10-6|Hoogerop in het gebergte krijgt men een gul onthaal bij de herders , waar nog een aartsvaderlijke eenvoud [ @alt heerst heerscht ] .
10-7|Zij slachten ter [ @alt ere eere ] van [ @alt ~de~den den ] reiziger het [ @alt traditionele traditioneele ] gemeste kalf , dat aan het spit gebraden wordt en des avonds na het homerische onthaal , als allen in een kring rondom een groot vlammend vuur zijn uitgestrekt , heffen ze liederen aan , herderszangen , populaire melodieën en oude volkswijzen .
11-1|Het Griekenland van de herders en de bergbewoners is waard , beter bekend te worden , [ @alt zoals zooals ] ook dat der zeelieden de moeite van het bekijken loont .
11-2|Dat Griekenland wordt door de zee en de bergen van de beschaving afgehouden , en in de afgelegen gedeelten der bergstreken , [ @alt zowel zoowel ] als aan de weinig bezochte kusten moet men het echte nationale leven zoeken .
11-3|Daar hebben de steeds openstaande woningen nog een geur van de oudheid over , en men begroet er [ @alt ~de~den den ] vreemdeling met [ @alt ~de~den den ] naam van " broeder " , adelphé .
11-4|Dat schilderachtige Griekenland van de herders is door een kunstenaar uit Genève , [ @alt ~de~den den ] knappen [ @alt fotograaf photograaf ] Fred .
11-5|Boissonas , een vurig bewonderaar van Hellas , onder handen genomen en hij heeft dat meer bekend willen maken naast het artistieke Griekenland in een werk , dat eerlang zal verschijnen , een prachteditie , met [ @alt ~de~den den ] titel : " In Griekenland " .
