1-1|( Inhoud )
2-1|( Inhoud )
3-1|" La Chambre Obscure "
4-1|Naar een sepia-teekening door Jurriaan Andriessen 1742 - 1819 .
4-2|In het bezit van het Koninklijk Oudheidkundig Genootschap .
5-1|(
6-1|I )
7-1|Camera Obscura
8-1|Van
9-1|Hildebrand .
10-1|Nec lusisse pudet , sed non incidere ludum .
11-1|Horatius .
12-1|Negen en twintigste druk .
13-1|( Geïllustreerd . )
14-1|Haarlem De Erven F. Bohn .
15-1|1917 .
16-1|(
17-1|II )
18-1|( Inhoud )
18-2|De schaduwen en schimmen van Nadenken , Herinnering en Verbeelding vallen in de ziel als in [ @alt ene eene ] Camera Obscura , en sommige [ @alt zo zoo ] treffend en aardig dat men last gevoelt ze na te [ @alt tekenen teekenen ] en , met ze wat bij te werken , op te kleuren , en te [ @alt groeperen groepeeren ] , er kleine schilderijen van te maken , die dan ook al naar de [ @alt grote groote ] Tentoonstellingen kunnen gezonden worden , waar een klein hoekje goed genoeg voor hen is .
18-3|Men moet er evenwel geen portretten op zoeken ; want niet alleen staat er honderdmaal een neus van Herinnering op een gezicht van Verbeelding , maar ook is de uitdrukking des gelaats [ @alt zo zoo ] weinig bepaald , dat een zelfde tronie dikwijls op wel vijftig onderscheiden [ @alt mensen menschen ] gelijkt .
19-1|Anonymus
20-1|in libro non edito . (
21-1|III )
22-1|( Inhoud )
23-1|Voorbericht , Zesde Druk ; 1864 .
24-1|Het is nu juist vijfentwintig jaren geleden dat , in het najaar van 1839 , de Camera Obscura [ @alt ~haar~hare hare ] intrede in de wereld deed .
24-2|De pseudonieme Schrijver , toen zelf nog maar even vijfentwintig jaren oud , ofschoon in een ander vak van letterkundige voortbrengselen , onder zijn eigen naam , niet onvriendelijk door [ @alt ~zijn~zijne zijne ] [ @alt landgenoten landgenooten ] opgenomen , zag [ @alt ~zijn~zijne zijne ] stoutste verwachtingen overtroffen , als de buitengewoon hartelijke ontvangst van dit zijn werk binnen 't halfjaar een [ @alt tweede tweeden ] druk noodzakelijk maakte , welke dan ook in 't voorjaar van 1840 het licht zag .
24-3|Toen , elf jaren later , een derde druk [ @alt nodig noodig ] werd , had hij [ @alt ~de~den den ] moed de nieuwe uitgave met [ @alt enige eenige ] tot hiertoe onuitgegevene opstellen [ @alt zodanig zoodanig ] te vermeerderen dat het boekdeel , hetwelk nu ( 1851 ) het licht zag , schoon kleiner van formaat , wat [ @alt ~de~den den ] inhoud betrof meer dan verdubbeld was .
24-4|Van dat [ @alt ogenblik oogenblik ] af , kwam er een nieuw leven in [ @alt ene eene ] belangstelling , die van [ @alt ~de~den den ] beginne aan boven verwachting was geweest en nimmer was afgebroken .
24-5|De Belgische pers vereerde het [ @alt Hollandse Hollandsche ] boek eerlang met een nadruk ( 1853 ) ; maar deze verhinderde niet dat reeds in het volgende jaar een vierde wettige uitgave in het vaderland noodzakelijk was , onder wier omslag nu ook de tot nog toe hier en daar Verspreide Stukken van Hildebrand aan zijn hoofdwerk werden toegevoegd .
24-6|Ook deze was echter in 1858 uitgeput en maakte plaats voor [ @alt ene eene ] vijfde , - en zie hier nu de zesde , in alles aan de vijfde gelijk , behalve dat [ @alt enige eenige ] druk- en stijlfouten verbeterd en waarschijnlijk ook weder [ @alt enige eenige ] nieuwe gemaakt zijn , en dat de verstandige lieden , die tot deze zesde uitgave gewacht hebben zich het boekdeel aan te schaffen , zonder vermeerdering van kosten , daarbij nog dit voorbericht winnen .
25-1|Het is [ @alt ~de~den den ] Schrijver [ @alt ene eene ] streelende gedachte , dat aan zijn werk , in deze zesde uitgave , het voorrecht te beurt mag vallen in handen te komen van een geslacht van [ @alt landgenoten landgenooten ] , nauwelijks (
26-1|IV ) of niet geboren , toen hij het voor het eerst aan het licht bracht ; het volwassen , meerderjarig kroost van dat , waaronder hij zelf is opgegroeid , waarvoor hij schreef , en dat hij schetste ; maar niet minder treft het hem , zich daarbij inderdaad te moeten afvragen of niet dit nieuw geslacht ruim [ @alt zo zoo ] zeer behoefte zou hebben aan ophelderende [ @alt aantekeningen aanteekeningen ] bij zijn werk gevoegd , als aan deze , min of meer historische , voorrede ?
26-2|Of maakt niet het vierde [ @alt ener eener ] eeuw ; en [ @alt ener eener ] eeuw als de negentiende ; maakt niet het vierde [ @alt ener eener ] eeuw een tijdperk uit , lang genoeg om een boek als het [ @alt ~zijn~zijne zijne ] hier en daar zonderling te doen voorkomen en op menige plaats onverstaanbaar te doen worden ?
27-1|De mannen , die met [ @alt ~de~den den ] Schrijver het jaar van [ @alt ~de~den den ] " Volksgeest " beleefd hebben , tot welks eer wij nu in de hoofdstad een [ @alt gedenkteken gedenkteeken ] zien pralen , dat - [ @alt enig eenig ] in zijn soort mag worden genoemd , herinneren zich b.v. zonder twijfel de loffelijke poging nog wel , destijds van diezelfde hoofdstad uitgegaan , om in Nederland , tot schitterender triomf over België , [ @alt ene eene ] nationale kleederdracht te [ @alt improviseren improviseeren ] .
27-2|Als zij [ @alt ~hun~hunne hunne ] [ @alt ogen oogen ] sluiten , zien zij gewis nog weder voor hun geest oprijzen die nationale " tunica's " , waarop de eerste nommers van het nationale modeblad de nationale [ @alt ogen oogen ] deden verlieven !
27-3|Maar wat stelt het tegenwoordige geslacht zich voor , wanneer het [ @alt ~de~den den ] Schrijver van " nationale hoeden " ziet gewagen ?
27-4|Wat denkbeeld vormt het zich , in dit jaar 1864 , van dameshoeden met luifels , van Rapponische krachten , van een mathesisexamen in het Latijn , of van [ @alt ene eene ] Vierde Klasse van het Koninklijk [ @alt Nederlands Nederlandsch ] Instituut ?
27-5|Hoe ondenkbaar moet in zijn [ @alt ogen oogen ] een Nederland zonder spoorwegen ; hoe buitensporig een Sint-Nicolaas met verguldsel voorkomen ; hoe ongepast een karakteristiek der periodieke pers , als in " Gerrit Witse " beproefd is !
27-6|Wat weet het van baleintjes om lange pijpen door te steken ? van achtëntwintigen ? van [ @alt vete veete ] tegen de Belgen ? wat van lantarenvullers ?
27-7|En waar de namen van een Smallenburg , een Macquelyn , een Don Carlos genoemd worden , waar van de Industriëlles van Bertolotto , De Avondbode , de woestijn van het Koegras , gewaagd wordt , zou daar voor zeer velen een kleine [ @alt aantekening aanteekening ] wel overbodig zijn ?
28-1|Met dat al heeft de Schrijver nog niet kunnen besluiten , bij de tegenwoordige uitgave reeds in deze " dringende behoefte " te voorzien .
28-2|Het blijve voor gehoopte latere drukken bewaard , als (
29-1|V ) de behoefte nog dringender , de notennood nog [ @alt hoger hooger ] gestegen zal zijn .
29-2|Ook mag de Schrijver zich afvragen , of het niet al te onedelmoedig wezen zoude , door het voorshands nutteloos maken van hunnen arbeid , aan de oudheidkenners , Navorschers en Commentatoren van volgende tijden een bewijs van wantrouwen te geven , hetwelk zij in geen opzicht hebben verdiend .
30-1|De oudste stukken in dit boekdeel , waarin [ @alt gene geene ] van een latere dagteekening dan het jaar 1841 voorkomen , zijn : Een Beestenspel , dat reeds in [ @alt ~de~den den ] Studenten-Almanak voor 1837 een plaats vond , en Vooruitgang , opgenomen in het October-nommer van De Gids van dat zelfde jaar .
31-1|Wat Een Beestenspel betreft , ik hoop dat het [ @alt Nederlands Nederlandsch ] Woordenboek zich ontfermen zal over [ @alt ~de~den den ] Naam .
