1-1|( Inhoud )
2-1|( Inhoud )
3-1|SLECHTE TIJDEN
4-1|DOOR
5-1|CHARLES DICKENS .
6-1|VERTALING VAN C. M. MENSING .
7-1|MET 19 HOUTGRAVUREN NAAR TEEKENINGEN VAN H. FRENCH
8-1|Achtste , geheel herziene druk .
9-1|NIJMEGEN - GEBR .
9-2|E. & M. COHEN - ARNHEM .
10-1|(
11-1|1 )
12-1|SLECHTE TIJDEN .
13-1|EERSTE BOEK .
13-2|ZAAIEN .
14-1|( Inhoud )
15-1|I.
16-1|HET ÉÉNE NOODIGE .
17-1|" Al wat ik vraag , zijn feiten .
17-2|Leer die jongens en meisjes niets anders dan feiten .
17-3|Dat is alles wat men in de wereld [ @alt nodig noodig ] heeft .
17-4|Plant niet anders , en roei alle andere dingen uit .
17-5|Door feiten alleen kunt gij [ @alt ~de~den den ] geest van met rede begaafde dieren ontwikkelen ; niets anders zal hun ooit van [ @alt enig eenig ] nut wezen .
17-6|Dit is de stelregel , waarnaar ik [ @alt ~mijn~mijne mijne ] [ @alt ~eigen~eigene eigene ] kinderen grootbreng , en het is ook de stelregel , (
18-1|2 ) waarnaar ik deze kinderen opvoed .
18-2|Houd u aan feiten en blijf daarbij , mijnheer ! "
19-1|Het [ @alt toneel tooneel ] was een hol , eentonig schoolvertrek , met vier kale witte muren , en des sprekers recht uitgestoken voorvinger gaf nadruk aan [ @alt ~zijn~zijne zijne ] woorden , door elk gezegde met [ @alt ene eene ] lijnrechte beweging over des schoolmeesters mouw te onderstrepen .
19-2|Die nadruk werd nog versterkt door des sprekers voorhoofd , dat naar een vierkant opgebouwden muur geleek , die [ @alt ~zijn~zijne zijne ] wenkbrauwen tot grondslag had , terwijl [ @alt ~zijn~zijne zijne ] [ @alt ogen oogen ] in twee naar keldergaten zweemende donkere holen , door [ @alt ~die~dien dien ] muur overschaduwd , verscholen lagen ; en verder door des sprekers mond , die breed en recht ingesneden was , met dunne , strakke lippen - en verder door des sprekers stem , die stroef , eentonig en gebiedend was - en verder door des sprekers haar , dat borstelig om [ @alt ~de~den den ] rand van zijn kaal hoofd oprees , als ware het een dennenplantsoen , bestemd om [ @alt ~de~den den ] wind van de blinkende oppervlakte af te weren , die overal met knobbels was bedekt , alsof het hoofd nauwelijks ruimte had voor al de dorre feiten , die daarin lagen opgestapeld .
19-3|Des sprekers [ @alt gehele geheele ] onverbiddelijke houding , zijn rechthoekig gesneden rok , zijn rechthoekige [ @alt benen beenen ] , [ @alt ~zijn~zijne zijne ] rechthoekige schouders - ja zelfs [ @alt ~zijn~zijne zijne ] das , gewend om hem met een [ @alt onverbiddelijke onverbiddelijken ] greep , als een hardnekkig feit , bij de keel te pakken - alles versterkte nog [ @alt ~die~dien dien ] nadruk .
20-1|" In deze wereld hebben wij niets anders dan feiten [ @alt nodig noodig ] , mijnheer ; niets anders dan feiten . "
21-1|De spreker , de schoolmeester en de derde aanwezige volwassene persoon , stapten een weinig achteruit en lieten toen [ @alt ~hun~hunne hunne ] [ @alt ogen oogen ] gaan over het hellende vlak van kleine kruikjes , daar in orde geschikt , en gereed om zich emmers vol feiten te laten ingieten tot zij ten boorde toe vol waren .
22-1|( Inhoud )
23-1|II .
24-1|DE KINDERMOORD .
25-1|Thomas Gradgrind , mijnheer .
25-2|Een man van het positieve en materieele .
25-3|Een man van feiten en cijfers .
25-4|Een man , die zich aan [ @alt ~de~den den ] regel vasthoudt , dat tweemaal twee vier is en niets meer , en die zich niet laat bepraten om iets daarboven in te willigen .
25-5|Thomas Gradgrind , mijnheer - Thomas en niets anders - Thomas Gradgrind .
25-6|Met [ @alt ene eene ] liniaal en een goudschaaltje en de tafel van vermenigvuldiging altijd in zijn zak , gereed om ieder staaltje van het [ @alt mensdom menschdom ] te meten en te wegen , en u precies te zeggen wat het uitmaakt .
25-7|Dit is iets , waarbij het alleen op cijfers aankomt , [ @alt ene eene ] eenvoudige rekensom .
25-8|Het zou u misschien kunnen gelukken , om een George Gradgrind , of een Augustus Gradgrind , of een John Gradgrind , of een Jozef Gradgrind ( allen hersenschimmige , denkbeeldige personen ) daaromtrent een ander begrip , dat maar een dwaas vooroordeel is , in het hoofd te brengen , maar Thomas Gradgrind , mijnheer - onmogelijk !
26-1|Met dergelijke bewoordingen in [ @alt ~zijn~zijne zijne ] gedachten , was mijnheer Gradgrind gewoon zich [ @alt zelf zelven ] voor te stellen , hetzij in een gesloten kring van bekenden , of bij het publiek in het algemeen , en zonder twijfel was het ook met die gedachten - behalve dat hij het woord " mijnheer " in de woorden " jongens en meisjes " veranderde , dat Thomas Gradgrind zich thans naar de kleine kruikjes keerde , die [ @alt zo zoo ] vol feiten moesten gegoten worden .
27-1|Waarlijk , terwijl hij hen uit de bovengemelde keldergaten aanflikkerde , scheen hij een soort van kanon te zijn , tot aan [ @alt ~de~den den ] mond met feiten geladen , en gereed om hen met één schot geheel uit de gewesten der kindsheid te doen verstuiven .
27-2|Hij scheen ook wel een galvanisch toestel , geladen met een bijtend scheikundig mengsel , dat de [ @alt tedere teedere ] , jeugdige verbeelding haar spel moest beletten door haar met [ @alt ene eene ] harde korst van feiten te overdekken .
28-1|" Meisje nommer twintig , " [ @alt zei zeide ] mijnheer Gradgrind , lijnrecht met zijn voorvinger wijzende .
28-2|" Ik ken dat meisje niet .
28-3|Wie is dat meisje ? "
29-1|" Sissy Jupe , mijnheer , " antwoordde het meisje nommer twintig , blozende , opstaande en nijgende .
30-1|" Sissy is geen naam , " [ @alt zei zeide ] mijnheer Gradgrind .
30-2|" Gij moet geen Sissy zeggen , maar Cecilia . "
31-1|" Vader noemt mij altijd Sissy , mijnheer , " antwoordde het meisje met [ @alt ene eene ] bevende stem en nogmaals nijgende .
32-1|" Dat moet hij dan niet doen , " hervatte mijnheer Gradgrind .
32-2|" Zeg hem , dat hij het niet meer doen moet , Cecilia Jupe .
32-3|Laat eens zien .
32-4|Wat is uw vader ? "
33-1|" Hij behoort bij de paardrijders , als het u belieft , mijnheer . "
34-1|Mijnheer Gradgrind trok [ @alt ~zijn~zijne zijne ] wenkbrauwen samen en wuifde het aanstootelijke beroep als het ware met [ @alt ~zijn~zijne zijne ] hand weg .
35-1|" Wij willen hier niets daarvan weten .
35-2|Gij [ @alt mag moogt ] hier volstrekt niet daarvan spreken .
35-3|Uw vader dresseert paarden , niet waar ? "
36-1|" Ja wel , mijnheer , zij [ @alt dresseren dresseeren ] ook wel paarden in de manege , als zij ze krijgen om te [ @alt dresseren dresseeren ] , mijnheer . "
37-1|" Gij behoeft ons hier niets van de manege te vertellen .
37-2|Welnu dan .
37-3|Zeg dus maar , dat uw vader paarden dresseert .
37-4|Hij zal ook wel zieke paarden cureeren , zou ik denken ? "
38-1|" O ja wel , mijnheer . "
39-1|" Welnu , dan is hij pikeur en paardendokter .
39-2|Laat mij eens uwe definitie van een paard [ @alt horen hooren ] . " (
40-1|3 )
41-1|Sissy Jupe ontstelde zichtbaar over [ @alt ~dezen~deze dezen ] [ @alt eis eisch ] en zweeg .
42-1|" Dat meisje nommer twintig is buiten staat om [ @alt ene eene ] definitie van een paard te geven , " [ @alt zei zeide ] mijnheer Gradgrind tot [ @alt algemene algemeene ] waarschuwing van al de kleine kruikjes .
42-2|" Dat meisje nommer twintig is onbekend met de feitelijke eigenschappen van een der gewoonste dieren .
42-3|Laat een van de jongens mij eens [ @alt ene eene ] definitie van een paard geven .
42-4|Bitzer , gij ! "
