1-1|EEN TWAALFTAL SAMENSPRAKEN
2-1|VAN
3-1|DESIDERIUS ERASMUS VAN ROTTERDAM
4-1|UIT HET LATIJN VERTAALD DOOR N.J. SINGELS
5-1|TOT INLEIDING : Cd .
5-2|BUSKEN HUET'S BESCHOUWING OVER ERASMUS
6-1|1912
7-1|Inhoud
8-1|ERASMUS
9-1|door Cd .
9-2|BUSKEN HUET
10-1|[ @alt ~Mijn~Mijne Mijne ] lezers mogen niet klagen over dit langdurig vertoeven in de kraamkamer van ons [ @alt hoger hooger ] onderwijs .
10-2|Maar de opmerking staat hun vrij dat het eerste beginselen zonder wiekslag geweest zijn .
10-3|Goede wil , toewijding , zelfopoffering , niets ontbrak , behalve Erasmus en het genie .
11-1|De rotterdamsche Heilige , als Vondel hem noemen zou , wekt onze belangstelling inzonderheid als landgenoot en omdat hij , in onderscheiding der vermaarde oorlogslieden welke na hem de Republiek der Vereenigde-Provinciën zou voortbrengen , op [ @alt zo zoo ] eervolle wijze [ @alt ~de~den den ] nederlandschen volksaard in vredestijd vertegenwoordigd heeft : anderen met het penseel in de hand , hij met de pen .
11-2|Alleen de omstandigheden zijn oorzaak geweest dat niet reeds door Erasmus [ @alt ene eene ] zigtbare noordnederlandsche akademie is kunnen gesticht worden , gelijk van hem en [ @alt ~zijn~zijne zijne ] geschriften de eerste onzigtbare dagteekent .
12-1|Wel is waar zag na zijn vijfentwintigste of dertigste jaar zijn geboortegrond hem naauwlijks terug , en is hij daarna meer voor Europa dan voor Nederland gaan leven .
12-2|Maar , geen [ @alt Fransman Franschman ] geworden , geen [ @alt Engelsman Engelschman ] , geen Spanjaard of Italiaan , geen Zwitser zelfs , - ofschoon hij te Bazel zich meer op zijn gemak gevoelde dan overal elders , - de sporen zijner afkomst en zijner opvoeding zijn nooit verdwenen .
12-3|Welke vlugt daarna [ @alt ~zijn~zijne zijne ] studiën mogen genomen hebben , [ @alt zodat zoodat ] hij in het wetenschappelijke [ @alt ~de~den den ] gezigteinder zijner meeste land- en [ @alt tijdgenoten tijdgenooten ] ontvoer , het eerste derde deel zijns levens is op [ @alt ~zijn~zijne zijne ] verdere vorming , door de kracht der aantrekking niet minder dan der afstooting , van beslissenden invloed geweest .
12-4|Nederland openbaarde hem aan zichzelf , en zulke indrukken zijn [ @alt onuitwisbaar onuitwischbaar ] .
13-1|Litterarische en theologische vijanden hebben , de [ @alt enen eenen ] bij zijn leven , de anderen kort na zijn dood , door uit te brengen dat hij de zoon was van een zuidhollandsch dorpspastoor , in strijd met kerkgeloften bij [ @alt ene eene ] noord-brabantsche dienstbode of huishoudster gewonnen , een smet op [ @alt ~zijn~zijne zijne ] geboorte [ @alt menen meenen ] te werpen . ( 1 ) Uit een maatschappelijk oogpunt teregt , uit een [ @alt algemener algemeener ] en edelmoediger ten onregte .
13-2|Het strekt [ @alt ~de~den den ] nederlandschen dienstbodestand en [ @alt ~de~den den ] lageren nederlandschen klerus der 15de eeuw tot eer , zulk een buitengewoon kind het aanzijn gegeven te hebben .
13-3|Noem het [ @alt ene eene ] speling der natuur ; noem het [ @alt ene eene ] waarschuwing der Voorzienigheid aan [ @alt ~de~den den ] onwetenden oudnederlandschen adel ; [ @alt ene eene ] les aan [ @alt ~de~den den ] etenden en drinkenden oud-nederlandschen burgerstand ; niemand zal beweren dat er termen waren aan de wetenschappelijke toekomst van een volk te twijfelen , uit welks onderste lagen , in de ongunstigste omstandigheden , Erasmus kon voortkomen .
14-1|Het verwekken van dit kind was niet de eerste dergelijke fout des vaders .
14-2|Dezelfde huishoudster had hem reeds vroeger een zoontje geschonken ; en naar het schijnt legde de kerkelijke overheid , tot straf van [ @alt ~de~den den ] recidivist , hem [ @alt ene eene ] bedevaart naar Rome op .
14-3|[ @alt Zo Zoo ] verdween hij voor [ @alt ene eene ] poos uit de omstreken van Gouda , en de huishoudster ging bij [ @alt ~zijn~zijne zijne ] rotterdamsche bloedverwanten [ @alt ~haar~hare hare ] bevalling verbeiden . ( 2 )
15-1|Van Erasmus Senior weet men weinig méér dan dat hij , al spoedig in Nederland en op [ @alt ~zijn~zijne zijne ] standplaats teruggekomen , er overleden is toen zijn jongste zoon twaalf of dertien jaren telde .
15-2|De moeder stierf een weinig vroeger , te Deventer , waar zij met [ @alt de den ] [ @alt geniale genialen ] knaap zich heenbegeven had , om voor [ @alt ~zijn~zijne zijne ] gezondheid te waken , terwijl hij er de lessen van [ @alt ~de~den den ] aantrekkelijken en onvermijdelijken Hegius volgde .
15-3|Zij schijnt [ @alt ene eene ] zorgvuldige verpleegster geweest te zijn .
15-4|[ @alt Wellicht Welligt ] paarde zij , dochter van een chirurg uit Zevenbergen , aan haar liefhebbend moederlijk instinkt sommige technische bekwaamheden .
15-5|[ @alt Ene Eene ] boosaardige deventersche epidemie nam haar in [ @alt ~de~den den ] bloei des levens weg . ( 3 )
16-1|De nederlandsche dorpspastoors der 15de eeuw waren geen suikerlords ; en toen vader en moeder het tijdelijke gezegend hadden , vonden de jonge Erasmus en zijn broeder [ @alt ene eene ] sobere nalatenschap te [ @alt delen deelen ] .
16-2|De zevenbergsche heelmeester , grootvader van moederszijde , ongetwijfeld tevens baardscheerder van beroep , kan evenmin een man van vermogen geweest zijn .
