1-1|( Inhoud )
2-1|( Inhoud )
2-2|De Ellendigen . (
3-1|3 )
4-1|De Ellendigen
5-1|Naar het [ @alt Frans Fransch ]
6-1|Van
7-1|Victor Hugo .
8-1|Op nieuw bewerkt .
9-1|Eerste deel .
10-1|Arnhem en Nijmegen ,
11-1|Gebrs .
11-2|E. & M. Cohen .
12-1|(
13-1|4 )
14-1|( Inhoud )
14-2|Snelpersdruk van H. C. A. Thieme te Nijmegen . (
15-1|5 )
16-1|Boek I.
17-1|Een rechtvaardige .
18-1|( 7 ) ( Inhoud )
19-1|Eerste hoofdstuk .
20-1|M. Myriel .
21-1|In het jaar 1815 was de heer Charles-François-Bienvenu Myriel bisschop van Digne .
21-2|Hij was een grijsaard van omstreeks vijf en zeventig jaren en bekleedde de waardigheid van bisschop sedert 1806 .
22-1|Hoewel deze bijzonderheid eigenlijk niets te maken heeft met de hoofdzaak van ons verhaal , heeft het misschien toch zijn nut , al was het maar om niet te vergeten , hier te wijzen op de geruchten en praatjes , die er omtrent hem in omloop waren op het tijdstip , dat hij tot genoemde waardigheid werd bevorderd .
22-2|Hetgeen men van de [ @alt mensen menschen ] zegt , het moge dan waar zijn of niet , heeft dikwijls evenveel invloed op hun leven en vooral op hun levensloop , als hetgeen zij doen .
22-3|De heer Myriel was de zoon van een parlementslid te Aix ; van [ @alt ~de~den den ] adel des tabbaards dus .
22-4|Men vertelde , dat zijn vader , in de hoop , dat zijn zoon hem eenmaal zou opvolgen , [ @alt ~dezen~deze dezen ] zeer vroeg , op zijn achttiende of twintigste jaar namelijk , had laten trouwen overeenkomstig een gebruik in de familiën der leden van het parlement .
22-5|Toch had Charles Myriel , niettegenstaande [ @alt ~dezen~deze dezen ] echt , veel van zich doen spreken , naar men [ @alt zei zeide ] .
22-6|Hij was welgebouwd , ofschoon nog al klein , had zeer goede manieren en was geestig ; het eerste gedeelte zijns levens was geheel en al aan de wereld en haar vermakelijkheden gewijd .
23-1|Daar brak de revolutie uit , de [ @alt ene eene ] gewichtige gebeurtenis stapelde zich op de andere , de familiën der parlementsleden vernederd , verjaagd en verguisd , spatten uiteen .
23-2|Charles Myriel nam reeds bij [ @alt ~de~den den ] aanvang der revolutie de wijk naar Italië .
23-3|Zijn vrouw stierf er aan een borstkwaal , waaraan zij reeds sedert lang lijdende was .
23-4|Zij hadden geen kinderen .
23-5|Wat ging er toen om in het binnenste van Charles Myriel ?
23-6|Deden de vernietiging der bestaande [ @alt Franse Fransche ] maatschappij , de val van zijn (
24-1|8 ) eigen familie , de treurige [ @alt tonelen tooneelen ] van '93 , misschien nog verschrikkelijker voor de uitgewekenen , die ze uit de verte met toenemenden angst zagen , denkbeelden van zelfverloochening en eenzaamheid in hem opkomen ?
24-2|Werd hij , te midden [ @phantom van ] [ @alt de der ] verstrooiingen en genietingen , die hem bezighielden , plotseling aangegrepen door een van die geheimzinnige en [ @alt vreselijke vreeselijke ] slagen , die [ @alt soms somtijds ] [ @alt ~de~den den ] [ @alt mens mensch ] , door hem in de ziel te treffen , verpletteren , [ @alt ~de~den den ] [ @alt mens mensch ] [ @alt ~die~dien dien ] de openbare rampen niet zouden doen wankelen , al grepen ze ook in zijn bestaan en in zijn fortuin ?
