1-1|( Inhoud )
2-1|( Inhoud )
3-1|Uit het leven van
4-1|Dik Trom
5-1|Door
6-1|C. Joh. Kieviet
7-1|Zesde druk
8-1|Geïllustreerd door
9-1|Joh. Braakensiek
10-1|Alkmaar - P. Kluitman .
11-1|( Inhoud )
11-2|Boekdrukkerij Firma P. Kluitman - Alkmaar .
12-1|( Inhoud )
13-1|Inhoud .
14-1|Bladz .
15-1|Dirk wordt geboren en krijgt een naam 1
16-1|Dirk en de baker worden kwade vrienden 7
17-1|Dirk begint te kruipen en kattekwaad te doen 11
18-1|Dirk wordt in een [ @alt dubbele dubbelen ] zin dik en gaat op [ @alt ~de~den den ] ingeslagen weg voort 19
19-1|Dik ondergaat [ @alt ene eene ] gedaanteverwisseling en blijft toch dezelfde 31
20-1|Hoe Dik uit varen ging 41
21-1|Dik gaat naar school 51
22-1|Dik en de juffrouw 63
23-1|Dik en de heks van [ @alt ~de~den den ] Achterweg 75
24-1|[ @alt Ene Eene ] eerzame weduwe en een zeldzame ezel 91
25-1|Hoe Dik kwaad deed , en Bruin er een pak slaag voor kreeg 105
26-1|Flipsen wordt nog [ @alt bozer boozer ] 117
27-1|Boontje komt om zijn loontje 129
28-1|Hoe Dik op vrije voeten geraakte en een goed besluit nam 147
29-1|Paarden en ezels 161
30-1|Hoe Dik de heks voorthielp 175
31-1|Een ongeluk komt zelden alleen 191
32-1|Het slot van de geschiedenis 205
33-1|(
34-1|4 )
35-1|( Inhoud ) " Wel , wel , wat een driedubbeldikke jongen is dat ! "
36-1|(
37-1|1 )
38-1|( Inhoud )
39-1|Eerste Hoofdstuk .
40-1|Dirk wordt geboren en krijgt een naam .
41-1|Moeder was ziek ; al sedert vier dagen had zij hevige koortsen , die haar dwongen het bed te houden .
41-2|Doch hoe ziek zij ook was , toch klopte haar hart van blijdschap , want [ @alt ~dezen~deze dezen ] morgen was haar liefste [ @alt wens wensch ] vervuld ; de goede God had haar een zoon geschonken .
42-1|Haar man wist nog niet , welk groot geluk hem te beurt was gevallen , want hij werkte op [ @alt ~groten~grote grooten ] afstand van [ @alt ~zijn~zijne zijne ] woning , [ @alt zodat zoodat ] het gewoonlijk reeds laat in [ @alt ~de~den den ] avond was , als hij thuis kwam .
