1-1|( Inhoud )
2-1|( Inhoud )
2-2|De Pleegzoon .
3-1|De Pleegzoon
4-1|Door
5-1|Mr. J. van Lennep .
6-1|Leiden .
6-2|- A. W. Sijthoff .
7-1|( I ) ( Inhoud )
8-1|Mr. Jacob van Lennep .
9-1|" Van Lennep was onze prettigste litteraire gestalte , die de kunst verstond vijftig jaren lang amusant te blijven . "
10-1|Cd .
10-2|Busken Huet .
11-1|I.
12-1|'t Was een plezier Van Lennep persoonlijk te ontmoeten .
13-1|Toen hij in Augustus 1865 ter vergaderzaal van het achtste Taal- en Letterkundig Congres te Rotterdam verscheen , geheel in een grijs zomercostuum , het fraaie zilveren [ @postag noun(het,mass,sg) hair ] om de slapen golvend , kwam ieder hem blij groetend te gemoet .
13-2|Aan de tafel van het bestuur plaats nemend , de guitige , donkere [ @alt ogen oogen ] naar het publiek , vooral naar de dames richtend , zat hij met een bijna onmerkbaren glimlach te luisteren .
13-3|De vrij [ @alt droge drooge ] beraadslaging over de spelling der bastaardwoorden werd plotseling door hem met een handvol aardigheden afgebroken .
13-4|Wie herinnert zich niet , hoe daar door hem geijverd werd , om de [ @alt f ph ] door de f te vervangen - hoe hij vertelde , dat hij als jonkman een zangspel " Saffo " geschreven had , maar , dat de regisseur [ @alt ~zijn~zijne zijne ] spelling in Sapho gewijzigd had , [ @alt zodat zoodat ] de acteurs : " O , Sap , ho , wees gegroet ! " zongen ; hoe hij er bijvoegde , dat [ @alt ene eene ] [ @alt Amsterdamse Amsterdamsche ] dienstmaagd , uitgezonden door [ @alt ~haar~hare hare ] mevrouw , om te zien of er een [ @alt vrolijk vroolijk ] stuk op het [ @alt Leidse Leidsche ] Plein zou gespeeld worden , terugkwam met het bericht : " Ze spelen de Mophondjes , " terwijl in werkelijkheid " Demophontes , " het classiek treurspel van Metastasio , vertaald door Westerwijk , werd vertoond ; hoe
14-1|(II)hij besloot met de [ @alt mededeling mededeeling ] [ @alt ener eener ] jonge dame , die hem in [ @alt ~zijn~zijne zijne ] waardigheid van vrijmetselaar vroeg , wat de orde toch bedoelde met de woorden prop hanen , waarop hij antwoordde , dat daarmeê waarschijnlijk de mannetjes van prop hennen gemeend werden .
15-1|Een zonneschijn van [ @alt vrolijkheid vroolijkheid ] schitterde plotseling over de vergadering , die vóór Van Lennep's komst in deftige dommeling [ @alt zachtjes zachtkens ] afdreef op [ @alt ~de~den den ] stroom der verveling .
16-1|In het huis op de Keizersgracht , in [ @alt ~zijn~zijne zijne ] ruime studeerkamer , aan [ @alt ~zijn~zijne zijne ] schrijftafel , maakte hij geen minderen indruk .
16-2|Gekleed met zijn grijzen kamerjapon - als op het [ @alt grote groote ] gesteendrukte portret naar de voortreffelijke schilderij van Schwarze - de snuifdoos in de linkerhand , de rechter op een arm van zijn leunstoel , zat hij daar met zijn prettig gezicht en fonkelende [ @alt ogen oogen ] naar de woorden van zijn bezoeker te luisteren , de gelegenheid afwachtend , om met een [ @alt fijne fijnen ] zet of een luimig verhaal zelf het woord te nemen .
16-3|Onder vier [ @alt ogen oogen ] kwam daarenboven de natuurlijke goedheid van zijn hart uit , daar hij [ @alt gene geene ] moeite te zwaar vond , om aan [ @alt enig eenig ] verzoek zijner vrienden te voldoen .
16-4|[ @alt ~Zijn~Zijne Zijne ] wetenschap , [ @alt ~zijn~zijne zijne ] bibliotheek , zijn invloed stonden hun ten dienste , [ @alt zo zoo ] vaak zij [ @alt ~zijn~zijne zijne ] hulp inriepen .
17-1|Te Gent zag men hem , ter gelegenheid van het negende Letterkundig Congres , in het voorportaal van [ @alt de den ] [ @alt schone schoonen ] schouwburg , op een Augustusavond van 1867 in zijn licht reiscostuum - hij was uit Zwitserland overgekomen - terwijl hij met hartelijkheid de hand drukte van E. Douwes Dekker , die hem kort te voren in een vlugschrift [ @alt ~zijn~zijne zijne ] hulpvaardigheid bij het uitgeven van [ @alt ~de~den den ] " Max Havelaar " als een misdrijf voor de voeten had geworpen .
17-2|De Congresleden omringden hem van alle kanten .
17-3|En uit de rijen der Zuid-Nederlanders ging een luid gejuich op .
17-4|[ @alt Zoveel Zooveel ] grootmoedigheid , [ @alt zoveel zooveel ] [ @alt zelfbeheersing zelfbeheersching ] , [ @alt zoveel zooveel ] rustige heuschheid mochten niet onopgemerkt blijven .
18-1|Van Lennep's persoon was overal bekend .
18-2|Overal werden hoeden afgenomen , handdrukken gewisseld .
18-3|In alle [ @alt Nederlandse Nederlandsche ] steden had hij vrienden of ten minste goede kennissen .
18-4|Zelfs onder [ @alt ~de~den den ] eenvoudigen , maar nuttigen , stand der sjouwerlieden was zijn naam en persoon bekend .
18-5|En niet alleen te Amsterdam .
18-6|Het gebeurde in 1867 , dat te Rotterdam aan het station van [ @alt ~de~den den ] Rhijnspoorweg bij het aankomen van een trein uit Utrecht , een aardig , knap juffertje stond bij [ @alt ene eene ] geopende deur aan het plankier .
18-7|Dat juffertje was [ @alt ene eene ] [ @alt Rotterdamse Rotterdamsche ] , die dagelijks vrij wat [ @alt mensen menschen ] zag , daar zij haar guitig wipneusje sedert een jaar achter het buffet deed bewonderen door wereldwijze handelsreizigers en roodgeblakerde tweede-luitenants ,
19-1|(III)die op transport waren .
19-2|Toen de reizigers uit [ @alt ~de~den den ] trein zich over het plankier verspreidden , zag zij te midden van [ @alt ene eene ] groep luidsprekende [ @alt heren heeren ] een grijsaard met ongemeen vriendelijken glimlach en golvende witte hairen .
19-3|Telkens hield iemand hem staande , om hem met een [ @alt levendige levendigen ] uitroep van verrassing , van ingenomenheid , [ @alt enige eenige ] snelle woorden toe te spreken , die door [ @alt ~de~den den ] wellevenden man onuitputtelijk geduldig werden beantwoord .
19-4|Ieder beijverde zich met liefde [ @alt ~de~den den ] weg open te houden voor [ @alt ~de~den den ] uiterlijk reeds [ @alt zo zoo ] achtbaren man , wiens tred door [ @alt ~de~den den ] last van vijfenzestig jaren reeds vrij wat van vroegere veerkracht miste .
19-5|De knappe buffetjuffrouw verwonderde zich , dat één oude heer [ @alt zo zoo ] ontzettend veel kennissen om zich heen verzamelde .
19-6|En daar Hein , de witgekielde sjouwerman van het goederenbureel , juist voorbijkwam , vroeg ze :
20-1|- " Wie is die grijze heer ? "
21-1|- " Wie ?
21-2|Wel nou , jij bent ook een beste !
21-3|Ken-je onzen Van Lennep dan niet ? "
22-1|'t Feit is historisch en werd door een ooggetuige verteld .
22-2|Ik kom er weldra op terug .
23-1|Toen ik Van Lennep voor het laatst zag , doorleefde hij [ @alt de den ] [ @alt gelukkigste gelukkigsten ] dag van zijn ouderdom .
23-2|Het was Vrijdag 18 October 1867 , [ @alt ~de~den den ] dag , waarop te Amsterdam het standbeeld van Joost van [ @alt ~de~den den ] Vondel zou worden onthuld .
23-3|[ @alt Ene Eene ] [ @alt grote groote ] menigte stroomde naar de Nieuwe Kerk , om zich rondom Vondel's grafsteê te [ @alt verenigen vereenigen ] .
23-4|De blauwe zerk was zorgvuldig van stof gezuiverd en prijkte met [ @alt ene eene ] krans van gele immortellen .
23-5|Een dichte drom geletterden schaarde zich eerbiedig om deze heilige plek , terwijl boven onze hoofden de zon door de [ @alt hoge hooge ] kerkvensters scheen en schoven van goud licht over het hoog gewelf uitgoot .
23-6|Plotseling stond Van Lennep vóór ons , het witte hoofd ontbloot , de [ @alt ogen oogen ] tintelend van geestdrift , na zeven jaren zwoegens eindelijk triumfeerend door de oprichting van het standbeeld .
23-7|Hij sprak enkele eenvoudige woorden over Vondel's graf en [ @alt nodigde noodigde ] de feestgenooten naar het park , waar het [ @alt schone schoone ] monument van Royer en Cuypers zou worden onthuld .
24-1|Een uur later verscheen hij in het spreekgestoelte bij het standbeeld en sprak daar met duidelijk verstaanbare stem [ @alt ~zijn~zijne zijne ] feestrede .
24-2|Niemand was meer gerechtigd dan hij tot deze taak , daar hij een vierde van zijn reeds gevorderden leeftijd aan het verhaal van Vondel's leven , en aan het verklaren van [ @alt ~zijn~zijne zijne ] werken had besteed .
24-3|Uit aller [ @alt kelen keelen ] klonk daarom een aanhoudend bravo , toen de welsprekende staatsman , die destijds aan het hoofd van het departement van [ @alt Binnenlandse Binnenlandsche ] Zaken stond , toen Mr. J. Heemskerk Az . ,
25-1|(IV)Van Lennep met een hartelijk woord van gelukwensching , namens Z. M. [ @alt ~de~den den ] Koning , het commandeurskruis der orde van [ @alt ~de~den den ] Nederlandschen Leeuw aanbood .
26-1|[ @alt Zó Zóó ] zag ik hem voor het laatst .
27-1|Eens nog schreef hij mij ( 8 Februari 1868 ) , zeven maanden vóór zijn dood ( 26 Augustus 1868 ) .
27-2|Ik geloof , dat men mij de vrijheid vergunnen zal [ @alt ~dezen~deze dezen ] brief hier meê te [ @alt delen deelen ] , men zal er uit zien , dat mijn verhaal van Hein , [ @alt ~de~den den ] kruier , volmaakt historisch is .
28-1|" Amice !
29-1|" Ik zeg u [ @alt ~groten~grote grooten ] dank voor het exemplaar van [ @alt ~de~den den ] bekroonden Vondel1 ... . waarmede mijn vrouw , die gedurende de feesten ziek was en dus niets van de pret gezien of gehoord had , zich bijzonder vermaakt heeft ... .
29-2|Ik zal er maar niets van zeggen , want ik krijg er [ @alt zoveel zooveel ] mooie kompl . in , dat ik uw stuk niet prijzen durf , zonder [ @alt ~de~den den ] schijn op mij te laden , alsof ik het daarom [ @alt zo zoo ] naar mijn zin vind ... .
30-1|" Het doet mij plezier , dat Gij die pret op 't slot te Muiden [ @alt zo zoo ] con amore geschilderd en de aandacht weder op dit slot gevestigd hebt .
30-2|De Hr. Heemskerk had , onmiddellijk na het feest , zijn voornemen te kennen gegeven , om een wet voor te stellen tot restauratie van het slot , zich vleiende , dat daarvoor nu juist in deze [ @alt ogenblikken oogenblikken ] veel sympathie zijn zou ; - doch nu is juist die vervelende krizis [ @alt tussen tusschen ] beiden gekomen - 2 .
30-3|Van die krizis gesproken , podagra heb ik deze [ @alt ~reize~reis~reizen reize ] niet gehad , maar [ @alt terwijl dewijl ] 't een kwaal is , daar ik best mee bekend ben sedert 30 jaren , heb ik haar bij voorkeur in mijn brochure gebracht - 3 als onschuldig middel om de attentie te trekken - ... .
31-1|" Maar ik heb zes maanden lang gesukkeld aan leewater in de knie en laatstelijk aan doofheid .
31-2|Dat is nu Goddank weer over en [ @alt ~mijn~mijne mijne ] gezondheid is door de Vondelsfeesten geheel gekureerd .
32-1|" Zijt gij 't , of is het een ander , die de Letterkundige Intermezzoos
33-1|(V)in Nederland schrijft4 .
33-2|De schrijver , wie dan ook , heeft in zijn eerste artikel [ @alt ene eene ] beschuldiging tegen onze natie gericht , als zou zij haar schrijvers , mij b. v. , niet kennen of liever geen notitie van hen nemen .
33-3|Ik zou hem , daar ik er ook als voorbeeld bij gehaald ben , een dozijn voorbeelden kunnen geven van het tegendeel .
33-4|Toen Hofdijk voor een paar jaren bij mij aan de Steeg [ @alt logeren logeeren ] zou , was er in beide herbergen al een [ @alt grote groote ] vreugde en verwachting vooruit - en onlangs , dat ik te Rotterdam uit [ @alt ~de~den den ] trein stapte en de juffrouw van 't buffet zei : " He , wie of die grijskop is met zijn lange haren ! " riep een sjouwerman van 't goederenbureau verontwaardigd uit : " Wat , ken-je onzen Van Lennep niet ? "
33-5|Dit werd mij later medegedeeld door [ @alt ~de~den den ] Hr. Van Alphen , die 't gehoord had .
34-1|" Indien gij nu de bedoelde schrijver niet zijt , laat die anecdote - die in dat geval een kale bluf zou schijnen - maar liever ongelezen .
35-1|" Vale , faveque
36-1|" Amst .
36-2|8 febr.
36-3|1868 .
36-4|T. T.
37-1|" J. v. Lennep . "
38-1|Van mijn edelmoedigen vriend , die zich , helaas ! te vergeefs vleide met herstel zijner gezondheid , heb ik dus de [ @alt mededeling mededeeling ] omtrent het feit , dat wellicht bij de eerste vermelding wat onwaarschijnlijk mocht klinken .
39-1|De vreugde aan de Steeg in 1866 betoond bij Hofdijk's komst schijnt mij tevens in nauw verband te staan met de blijde opgewektheid , die de viering van zijn zeventigsten jaardag ( 27 Juni 1886 ) heeft gekenmerkt .
40-1|II .
41-1|Zonder [ @alt enige eenige ] overdrijving mag beweerd worden , dat Van Lennep als dichter , als romanschrijver , vele jaren lang de populairste onzer auteurs is geweest .
41-2|Als voorbeeld zijner populariteit heeft Cd .
