1-1|FERDINAND HUYCK
2-1|Door
3-1|Mr. JACOB VAN LENNEP .
4-1|Inhoud
5-1|BRIEF
6-1|VAN DEN HEER P. AAN DEN UITGEVER , TOT INLEIDING DIENENDE .
7-1|Amsterdam , [ @alt ~de~den den ] ... .
8-1|Ik weet niet , of gij van nabij bekend zijt geweest met de oude Juffrouw Stauffacher , die nu ruim twaalf jaren geleden in [ @alt ~de~den den ] ouderdom van ongeveer drieëntachtig jaren hier ter stede ontslapen is : [ @alt zo zoo ] niet , acht ik zulks uiterst jammer voor iemand als gij , die een liefhebber zijt van onderzoek te doen naar min bekende bijzonderheden , het leven , het karakter , of de lotgevallen betreffende van vermaarde personen ; want zij was een levend repertorium van dergelijke aardigheden .
8-2|Ofschoon [ @alt zelf zelve ] , voor [ @alt zoverre zooverre ] mij bewust is , nooit [ @alt enige eenige ] buitengewone avonturen hebbende gehad , was zij , door de omstandigheden van haar levensloop , in betrekking geweest met een groot aantal van die personaadjes , welke zich in de vorige eeuw in verschillende opzichten vermaardheid hebben verworven : velen hunner had zij zelfs van nabij gekend .
9-1|Quiconque a beaucoup vû
10-1|Peut avoir beaucoup retenu ,
11-1|zegt La Fontaine ; en zij had een uitmuntend geheugen .
11-2|Zij was tegenwoordig geweest , toen Voltaire in [ @alt ~de~den den ] schouwburg bekroond werd , en had Lodewijk XV zien uitrijden met Madame Dubarry : zij had Necker zijn financieel stelsel [ @alt horen hooren ] ontwikkelen en [ @alt ~de~den den ] Graaf de Saint-Germain het toilet beschrijven van de keizerin Helena en de inneming van Akkaron door Richard Leeuwenhart .
11-3|Er was , in Frankrijk vooral , bijna geen adellijke familie , waarvan zij niet de vertakkingen en opvolging kende , [ @alt zo zoo ] goed en beter misschien dan die van haar eigen geslacht ; ( want ik heb nooit kunnen uitvorschen , of zij van [ @alt ~de~den den ] medestichter der [ @alt Zwitserse Zwitsersche ] vrijheid al dan niet vermeende af te stammen ) en zij ware in staat geweest aan de Pseudo-Marquise de Créqui menige dwaling aan te wijzen in de gedenkschriften , die op haar naam zijn uitgevent .
11-4|Zij kende ook al de kleine anecdoten , die omtrent de merkwaardige personen van het [ @alt Franse Fransche ] hof te boek gesteld zijn ; en menige daarbij , die niet gedrukt staat , en welke zij onder vier [ @alt ogen oogen ] aan de uitverkorene vrienden met [ @alt zoveel zooveel ] bijzonderheden en locale kleur wist te vertellen , dat men aan de echtheid daarvan niet dorst twijfelen , en dikwijls overtuigd bleef , dat zij hetgeen zij mededeelde had bijgewoond of althans uit de eerste hand vernomen .
11-5|Wat onze [ @alt Nederlandse Nederlandsche ] familiën betreft , hoewel zij ruim vijftig jaren hier af en toe had doorgebracht , was zij daarmede wel eens in de war : niet , dat men haar ooit op misslagen betrapte , wanneer het de afkomst of vermaagschapping gold ; maar zij was , gelijk zulks bij oude lieden meer het geval is , op het laatst van haar leven altijd geneigd , een geslacht te verspringen : [ @alt zodat zoodat ] zij mij en [ @alt ~mijn~mijne mijne ] [ @alt tijdgenoten tijdgenooten ] tot de zonen onzer grootvaders en de broeders onzer tantes verhief , 't is waar , dat een glimlach van hem , wien de misslag gold , doorgaans genoeg was , om haar te herinneren , dat zij zich vergiste , en om tot rectificatie aanleiding te geven .
12-1|Gij moet echter niet denken , dat zij [ @alt gene geene ] andere verdiensten bezat als die van veel gezien en opgemerkt te hebben : - hoewel ook deze minder algemeen gevonden wordt dan men wel denken zoude .
12-2|Zij paarde aan een gezond oordeel veel solide kennis , en was in de gelegenheid geweest , daarvan voor haar [ @alt zelf zelve ] en voor anderen een nuttig gebruik te maken .
12-3|Ettelijke jonge dames uit onze aanzienlijkste huizen waren aan haar onderwijs en leiding toevertrouwd geweest : en menig verdienstelijk staatsman of geleerde , thans in [ @alt hoge hooge ] betrekking geplaatst , getuigt nog heden van het nut , dat hij als jongeling uit haar omgang of lessen getrokken heeft .
12-4|En bij die verstandelijke gaven voegde zij , - in weêrwil van haar vroegere bekendheid met vrijgeesten en filosofen , met kwakzalvers en roués , in weêrwil zelfs van het zwak , dat haar was bijgebleven voor verscheidene geschriften , die men thans uit de boekerij [ @alt ener eener ] vrouw verbannen zoude , - een vromen , godsdienstigen zin : en haar werken [ @alt zowel zoowel ] als haar woorden getuigden , dat haar geloof vast was en op een onwankelbaren grondslag gebouwd .
13-1|Haar karakter was vrolijk en opgeruimd : en tot haar einde toe bleef haar het levendige , ja , ik zoû zeggen , het kinderlijke van een jong meisje bij .
13-2|Vandaar dat zij zich [ @alt soms somtijds ] op een kluchtige wijze recht boos kon maken : bij voorbeeld , wanneer zij iets gelezen of gehoord had , dat niet strookte met hetgeen zij begreep en volhield waar te zijn : of wanneer iemand een regel uit een dichtwerk verkeerd aanhaalde , of [ @alt ~die~dien dien ] niet aan [ @alt de den ] [ @alt rechte rechten ] maker toeschreef , of wel zijn onkunde aantoonde omtrent het juiste getal kinderen , door Lodewijk XIV bij Mevrouw de Montespan verwekt .
13-3|Maar de lieden , op wie zij het voornamelijk geladen had , waren onze [ @alt hedendaagse hedendaagsche ] boekverkoopers , met hun flikkerende stereotypen , hun miniatuur-uitgaven en hun [ @alt complete compleete ] werken in een deel .
13-4|Zij nam het zeer kwalijk , dat men aan oude lieden , wier gezicht begon te verzwakken , en die toch buiten lectuur weinig anderen troost konden vinden , juist die [ @alt enige eenige ] uitspanning [ @alt zo zoo ] moeilijk maakte .
13-5|Zij bleef dus de 4e edities voorstaan : en , behalve [ @alt ~de~den den ] huisbijbel , kon men ook doorgaans op haar tafel een Cats in dat formaat aantreffen , of wel de fraaiste en duidelijkste uitgaven der [ @alt Franse Fransche ] puikdichters .
