1-1|INDISCHE MENSCHEN IN HOLLAND .
2-1|INDISCHE MENSCHEN IN HOLLAND .
3-1|OORSPRONKELIJKE ROMAN
4-1|DOOR
5-1|MAURITS .
6-1|LEIDEN .
6-2|- A. W. SIJTHOFF .
7-1|( 1 )
8-1|INDISCHE MENSCHEN IN HOLLAND .
9-1|'t Was nog niet ver in het najaar , maar toch reeds vinnig koud .
9-2|In de nieuwe wijken van [ @alt ~De~Den Den ] Haag , te zamen [ @alt groter grooter ] dan de oude stad , scheen het guurder dan elders ; eentoniger en stiller was het er zeker , vooral in de straat , waar kapitein Roos met zijn talrijk gezin een bovenhuis had gehuurd .
9-3|Wie [ @alt ~die~dien dien ] dag [ @alt ~de~den den ] hoek om kwam , kreeg van [ @alt ~de~den den ] scherpen noordoostenwind de volle laag en zijn deel van het voor [ @alt de den ] [ @alt sterke sterken ] luchtstroom opstuivend zand , dat de pas gelegde bestrating bedekte .
10-1|De twee lange rijen huizen stonden , op enkele uitzonderingen na , nog leeg .
10-2|Één lijn vormden de lijsten der dakgoten aan weerskanten , één lijn de architraven , één lijn de rollagen der trottoirs .
10-3|De net gemetselde [ @alt rode roode ] [ @alt bakstenen baksteenen ] van het weinige en dunne muurvlak [ @alt tussen tusschen ] deuren en vensters waren opgebleekt onder [ @alt ~de~den den ] drogen , kouden wind , die door de reten gierde , het te [ @alt verse versche ] hout der [ @alt panelen paneelen ] deed krimpen en scheuren , of spleten trok in de voegen , waarvan 't laagje verf week met een knal .
10-4|Het was een mislukte bouwspeculatie , die [ @alt gehele geheele ] straat , gelijk er [ @alt zoveel zooveel ] waren .
11-1|( 2 )
11-2|De huren waren laag , maar toch wilde niemand er wonen voorshands , en slechts hier en daar zag men een armzalig winkeltje in een der benedenhuizen genesteld , met een [ @alt magere mageren ] inventaris , die een parodie leek op de huisdeur à jour en [ @alt ~de~den den ] porseleinen schelknop .
12-1|En over die nare ongezellige straat hing een effen grijze lucht , met geen kans om een zonnestraaltje door te laten , in de talrijke vensters zonder gordijnen zijn grauwe tinten weerspiegelend .
13-1|Kapitein Roos trok zijn handschoenen aan en nam zijn stok .
13-2|Hij ging uit , elken dag en elken avond ; hij was bijna niet meer thuis dan om te eten en te slapen .
13-3|Zijn woning trok hem niet aan en aantrekkelijks was er ook bitter weinig .
