1-1|Jules Verne
2-1|Naar het Middelpunt
3-1|der
4-1|Aarde
5-1|Naar de 22e [ @alt franse fransche ] uitgave .
6-1|Derde druk .
7-1|Rotterdam .
7-2|- Jacs .
7-3|G. Robbers .
8-1|Stoomdrukkerij van Gebr. van Asperen van der Velde , te Haarlem .
9-1|Bladzijde 1
10-1|Hoofdstuk I
11-1|Prof. Otto Lidenbrock .
11-2|- Eigenaardigheden van oom .
11-3|- De studeerkamer .
12-1|Op Zondag , [ @alt ~de~den den ] 25sten Mei 1863 , keerde mijn oom , professor Lidenbrock , haastig terug naar zijn huisje No 19 van de Koningstraat , [ @alt ene eene ] der oudste straten van de oude wijk te Hamburg .
13-1|De goede Martha zou bijna gedacht hebben veel te laat te zijn , want het middageten was nauwelijks aan de kook op het fornuis in de keuken .
14-1|" Goed , " [ @alt zei zeide ] ik bij mij [ @alt zelf zelven ] , " als hij honger heeft , zal mijn oom , die de ongeduldigste [ @alt mens mensch ] is , luide jammerkreten aanheffen . "
15-1|" Is mijnheer Lidenbrock daar reeds ! " riep de goede Martha vol ontsteltenis , terwijl zij de deur der eetzaal op een kier zette .
16-1|" Ja , Martha ! maar het eten behoeft nog niet klaar te zijn , want het is nog geen twee uur .
16-2|De klok der St. Michaëlskerk heeft pas half twee geslagen . "
17-1|" Waarom komt mijnheer Lidenbrock dan [ @alt thuis t'huis ] ? "
18-1|" Dat zal hij ons wellicht zeggen . "
19-1|" Daar is hij !
19-2|Ik maak mij uit de voeten .
19-3|Mijnheer Axel ! gij moet het hem maar onder het oog brengen . "
19-4|En de goede Martha vluchtte naar de keuken .
20-1|Ik bleef alleen .
20-2|Maar mijn min of meer besluiteloos karakter gedoogde niet , dat ik [ @alt ~de~den den ] opvliegendste van alle professoren iets onder het oog zou brengen .
20-3|Ik maakte mij dus gereed om voorzichtig naar mijn bovenkamertje te wijken , toen de huisdeur op [ @alt ~haar~hare hare ] hengsels knarste , zware voetstappen de houten trap deden Bladzijde 2kraken , en de heer des huizes , de eetzaal doorgaande , terstond zijn studeervertrek binnenstormde .
21-1|Maar in [ @alt die dien ] [ @alt snelle snellen ] loop had hij zijn stok met een knop in [ @alt ~de~den den ] vorm van een notenkraker in een hoek , zijn [ @alt ~groten~grote grooten ] hoed , tegen de vleug in opgeborsteld , op de tafel gesmeten , en riep hij zijn neef met een bulderende stem toe : " Axel , volg mij ! "
22-1|Ik had nog geen tijd gehad om mij te bewegen , toen de professor mij reeds op [ @alt ~de~den den ] toon van het levendigste ongeduld toeschreeuwde : " Hoe is het , zijt gij er nog niet ? "
23-1|Ik stoof het vertrek van mijn geduchten oom binnen .
24-1|Otto Lidenbrock was , ik erken het gaarne , geen kwaad [ @alt mens mensch ] ; maar , als er [ @alt gene geene ] ondenkbare veranderingen plaats hebben , zal hij als een echte zonderling sterven .
25-1|Hij was professor aan het Johannaeum en hield een cursus over de delfstofkunde , waarbij hij zich geregeld een paar [ @alt keren keeren ] boos maakte .
25-2|Niet dat hij er zich over bekommerde of [ @alt ~zijn~zijne zijne ] leerlingen [ @alt ~zijn~zijne zijne ] lessen vlijtig bijwoonden , of zij hem oplettend volgden en of zij er later [ @alt enig eenig ] voordeel van zouden hebben ; die beuzelingen verontrustten hem niet .
25-3|Hij onderwees " subjectief , " [ @alt zoals zooals ] de duitsche [ @alt wijsgeren wijsgeeren ] het noemen , voor zich [ @alt zelf zelven ] en niet voor anderen .
25-4|Hij was een baatzuchtig geleerde , een put van geleerdheid , welker katrol knarste , als men er iets uit wilde halen .
25-5|Met één woord , een vrek .
26-1|Er zijn in [ @alt Duitsland Duitschland ] [ @alt enige eenige ] professoren van dat slag .
27-1|Ongelukkig was mijn oom niet zeer vlug bespraakt , wel niet in [ @alt de den ] [ @alt huiselijke huiselijken ] kring , maar toch als hij voor het publiek sprak , en dat is een lastig gebrek voor een redenaar .
27-2|[ @alt Zo Zoo ] bleef de professor bij [ @alt ~zijn~zijne zijne ] voordrachten in het Johannaeum dikwijls steken ; hij worstelde tegen een weerbarstig woord , dat niet van [ @alt ~zijn~zijne zijne ] lippen wilde vloeien , een van die woorden die tegenstand bieden , opzwellen en zich eindelijk uiten onder [ @alt ~de~den den ] niet zeer wetenschappelijken vorm van een vloek .
27-3|Van daar zijn hevige toorn .
28-1|Er komen in de delfstofkunde vele half grieksche , half [ @alt latijnse latijnsche ] namen voor , die [ @alt moeilijk moeielijk ] uit te spreken zijn ; van die ruwe benamingen , die de lippen van een dichter pijn zouden doen .
28-2|Het zij verre van mij [ @alt enig eenig ] kwaad van die wetenschap te willen zeggen .
28-3|Maar ten opzichte van kristalen met zes ruitvormige vlakken van retin-asphalt-harsen , van gheleniten , van fangasiten , van loodhoudende-molybdaenumzuur zouten , van manganesium ( tungsteenzuur ) zouten en van zirconium titanium , kan zelfs de vlugste tong zich wel eens verspreken .
29-1|In de stad was dit vergeeflijke gebrek van mijn oom zeer goed bekend .
29-2|Men maakte er misbruik van , men wachtte er op bij gevaarlijke zinnen , hij werd woedend en men lachte , hetgeen niet beleefd is , zelfs voor [ @alt Duitsers Duitschers ] .
