1-1|( Inhoud )
2-1|( Inhoud )
2-2|WAARHEID EN DROOMEN .
3-1|( Inhoud )
4-1|WAARHEID EN DROOMEN ,
5-1|DOOR
6-1|JONATHAN .
7-1|Vijfde , opnieuw vermeerderde druk .
8-1|LEIDEN ,
9-1|E. J. BRILL .
10-1|1872 .
11-1|( Inhoud )
11-2|Οὑτος μὲν πανάριστος , ὅς αὑτῷ πάντα νοήσει .
12-1|HESIODUS .
13-1|( V )
14-1|( Inhoud )
15-1|VOORBERICHT .
16-1|Gelijk ieder boek , dat het licht ziet , hebben ook de hierna volgende bladen , die bij [ @alt ~dezen~deze dezen ] [ @alt ~de~den den ] lezer op nieuw worden aangeboden , [ @alt ~hun~hunne hunne ] eigen geschiedenis .
17-1|Onopzettelijker en met minder bepaald plan om als een afzonderlijk , zelfstandig , deftig boek , op eigen [ @alt benen beenen ] , de wereld der openbaarheid in te treden , is wel zelden [ @alt enige eenige ] letter-arbeid [ @alt ~zijn~zijne zijne ] wandeling onder de [ @alt mensen menschen ] begonnen .
17-2|Het was een tweetal vrienden , die , tot [ @alt ~mijn~mijne mijne ] en veler vreugde , nog thans de eer en de trots der [ @alt vaderlandse vaderlandsche ] letterkunde zijn , welke tot het ontstaan van de eerste hier voorkomende Schets aanleiding gaven .
17-3|Het was [ @alt enigszins eenigszins ] als bij wijze van een dichterlijk spel , dat die bladzijden ten papiere werden gebracht , om het bloemenkorfje van de bekoorlijke , helaas , te vroeg gestorven Tesselschade te helpen vullen en versieren .
17-4|Dat de verzamelaar van [ @alt ~die~dien dien ] bloemruiker het eenvoudige bloemeke uit de hand des vriends niet afwees , liet zich verstaan en verklaren .
17-5|Maar dat het [ @alt grote groote ] Publiek gunstig genoeg geluimd was , niet alleen om deze geringe veldbloem welwillend aan en op te nemen , maar haar ook een blijvende plaats in zijn kamertuin te geven , was meer , oneindig meer , dan men zich had beloofd .
17-6|Was het wonder , dat men , ziende welk een onthaal die soort van gewas vond , er meer opzettelijk werk van begon te maken en met dat doel een kleine kweekerij werd aangelegd ?
18-1|Met de voorspoedig ontluikende spruiten van [ @alt ~die~dien dien ] hof werden nu van tijd tot tijd ook andere bloemkorven voorzien .
18-2|Niet alleen de kunst-keurige Tesselschade , ook de klassieke Gids , de Gids , [ @alt zoals zooals ] De Génestet zingt :
19-1|( VI )
20-1|in lang vervlogen dagen ,
21-1|Eer in zijn hart , verflauwd voor Letteren en Kunst ,
22-1|[ @alt Hebreeuws Hebreeuwsch ] en politiek , ach , stegen in de gunst ,
23-1|ook het toen nog [ @alt zo zoo ] populaire en veelgelezen Leeskabinet , ook de eens [ @alt zo zoo ] bloeiende , maar spoedig uitgebloeide [ @alt Nederlandse Nederlandsche ] Maatschappij van [ @alt schone schoone ] kunsten hadden voor haar een plaatsje over .
23-2|[ @alt Zo Zoo ] ontstond van [ @alt lieverlee lieverlede ] [ @alt ene eene ] [ @alt ganse gansche ] verzameling , die , hoewel [ @alt altijd altoos ] niet groot , toch na [ @alt ~enigen~enige eenigen ] tijd groot genoeg geworden was , om voor zich in [ @alt ~de~den den ] Nederlandschen letterhof een eigen plek te vragen .
23-3|Onder [ @alt de den ] [ @alt algemene algemeenen ] titel van Waarheid en [ @alt dromen droomen ] door Jonathan , kwam in 1840 de eerste uitgave der bijeenvergaderde Schetsen in het licht .
24-1|De opname was [ @alt zo zoo ] ongedacht gunstig , dat nog in hetzelfde jaar een tweede oplage [ @alt nodig noodig ] werd .
24-2|In 1846 volgde een derde , in 1856 een vierde uitgave , en nu , in 1872 , verschijnt bij [ @alt ~dezen~deze dezen ] een vijfde , weder op nieuw vermeerderde druk .
25-1|Vermeerderd - waarom ?
26-1|Ik zal eerlijk opbiechten .
26-2|Ik voor mij zou daartoe uit eigen beweging wel niet gekomen zijn .
26-3|Maar in die dagen was de oorspronkelijke uitgever van de Jonathaniana , mijn wakkere , bekwame en achtenswaardige vriend Pieter François Bohn nog in het land der levenden .
26-4|Hij verraste mij met de aankondiging , dat een nieuwe oplage van de Waarheid en [ @alt Dromen Droomen ] [ @alt nodig noodig ] was geworden , en dat ook werkelijk bij hem het plan bestond om daartoe eerlang over te gaan .
26-5|Maar hij voegde bij die [ @alt mededeling mededeeling ] , zonder er juist een voorwaarde van te maken , toch een [ @alt dringende dringenden ] [ @alt wens wensch ] , dat er aan de oorspronkelijke verzameling althans een enkele nieuwe Schets mocht worden toegevoegd , die daaraan als een zeker waas en geur van verschheid en [ @alt frisheid frischheid ] geven zou .
26-6|Had ik recht , of onrecht , voor [ @alt ~die~dien dien ] aandrang te bezwijken ?
26-7|Ik weet het niet .
26-8|Misschien had ik beter gedaan , ook hier [ @alt ~de~den den ] bekenden rechtsregel te gedenken : Non bis in idem .
26-9|Misschien was het al te laat in 't jaar geworden , om nog op een groen Sint-Jans-lot te hopen .
26-10|Misschien doet de oude man beter , om met zijn roestig geworden stem het liedje van vroeger dagen niet nog eens op nieuw te willen opneuriën ...
26-11|Wat baat het alles ?
26-12|Ik was , ondanks dit alles , zwak genoeg toe te geven .
26-13|De nieuwe Schets werd geschreven , en onder
27-1|( VII ) het opschrift : Een afscheidsbezoek in 1871 aan de overige verzameling toegevoegd .
28-1|En [ @alt zo zoo ] geef ik hierbij [ @alt de den ] [ @alt gehele geheelen ] bundel , gelijk hij nu is ingericht , [ @alt ~de~den den ] goedgunstigen lezer over .
28-2|Ik doe het echter met een gemengd gevoel .
28-3|Het is als zag ik een rouwrand om [ @alt ~de~den den ] titel .
28-4|Er bestaat een populair rijmpje :
29-1|Het boompje groot ;
30-1|De planter dood .
31-1|Dit komt mij nu als van zelf voor [ @alt ~de~den den ] geest , bij [ @alt ~de~den den ] blik op deze afgedrukte bladen , wier oorspronkelijke uitgever ook dit deel zijns werks met [ @alt zoveel zooveel ] wakkerheid aanvatte , maar het niet ten einde brengen mocht .
31-2|Hij heeft zelfs de nieuwe Schets , tot wier vervaardiging hij [ @alt ~de~den den ] stoot gaf , niet eens gezien !
31-3|Een memento meer bij [ @alt zovele zoovele ] anderen , waarvan de volgende bladen spreken .
31-4|Ik betreur dit overlijden , niet [ @alt zo zoo ] zeer om het boek , dat nu toch op zijn tijd behoorlijk in de wereld komt , als om [ @alt ~de~den den ] Vriend , met wien mij een langdurig verkeer op de hartelijkste wijze verbond .
31-5|Aan zijn hand verscheen ik , met mijn Rijm en Onrijm beide , het eerst voor het groot Publiek ; toen , en later , dankte ik aan hem [ @alt menige menigen ] nuttigen wenk , die getuigde van zijn helder hoofd , gezond hart en [ @alt ~goeden~goede goeden ] smaak .
31-6|- Ik werp dus , in deze eenvoudige [ @alt mededeling mededeeling ] , een bloem van hulde en erkentenis op zijn pasgesloten graf .
31-7|Ik weet , dat ik , [ @alt zo zoo ] doende , niet alleen voor mij zei ven , maar ook uit naam van meer anderen spreke , die erkennen zullen , aan de medewerking van [ @alt ~de~den den ] bekwamen en ijverigen Uitgever hunner werken geen mindere verplichting te hebben , dan ik gevoel hem schuldig te zijn - en te willen blijven .
32-1|En nu ik eens [ @alt ~de~den den ] voet op dit gebied der herinnering gezet heb , hoevele liefelijke beelden uit het verleden verrijzen daarbij voor mijnen geest !
33-1|Een [ @alt mens mensch ] kan twee levens leven : een historisch , reëel , en een literarisch leven - een leven , ook hier , van Waarheid en van [ @alt Dromen Droomen ] , als gij wilt .
33-2|Het eerste is zeker in menig opzicht het belangrijkste , het ware , het eigenlijke leven ; maar ook het tweede heeft , naast en in het eerste , [ @alt ~zijn~zijne zijne ] eigen [ @alt betekenis beteekenis ] en waardij .
33-3|Maar nu , met het
34-1|( VIII ) oog daarop , kan Jonathan niet dan met [ @alt grote groote ] dankbaarheid erkennen , dat , terwijl zijn werkelijk leven , als ieder weefsel der Schikgodinnen , zijn gemengde witte en zwarte draden gehad heeft , de webbe van zijn letterkundig leven schier niet dan enkel witte draden bevat .
34-2|Hoeveel vrienden heeft hij op [ @alt ~zijn~zijne zijne ] omwandeling , nu reeds aanvankelijk onder een tweede geslacht , gevonden en behouden !
34-3|En daarentegen , hoe weinig harde [ @alt beoordeling beoordeeling ] of behandeling heeft hij ... ja , heeft hij daarvan ooit wel iets ondervonden ?
34-4|Hij kan het zich niet herinneren .
34-5|Kon hij aan deze Schetsen een verhaal van [ @alt ~zijn~zijne zijne ] ervaringen op dit punt toevoegen !
34-6|... maar dat behoort in het Geheime Dagboek , dat niet onder vreemde [ @alt ogen oogen ] komt .
34-7|Waartoe dan de vermelding ?
34-8|Alleen uit een gevoel van dankbaarheid jegens de zachte lucht , die zijn zwak en teer gewas tot nu toe in 't leven heeft gehouden , en het nu weer , als [ @alt ene eene ] vernieuwing des levens , een [ @alt nieuwe nieuwen ] bloeitijd gunt .
34-9|Moge ook later die lucht even zacht blijven .
34-10|De heerlijke Juli-zon van dit jaar , schijnende over het bekoorlijke Dal aan de oevers van de Vesdre , nabij de wellen der Warme-Bron ,
35-1|1 waar ik deze regelen nederschrijve , schijnt mij daarvoor een goed en veelbelovend [ @alt voorteken voorteeken ] te wezen .
35-2|Moge dit [ @alt voorteken voorteeken ] niet liegen .
35-3|In die hoop , ga dan , mijn bloemeke , en bloei , en geur , [ @alt zolang zoolang ] uw zomerdag duurt , en breng met [ @alt ~dezen~deze dezen ] uwen geur aan allen , die u welkom [ @alt heten heeten ] en in liefde ontvangen , [ @alt ~de~den den ] heilwensen van uwen [ @alt kweker kweeker ] over in het [ @alt ouderwetse ouderwetsche ] , maar hartelijk gemeende woord , dat ik [ @alt zo zoo ] vaak als een devies op een breekbare gave der erkentenis en der liefde las : Wandel op rozen en - vergeet mij niet !
36-1|Juli 1872 .
37-1|JONATHAN . ( 1 )
38-1|1 Chaudfontaine .
38-2|↑
39-1|( Inhoud )
40-1|DE HAARLEMSCHE COURANT .
41-1|" Hebt gij [ @alt ~de~den den ] brievenpost reeds gehoord ? "
42-1|Dit is driemaal 's weeks mijn eerste vraag , als ik [ @alt ~de~den den ] voet buiten mijn slaapkamer zet , om te gaan ontbijten .
43-1|En waarom , meent gij ?
44-1|Omdat ik belangrijke handelsberichten verwacht ?
44-2|- Gij vergist u .
