1-1|VOGELS VAN DIVERSE PLUIMAGE
2-1|door
3-1|CAREL VOSMAER
4-1|GEÏLLUSTREERD NAAR TEEKENINGEN VAN Ch. ROCHUS
5-1|Carl Vosmaer
6-1|INHOUD
7-1|INLEIDING
8-1|TWEE KUNSTENAARS
9-1|EEN OUDE STRIJD
10-1|EENE PREEK IN 1629
11-1|BLADEN UIT EEN LEVENSBOEK
12-1|EEN BOUWVISIOEN
13-1|WANDELINGEN DOOR DE WERELD
14-1|VAN TWEE KONINGSKINDEREN
15-1|EEN PELGRIMSTOCHT NAAR DE WEDDESTEEG
16-1|MONA
17-1|INLEIDING .
18-1|Hij liegt alsof het gedrukt was , [ @alt zei zeide ] men vroeger met een spreekwoord , dat uit [ @alt de den ] [ @alt grote grooten ] eerbied voor boeken geboren werd .
18-2|Hij liegt [ @alt zo zoo ] mooi , [ @alt zo zoo ] glad , [ @alt zo zoo ] juist , dat het uit een boek schijnt genomen .
18-3|Oudtijds heette het : " daar staat geschreven , " maar de spreekwoorden nemen de zeden der tijden aan en na de uitvinding van de typographie [ @alt betekende beteekende ] het gedrukte hetzelfde gezag als vroeger het geschrevene .
19-1|[ @alt Zo Zoo ] [ @alt zei zeide ] men ook eens , om iets onbegrijpelijks uit te drukken , dat is [ @alt Grieks Grieksch ] en Latijn voor mij , of als het erg liep , dat zijn hiërogliefen .
19-2|Maar het [ @alt Grieks Grieksch ] en Latijn is niet meer voor enkelen en de hiërogliefen zijn ontcijferd .
19-3|Welke taal zullen wij nu voor de vergelijking kiezen ?
19-4|Men kan zelfs niet meer met voeg zeggen , dat is Sanskriet of [ @alt Chinees Chineesch ] voor mij , want ook die talen zijn niet onbereikbaar .
19-5|Hoogstens mag een gewoon [ @alt mens mensch ] beweren , dat iets er voor hem uitziet als spijkerschrift .
19-6|Ja , de spreekwoorden verouderen en veranderen .
19-7|Een uitgezocht deel van het [ @alt vlees vleesch ] , dat in de oudheid een godenstuk heette , werd in de goede dagen , toen de geestelijken de praerogatieven der godheid voor zich namen , een paterstuk .
19-8|De Hervorming , die [ @alt zo zoo ] veel veranderde , verbeterde dit in een domineestuk , totdat eindelijk het ongeloof ook dit weder seculariseerde en algemeen [ @alt menselijk menschelijk ] maakte .
20-1|En [ @alt zo zoo ] is het ook met de boeken gegaan .
20-2|Dat spreekt als een boek , zei men , en daarmee was het uit .
20-3|Maar de boeken hebben hun prestige verloren .
20-4|Iedereen maakt boeken en snel ook .
20-5|Negen jaren over een boek te broeden , [ @alt zoals zooals ] Horatius aanraadde , wie zou er aan denken !
20-6|In negen jaren is een boek al weer verouderd .
20-7|Zij zijn ephemeriden , zij strekken om de gedachten en beelden van het [ @alt ogenblik oogenblik ] uit te drukken , en maar weinige zijn duurzamer .
21-1|Op een morgen had ik eindelijk een niet zeer vermakelijk werk ten einde gebracht .
21-2|Ik had het laatste blad gelezen van een [ @alt grote grooten ] hoop boeken , waarover mij gevraagd was of zij [ @alt ene eene ] heruitgaaf verdienen .
21-3|Het waren novellen , gedichten , tooneelstukken .
21-4|Titels , papier , letter , toonden al [ @alt ene eene ] herkomst van voor ruim twintig jaren .
21-5|En de illustraties - verluchten , verlichten noemden onze middeleeuwers die versiering naar het oude illummare , waarvan het nieuwere [ @alt illustreren illustreeren ] een aanmatigender vorm is - de illustraties , die deze boeken nog niet illuster hadden gemaakt , waren even verouderd .
21-6|Welke onredzame steenteekeningen , waardig [ @alt ~de~den den ] komischen vloek van Bilderdijk :
22-1|Een [ @alt stenen steenen ] hart , een hoofd gevoed met keien ,
23-1|Beelde aap of hond in kouden steendruk uit ,
24-1|Waar gloed noch smaak hun warmen glans in spreien
25-1|En 't zielsgevoel de teedre borst voor sluit !
26-1|...
26-2|... ...
26-3|... ...
26-4|... ...
26-5|... ...
26-6|... ...
26-7|... ...
26-8|... ...
26-9|... ...
26-10|... ... .
27-1|Maar weg dat tuig , dat kunstverwoestend knoeien !
28-1|Welke wonderlijk uitgedoste poppen , die [ @alt heren heeren ] en dames , eens zich [ @alt zo zoo ] elegant en nieuwmodisch wanende , nu [ @alt zo zoo ] dwaas in hun verouderde [ @alt klederen kleederen ] , weergegeven zonder [ @alt ~die~dien dien ] tact , waardoor een kunstenaar aan elke snede der mode iets kan [ @alt verlenen verleenen ] , dat de dragers boven het bespottelijke van het verouderen verheft .
29-1|En wat zou ik zeggen over [ @alt ~de~den den ] inhoud ?
29-2|Het was een [ @alt moeilijk moeielijk ] geval .
29-3|Denkt men aan [ @alt de den ] [ @alt rijke rijken ] schat van werken , wier schoonheid of [ @alt betekenis beteekenis ] onvergankelijk is - dan vraagt men , waartoe [ @alt zoveel zooveel ] middelmatigs gedrukt of althans herdrukt , en moedeloosheid dreigt onszelven de pen te doen nederleggen .
29-4|Toch blijft de aandrift onverwinlijk en ook wij schrijven , ieder [ @alt zo zoo ] goed en kwaad als wij kunnen , ieder [ @alt zoals zooals ] [ @alt ~zijn~zijne zijne ] pen gebekt is , omdat wij het niet laten kunnen .
30-1|En wij hebben toch gelijk , want ook onze tijd , onze denkbeelden en gevoelens hebben recht zich af te beelden ; en kan het niet geschieden in eeuwenverdurend marmer , dan in vergankelijke [ @alt fotografieën photographieën ] .
30-2|Dus een minder volstrekte maat genomen .
31-1|Zijn dan deze stukken goed , naar onzen tijd , naar onze omstandigheden gerekend ?
31-2|Zit er kracht , oorspronkelijkheid , durven in ?
