1-1|Een [ @alt verlate verlaten ] post
2-1|Door
3-1|Johanna van Woude
4-1|Je rends au public ce qu'il m'a prêté
5-1|La Bruyère
6-1|Vijfde druk
7-1|L. J. Veen - Amsterdam
8-1|Typ .
8-2|Zuid-Holl .
8-3|Boek- en Handelsdrukkerij .
9-1|(
10-1|5 ) Nu was alles voorbij ... .
11-1|Zij zat peinzend in de schemering bij het vuur en dacht aan de liefelijke jaren , die nu voor altijd heen waren , de jaren , licht , en zonnig voor haar gemaakt door [ @alt ~die~dien dien ] [ @alt éne éénen ] , welke nu in de huiskamer ontbrak en boven stil lag uitgestrekt , ingeslapen om niet weer te ontwaken .
12-1|Buiten blies de herfstwind .
12-2|Als zij het hoofd zijwaarts leunde tegen [ @alt ~de~den den ] rug van [ @alt ~de~den den ] [ @alt ~groten~grote grooten ] , [ @alt ~hoge~hogen hoogen ] leunstoel , waarin zij zat , kon zij de bladeren zien dalen en neerzweven in de [ @alt brede breede ] grintpaden van [ @alt ~de~den den ] tuin , waar zij bleven vastkleven of terstond weer werden opgejaagd en voortgedreven .
13-1|[ @alt ~Haar~Hare Hare ] [ @alt grote groote ] droeve [ @alt ogen oogen ] bleven [ @alt dromerig droomerig ] naar buiten staren .
13-2|De [ @alt hoge hooge ] populieren en ranke dennen , haar [ @alt zo zoo ] welbekend , bogen [ @alt ~hun~hunne hunne ] toppen voor [ @alt ~de~den den ] stormwind (
14-1|6 ) en richtten zich dan [ @alt ruisend ruischend ] weer op .
14-2|Daar boven gleden de wolken onrustig voort , doorzichtig en ijl , in alle tinten van grijs en grauw .
14-3|Op [ @alt ~de~den den ] straatweg liepen nog enkele voorbijgangers , het hoofd gebogen tegen de wilde stormvlagen , die telkens loeiend uit de verte naderden en dan voorbijgierden om in de schemering weg te ijlen .
15-1|Het was geen aantrekkelijk schouwspel , maar met een weemoedigen , liefdevollen blik dwaalde haar oog ver en nabij , tot het bleef rusten op [ @alt ~de~den den ] [ @alt ~kleine~kleinen kleinen ] , schilderachtigen stal , waarvan zij juist een gedeelte zien kon ; - en zij keek naar de geel-en-bruine [ @alt kastanjebomen kastanjeboomen ] , die nu [ @alt ~hun~hunne hunne ] glanzende vruchten bij dozijnen op het dak van [ @alt ~de~den den ] stal lieten neerregenen ; naar de paardenkoppen , in [ @alt ~de~den den ] gevel aangebracht , die nu [ @alt zo zoo ] treurig voor zich uitstaarden , als wisten zij dat zij spoedig weer een [ @alt nieuwe nieuwen ] meester krijgen zouden ; en naar Toon [ @alt ~de~den den ] koetsier , tevens huisknecht , die in [ @alt ~zijn~zijne zijne ] lange , fladderende , zwart linnen staljas en (
16-1|7 ) op klompen naar buiten kwam .
16-2|Maar zij zag eigenlijk niets , want zij dacht aan de welbeminde viervoeters daarbinnen ... . ach , ook hen zou zij moeten vaarwel zeggen , hen en [ @alt ~de~den den ] armen trouwen Caesar , die nu nog aan [ @alt ~haar~hare hare ] voeten lag uitgestrekt .
17-1|Tranen gleden langs [ @alt ~haar~hare hare ] wangen , vonkelend in [ @alt ~de~den den ] vuurgloed .
17-2|De paarden waren tenminste nog jong , maar de arme Cae , reeds tien jaren haar [ @alt dagelijkse dagelijksche ] metgezel , wie zou hem voortaan liefhebben als zij !
18-1|[ @alt Zo Zoo ] graag zou zij hem [ @alt meegenomen medegenomen ] hebben .
18-2|Maar tante had geantwoord dat , " als het kon , " moest zij hem liever achterlaten ; in een stadswoning was zulk een [ @alt grote groote ] hond [ @alt zo zoo ] lastig .
19-1|" Als het kon . "
19-2|- Neen , het kon eigenlijk niet , het moest alleen ... .
19-3|Tante's liefde mocht zij niet in de waagschaal stellen ter wille van eigen [ @alt wensen wenschen ] .
20-1|En zij bleef zitten peinzen , weer starend in het opvlammende vuur , de handen in [ @alt ~de~den den ] schoot gevouwen , - kinderhanden , ietwat te bruin , maar welgevormd , met (
21-1|8 ) Slanke , spits toeloopende vingers .
21-2|Kinderlijk was [ @alt ~haar~hare hare ] [ @alt gehele geheele ] gestalte , van het fijnbesneden , [ @alt frisse frissche ] gezichtje en de lange bruine vlecht op haar rug , tot haar slanke heupen en onafgeronde vormen ; en [ @alt zoals zooals ] zij daar zat in [ @alt ~haar~hare hare ] jeugdige schoonheid en beschenen door [ @alt de den ] [ @alt volle vollen ] gloed van het vuur , vormde zij een vreemd contrast met het sombere vertrek met [ @alt ~zijn~zijne zijne ] vele schaduwen en duistere hoeken , [ @alt ~zijn~zijne zijne ] ledige stoelen , als wachtende op gebruik , [ @alt ~zijn~zijne zijne ] [ @alt sprakeloze sprakelooze ] beelden , [ @alt ~zijn~zijne zijne ] schilderijen , uit het krijgsmansleven genomen , degens , geweren en jachttropeeën aan [ @alt ~de~den den ] wand en andere versieringen , die er alle uitzagen als waren zij bezielde wezens , die veel dachten en veel zouden kunnen zeggen als zij wilden .
22-1|Eindelijk stond zij op en verliet de kamer .
22-2|Een [ @alt grote groote ] hond volgde haar met loggen gang , kop en staart neerhangend .
22-3|Eerst op de trap hoorde zij [ @alt ~zijn~zijne zijne ] nagels tikken op het hout , en zij stond stil om hem te [ @alt liefkozen liefkoozen ] .
22-4|Zij zette zich op een (
23-1|9 ) der treden [ @alt neer neder ] en drukte zijn [ @alt ~groten~grote grooten ] kop tegen haar gezicht .
24-1|" Arme Cae ! gauw kun je mij niet meer [ @alt nalopen naloopen ] ... .
24-2|En wij zijn toch [ @alt zolang zoolang ] kameraden geweest !
24-3|... .
24-4|Weet je nog hoeveel hij van je hield en hoe [ @alt trots trotsch ] hij op je was , omdat je van het echte soort waart ?
24-5|Hij gaf je niet , hoeveel men ook voor je bood .
24-6|Weet je 't nog ? "
25-1|Hij wist het ontwijfelbaar zeer goed , want zij had het hem reeds [ @alt dikwijls dikwerf ] met stralende [ @alt ogen oogen ] verteld in de dagen , toen zij nog samen het veld inrenden of in het grasperk stoeiden en buitelden ; maar hij antwoordde slechts door een vriendelijk gekwispel .
26-1|" Kon jij ten minste maar meegaan !
26-2|Jij weet overal van .
26-3|Ik zou over alles met je kunnen praten , over pa en over [ @alt ~de~den den ] tuin en over onze heerlijke wandelingen ; over al de oude kennissen hier en over het oude huis .
26-4|Och , Cae , dat zal wel gauw weer verhuurd zijn .
26-5|Kan je dat [ @alt geloven gelooven ] , dat hier andere [ @alt mensen menschen ] wonen zullen ?
26-6|... . (
27-1|10 ) Ga maar mee , " vervolgde zij opstaande .
27-2|" Neem ook maar afscheid ; het is voor het laatst . "
28-1|Op de bovengang zag zij rond en luisterde , - neen , er was niemand .
28-2|De dienstboden waren liever beneden in de gezellige keuken dan in de nabijheid eens [ @alt doden dooden ] en de huishoudster zou wel druk bezig zijn met inpakken .
29-1|Behoedzaam opende zij een der talrijke deuren op de bovengang en sloot die ook weer achter zich toe .
29-2|Het vertrek waarin zij zich nu bevond , was een slaapkamer , [ @alt zoals zooals ] de meubels aanduidden ; maar in het midden stond op schragen een lijkkist en daarin lag een [ @alt dode doode ] uitgestrekt .
30-1|Het was een man in [ @alt ~de~den den ] herfst van 't leven , vijftig jaren oud misschien .
30-2|Zeker had hij weinig gedacht te zullen sterven , maar zijn gelaat droeg nu geen sporen van zorg of bekommering meer .
30-3|Er lag vrede op en goedheid en [ @alt tederheid teederheid ] , [ @alt zoals zooals ] die zijn leven lang er zich op hadden afgespiegeld . (
31-1|11 )
32-1|En zij dacht weder aan die laatste uren , waarin hij zich [ @alt zo zoo ] onrustig en gejaagd getoond had , - om harentwil misschien of omdat hij begon te gevoelen , dat hij sterven moest ... .
33-1|Zij weende niet , doch stond maar stil te staren op dat dierbare gelaat , terwijl duizend zoete herinneringen haar weder bestormden en buiten de wind aan de zonneblinden rukte en de [ @alt dakgoten dakgooten ] rumoerig kletterden .
33-2|Eerst toen zij een [ @alt lange langen ] kus op een der kille handen had gedrukt , een kus , die een wereld van liefde en dankbaarheid bevatte - en met stijf opeengeklemde lippen de kamer had verlaten , barstte zij los in een wild , hartbrekend geween .
34-1|" Voor het laatst ! " snikte zij , en wierp zich in een ander vertrek in [ @alt ~haar~hare hare ] volle lengte op [ @alt ~de~den den ] grond .
35-1|" Och Cae , och Cae ! " [ @alt zei zeide ] zij maar steeds , met beide armen [ @alt ~de~den den ] hond omklemmend , die zich bij haar hoofd [ @alt liefkozend liefkoozend ] had neergevlijd .
35-2|" Och Cae , och Cae ! " (
36-1|12 )
37-1|En zij ging maar voort op hartstochtelijken toon zijn naam te zeggen en daarmede , naar het scheen , al haar leed uit te storten , want na [ @alt ~enigen~enige eenigen ] tijd werd zij rustiger , legde [ @alt ~haar~hare hare ] kin op [ @alt ~haar~hare hare ] gevouwen handen en bleef stil peinzend voor zich uit zien ... .
38-1|Zij dacht aan het nieuwe leven , dat haar wachtte daarginds in die [ @alt grote groote ] stad , onder bijna vreemde [ @alt mensen menschen ] , en bereidde er zich angstig op voor ... .
38-2|Maar het was immers de laatste [ @alt wens wensch ] van haar stervenden vader geweest , dat zijn [ @alt enige eenige ] broeder haar tot zich nemen zou .
38-3|In [ @alt ~de~den den ] tijd van enkele uren was alles beslist geweest ; een telegram heen , een telegram terug , - en , rustig had de stervende de moede [ @alt ogen oogen ] gesloten .
39-1|" Vaarwel , mijn lief heiligdom ! " [ @alt zei zeide ] zij zacht , terwijl zij het vriendelijk vertrekje rondzag .
39-2|" Als hier andere [ @alt mensen menschen ] wonen , denk dan nog eens aan de kleine Renée . "
40-1|Hoe gelukkig was zij hier geweest , hoe zorgeloos hier ingeslapen , hoe tevreden ontwaakt !
40-2|Hier waren [ @alt ~haar~hare hare ] boeken , [ @alt ~haar~hare hare ] (
41-1|13 ) geliefkoosde gravuren , [ @alt ~haar~hare hare ] reissouvenirs , [ @alt ~haar~hare hare ] gedroogde bloemen en snuisterijen .
41-2|Hier was zij omringd geworden door duizenden blijken van de liefde eens vaders , wiens afgod zij was .
42-1|Al deze kleine schatten zouden haar vergezellen ; wat oom wilde medenemen ( doch dat bepaalde zich bijna geheel tot [ @alt enige eenige ] familiesouvenirs ) zou ook met haar gaan ; - maar dat zou dan ook het [ @alt enige eenige ] zijn wat haar zou herinneren aan de oude , dierbare woning .
42-2|Al het andere zou gemakshalve verkocht worden .
43-1|" Jij blijft ten minste bij Toon , " [ @alt zei zeide ] zij met gebroken stem tot [ @alt ~de~den den ] hond , en terwijl zij bij hem neerhurkte en zacht snikte , terwijl zij sprak , geleek zij meer dan ooit een kind .
43-2|" En hij heeft mij beloofd dat hij goed voor je zorgen zou ... .
43-3|Als ik trouw , Cae , - en ik zal erg mijn best doen er als een jonge dame uit te zien , dan trouw ik eerder - ga ik in een eigen huis wonen , zie je , en dan schrijf ik dadelijk om je , hoor !
43-4|Dat beloof ik je (
44-1|14 ) vast .
44-2|Kijk altijd maar uit als het tijd is dat oude Peter met de brieventasch komt ; eenmaal zal mijn brief er bij zijn . "
45-1|Hij kwispelde zacht ; blijkbaar was hij zeer gelukkig met haar belofte .
46-1|Een andere deur voerde haar in een vertrek , dat blijkbaar tot studeerkamer had gediend .
46-2|Boekenkasten stonden in het rond en in het midden [ @alt tussen tusschen ] de vensters was een [ @alt grote groote ] schrijftafel geplaatst , bedekt met papieren en brochures .
47-1|Aan dat kleinere tafeltje ginds was haar plaats altijd geweest .
47-2|Bijna alles wat zij wist , had zij van haar vader geleerd ; en zij zag zich weer als klein meisje over haar boeken gebogen , nu en dan heimelijk uitkijkend naar de zonnige wereld daarbuiten , of glurend naar [ @alt ~haar~hare hare ] witte duiven , die op de vensterbanken te kirren of klapwiekend wegvlogen hoog in de lucht , een zilverwitte stip tegen [ @alt de den ] [ @alt blauwe blauwen ] hemel .
48-1|Hier ook had hij haar [ @alt leren leeren ] genieten wat de beste dichters en schrijvers de (
49-1|15 ) [ @alt mensheid menschheid ] boden .
49-2|En als de studie-uren voorbij waren , was zij met hem veld of [ @alt bos bosch ] ingegaan , en hij was kind geweest met haar .
49-3|Hij had de eerste lentebloemen met haar gezocht en braambessen en beukenoten ; of meikevers en vlinders met haar gevangen , al naar het jaargetijde medebracht .
