1-1|( Inhoud )
2-1|( Inhoud )
2-2|DE STILLE KRACHT
3-1|( Inhoud )
4-1|DE STILLE KRACHT
5-1|DOOR
6-1|LOUIS COUPERUS
7-1|L. J. VEEN - AMSTERDAM
8-1|( Inhoud )
8-2|BOEK- , COURANT- EN STEENDRUKKERIJ G. J. THIEME , NIJMEGEN .
9-1|( 1 )
10-1|( Inhoud )
11-1|EERSTE HOOFDSTUK .
12-1|( Inhoud )
13-1|I.
14-1|De volle maan , tragisch [ @alt ~die~dien dien ] avond , was reeds vroeg , nog in [ @alt ~de~den den ] laatsten dagschemer opgerezen als een immense , bloedroze bol , vlamde als een zonsondergang laag achter de tamarindeboomen der Lange Laan en steeg , langzaam zich louterende van [ @alt ~haar~hare hare ] tragische tint , in een [ @alt vage vagen ] hemel op .
14-2|Een doodsche stilte spande alom als een sluier van zwijgen , of , na de lange middagsiësta , de avondrust zonder overgang van leven begon .
14-3|Over de stad , wier wit gepilaarde villa-huizen laag wegscholen in het geboomte der lanen en tuinen , hing een donzende geluideloosheid , in de windstille benauwdheid der avondlucht , als was de matte avond moê van [ @alt ~de~den den ] zonneblakenden dag der Oostmoesson .
14-4|De huizen , zonder
15-1|( 2 ) geluid , doken weg , doodstil , in het loover van [ @alt ~hun~hunne hunne ] tuinen , met de regelmatig opblankende rissen der groote gekalkte bloempotten .
15-2|Hier en daar werd een licht al ontstoken .
15-3|Plotseling blafte een hond , en antwoordde een andere hond en verscheurde de donsende stilte in lange , ruwe flarden ; de nijdige hondekelen , heesch , ademloos , schor vijandig ; plotseling ook zwegen zij stil .
16-1|Aan het einde der Lange Laan lag diep in zijn voortuin het Rezidentie-huis .
16-2|Laag , dadelijk in [ @alt ~de~den den ] nacht der waringinboomen , zigzagde het [ @alt ~zijn~zijne zijne ] pannendaken , het eene achter het andere , naar de schaduw van [ @alt ~de~den den ] achtertuin toe , met een primitieve lijn van dakteekening , over iedere galerij een dak , over iedere kamer een dak , tot [ @alt éne éene ] lange daksilhouet .
16-3|Vóor echter , rezen de witte zuilen der voorgalerij , met de witte zuilen der portiek , hoog blank en aanzienlijk op , met breede tusschenruimten , met groote openheid van ontvangst , met eene uitbreiding van indrukwekkend paleisportaal .
16-4|Door de open deuren verschoot de middengalerij vaag naar achteren toe , met een enkel licht opgeglimd .
17-1|Een oppasser ontstak de lantarens ter zij van het huis .
17-2|Halfcirkels van groote , witte
18-1|( 3 ) potten met rozen en chrysanten , met palmen en caladiums , bogen links en rechts wijd voor het huis naar ter zijde uit .
18-2|Een breede grindlaan vormde [ @alt ~de~den den ] oprit tot in de witgezuilde portiek ; dan strekte zich uit een wijd dor gazon , met potten omgeven , en , in het midden op een gemetseld voetstuk , een monumentale vaaspot , met een groote latania .
18-3|Een groene frischheid was daar de kronkelende vijver , waar de reuzenbladeren [ @alt ener eener ] Victoria Regia als dofgroene prezenteerbladen zich rondden tegen elkaâr , met een enkele blankende lotosachtige bloem er tusschen .
18-4|Een pad kronkelde langs [ @alt ~de~den den ] vijver en op een met kiezelsteen geplaveide ronde plek rees een hooge vlaggestok .
18-5|De vlag was reeds neêrgehaald , als [ @alt iedere iederen ] dag om zes uur .
18-6|Een eenvoudig hek sneed het erf af van de Lange Laan .
19-1|Het reusachtige erf was stil .
19-2|Er brandden nu , langzaam , omslachtig aangestoken door [ @alt ~de~den den ] lampenjongen , éen lamp van de kroon der voorgalerij , en de neêrgedraaide lamp binnen , als twee nachtlichtjes in het paleis van zuilen en van , kinderlijk naar achter verschietende , daken .
19-3|Op de trappen van de kantoorkamer zaten enkele oppassers , in hun donkere uniform , fluisterend wat te praten .
19-4|Een van hen stond na een [ @alt poos pooze ] op en begaf zich , met een rustigen
20-1|( 4 ) pas van zich niet te willen overhaasten , naar een bronzen klok , die hoog hing , bij het oppassershuisje , geheel ter zijde van het erf .
20-2|Toen hij na een honderd pas genaderd was , luidde hij zeven langzame weêrechoënde slagen .
20-3|De klepel bronsde bonsende in de bel van de klok en de slag , telkens , zigzagde na met een zware trilling van nageluid .
20-4|De honden blaften weêr op .
20-5|De oppasser , langzaam , met zijn lenigen pas , jongensachtig slank in zijn blauw laken jasje en broek met gele banden en omslag , liep zijn honderd passen naar de andere oppassers rustig terug .
21-1|Nu was in het kantoor licht ontstoken en ook in de aangrenzende slaapkamer , waar het door de jalouzieën schemerde .
21-2|De rezident , een groote zware man , in zwart jasje , witte broek , liep de kamer door en riep naar buiten :
22-1|- Oppas !
23-1|De hoofdoppasser , in zijn laken uniformrokje , de panden breedgeel omzoomd , naderde met gebogen knieën , hurkte neêr ... .
24-1|- Roep de nonna !
25-1|- De nonna is al uitgegaan , Kandjeng ! fluisterde de man en schetste met beide handen , de vingers tegen elkaâr , het eerbiedig gebaar van de semba .
26-1|( 5 )
27-1|- Waar is de nonna naar toe ?
28-1|- Dat heb ik nog niet onderzocht , Kandjeng ! zei de man , als verontschuldiging , dat hij niet wist , en schetste weêr de semba .
29-1|De rezident dacht even na .
30-1|- Mijn pet , [ @alt zei zeide ] hij .
30-2|Mijn stok .
31-1|De hoofdoppasser , steeds in krommende knieën van zich eerbiedig krimpen in elkaâr , scharrelde even door de kamer en bood hurkende aan de klein-uniformpet , en een wandelstok .
32-1|De rezident ging uit .
32-2|De hoofdoppasser haastte zich achter hem aan , met een tali-api in de hand : een lange brandende lont , waarvan hij de gloeiende punt zwaaide om aan wie voorbijging , in [ @alt ~de~den den ] avond , [ @alt ~de~den den ] rezident te doen herkennen .
32-3|De rezident liep langzaam het erf af , en naar de Lange Laan .
32-4|Aan die laan , als een avenue van tamarinde-boomen en flamboyants , lagen de villa's der voornaamste notabelen , flauw verlicht , doodstil , schijnbaar onbewoond , met , in de avondvaagheid opblankend , de rissen der gekalkte bloempotten .
33-1|De rezident wandelde eerst langs het huis van [ @alt ~de~den den ] secretaris ; dan ter andere zijde een meisjesschool ; dan de notaris , een hôtel , de post , de prezident van [ @alt ~de~den den ] Landraad .
33-2|Aan het einde van de Lange Laan stond de Roomsche kerk ,
34-1|( 6 ) en verder op , de brug over der kali , lag het station .
34-2|Bij het station was meer verlicht dan de andere huizen een groote Europeesche toko .
34-3|De maan , hooger geklommen , zich heller zilverende bij [ @alt ~haar~hare hare ] stijging , bescheen de witte brug , de witte toko , de witte kerk : dit alles om een vierkant square , meer open , zonder [ @alt bomen boomen ] en met in het midden een spits monumentje , dat de Stadsklok was .
35-1|De rezident ontmoette niemand ; nu en dan kwam echter een enkele Javaan , zich donker bewegende , even uit de schaduw , en dan zwaaide de oppasser achter zijn heer met veel ostentatie de gloeiende punt van zijn vuurtouw .
35-2|Meestal begreep de Javaan , en maakte zich klein , en kromp in-een aan [ @alt ~de~den den ] rand van [ @alt ~de~den den ] weg , en ging als loophurkende voorbij .
35-3|Een [ @alt enkele enkelen ] keer , onwetend , pas uit zijn dessa , begreep hij niet , liep angstig voorbij , zag angstig naar [ @alt ~de~den den ] oppasser , die maar zwaaide en zwaaide , en hem , in het voorbijgaan , achter [ @alt ~de~den den ] rug van zijn meester een vloek toeduwde , omdat hij - de dessa-kerel - geen manieren had .
35-4|Als een karretje aankwam of sado , zwaaide hij weêr en zwaaide hij zijn vuursterretje door [ @alt ~de~den den ] avond , wenkte [ @alt ~de~den den ] voerman , die òf stil hield en afsteeg , òf neêrhurkte in zijn voertuigje
36-1|( 7 ) en hurkend doormende aan [ @alt de den ] [ @alt uiterste uitersten ] rand van [ @alt ~de~den den ] weg .
37-1|De rezident liep somber door , met [ @alt de den ] [ @alt flinke flinken ] pas van een beslisten wandelaar .
37-2|Hij was rechts van het square-tje afgeslagen , en liep langs de Hervormde kerk , recht op een mooie villa toe met slanke , vrij correcte Ionische pleisterzuilen en hel verlicht met petroleumlampen in kronen .
37-3|Het was de societeit Concordia .
37-4|Een paar bedienden in witte buisjes zaten op de trappen .
37-5|Een Europeaan in een wit pakje , de kastelein , liep in de voorgalerij .
37-6|Maar om de groote bittertafel zat niemand en de wijde rieten stoelen openden [ @alt ~hun~hunne hunne ] armen afwachtende als te vergeefs .
38-1|De kastelein , ziende [ @alt ~de~den den ] rezident , boog , en de rezident tikte kort aan zijn pet en ging de societeit voorbij , sloeg links om .
38-2|Hij wandelde een laan af , langs kleine donkere huisjes in kleine erfjes weggedoken , sloeg weêr om en ging langs de uitmonding der kali , die was als een kanaal .
38-3|Prauw aan prauw lag vastgemeerd ; een eentonig geneurie van Madoereesche zeelui zeurde droefgeestig langzaam over het water , waaruit een visschige wadem oprees .
38-4|Langs het havenkantoor ging de rezident naar [ @alt ~de~den den ] pier toe , die een eind uitstak in zee , en
39-1|( 8 ) waar op de punt een kleine vuurtoren , als een kleine Eiffel , zijn ijzeren kandelabervorm verhief , met zijn lamp aan [ @alt ~de~den den ] top .
39-2|Daar bleef de rezident staan en ademde op .
39-3|De wind was plotseling opgestoken , de grongong blies , uit de verte waaiende aan , als iedere dag om dat uur .
39-4|Maar soms zakte hij in eens onverwachts neêr , in-een , als met een onmacht zijner waaiende vlerken , en de opgeheven zee strookte haar maanwitte schuimkrullen glad en fosforizeerde even , met strepen lang en bleek .
40-1|Over de zee naderde droefgeestig een eentonig rhytmisch zeuren van zingen , een zeil donkerde aan als een groote nachtvogel , en een visschersprauw met hoog opbuigende voorsteven , - met iets van een antiek schip - gleed het kanaal in .
40-2|Een weemoed van levensgelatenheid , eene berusting in al het kleine donkere aardsche onder [ @alt die dien ] [ @alt eindeloze eindeloozen ] hemel , aan die zee van fosforizeerende verte , dreef om en [ @alt toverde tooverde ] eene geheimzinnigheid , die beklemde ...
